source,count,message_shape
pdx_localize,15282,Duplicate localization key. Key 'X' is defined in both 'X' and 'X'.
title_links,12877,Failed to fetch a valid landed title 'X' at location 'X'
history,2105,Referencing non-existent character in script link character:N
gameobjectlocators,723,Failed to get transform for locator type 'X' instance id N
holy_site_type,326,No county found for holy site 'X'
coat_of_arms_dynamic_definitions,122,Could not find title 'X' for dynamic coat of arms definition
coat_of_arms_dynamic_definitions,122,Title template 'X' must have a pre-scripted coat of arms to be used with the dynamic coa definitions
bookmark,82,Bookmark character 'X' location image 'X' not found
history,80,Referencing non-existent character in script link character:fictional_kimeks_N
culture_trait,67,Pillar 'X' is a heritage so it should have a audio parameter
jomini_effect,58,Variable 'X' is set but is never used. Note that use in localization doesn't count due to technical limitations. Use in unused scripted triggers and effects also does not count
history,57,Referencing non-existent character in script link character:japanese_minamoto_seiwa_N
history,56,Referencing non-existent character in script link character:fictional_turkish_N
history,47,Referencing non-existent character in script link character:japanese_fujiwara_N
history,40,Referencing non-existent character in script link character:fictional_kipchaks_N
history,32,Referencing non-existent character in script link character:han_N
history,30,Referencing non-existent character in script link character:mpo_mongol_N
history,28,Referencing non-existent character in script link character:andalusian_N
map,27,Province 'X' is neighbouring but not part of island region 'X'
history,26,Referencing non-existent character in script link character:fictional_kirghiz_N
history,24,Referencing non-existent character in script link character:japanese_yamato_N
history,20,Referencing non-existent character in script link character:japanese_taira_kanmu_N
history,20,Referencing non-existent character in script link character:fictional_karluks_N
history,20,Referencing non-existent character in script link character:fictional_uriankhais_N
history,19,Referencing non-existent character in script link character:tangut_liang_N
history,18,Referencing non-existent character in script link character:fictional_naimans_N
history,18,Referencing non-existent character in script link character:fictional_mongols_N
bookmark,17,Bookmark 'X' background 'X' not found
titlehistory,17,Title history tries to change its defacto liege despite it being a barony - file: history/titles/fae_baronies.txt line: N
history,16,Referencing non-existent character in script link character:fictional_cumans_N
jomini_dynamicdescription,14,Unrecognized loc key trait_thayan_tattoo_N. thayan_tattoo_N
jomini_dynamicdescription,14,Unrecognized loc key trait_thayan_tattoo_N_desc. thayan_tattoo_N
jomini_dynamicdescription,12,Unrecognized loc key trait_lifespan_N_desc. lifespan_N
history,12,Referencing non-existent character in script link character:easteregg_jakub_potapczyk
history,12,Referencing non-existent character in script link character:viet_ly_N
pdx_persistent_reader,11,"Error: ""Failed to read key reference: k_chrysanthemum_throne: k_chrysanthemum_throne, near line: N"" in file: ""common/flavorization/N_tgp_japan_flavorization.txt"" near line: N"
jomini_dynamicdescription,10,Unrecognized loc key trait_scarred_type_N. scarred_type_N
jomini_dynamicdescription,10,Unrecognized loc key trait_scarred_type_N_desc. scarred_type_N
pdx_persistent_reader,10,"Error: ""Failed to read key reference: e_japan: e_japan, near line: N"" in file: ""common/flavorization/N_tgp_japan_flavorization.txt"" near line: N"
history,9,Referencing non-existent character in script link character:easteregg_joe_parkin
history,9,Referencing non-existent character in script link character:japanese_kiyohara_N
history,8,Referencing non-existent character in script link character:easteregg_chad_uhl
history,8,Referencing non-existent character in script link character:fictional_khazars_N
history,8,Referencing non-existent character in script link character:fictional_pechenegs_N
history,8,Referencing non-existent character in script link character:fictional_buryats_N
history,8,Referencing non-existent character in script link character:fictional_ostyaks_N
gfx_caps,7,Unknown GfxVendor ID 'X' for 'X'
pdx_persistent_reader,7,"Error: ""Failed to read key reference: e_goryeo: e_goryeo, near line: N"" in file: ""common/flavorization/N_tgp_korea_flavorization.txt"" near line: N"
pdx_localize,6,Localization key hash collision. Key 'X' and 'X' have the same hash: -N. 
jomini_dynamicdescription,6,Unrecognized loc key trait_norse_tattoo_N. norse_tattoo_N
jomini_dynamicdescription,6,Unrecognized loc key trait_norse_tattoo_N_desc. norse_tattoo_N
jomini_dynamicdescription,6,Unrecognized loc key trait_slavic_tattoo_N. slavic_tattoo_N
jomini_dynamicdescription,6,Unrecognized loc key trait_slavic_tattoo_N_desc. slavic_tattoo_N
history,6,Referencing non-existent character in script link character:easteregg_alessandro_bragalini
history,6,Referencing non-existent character in script link character:easteregg_daan_broekhof
history,6,Referencing non-existent character in script link character:easteregg_debbie_lane
history,6,Referencing non-existent character in script link character:easteregg_veronica_pazos
history,6,Referencing non-existent character in script link character:easteregg_ida_hedberg
history,6,Referencing non-existent character in script link character:danisN
history,6,Referencing non-existent character in script link character:begteginid_N
