folder,files,files_with_map_refs,title_scope,title_bare,province,character,dynasty,geo_region,culture,faith,map_refs,ATL_replace_path,ATL_shadows,ATL_stubs,EK2_replace_path,EK2_shadows,EK2_stubs,GH_replace_path,GH_shadows,GH_stubs
common,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
common/accolade_icons,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
common/accolade_names,2,1,0,0,0,0,0,167,0,19,167,0,0,0,0,2,0,0,1,0
common/accolade_types,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
common/achievements,11,7,49,0,0,14,2,1,6,21,66,0,9,0,0,11,0,1,9,0
common/activities/activity_group_types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/activities/activity_locales,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0
common/activities/activity_types,22,20,72,1,1,0,0,88,0,40,162,0,3,0,0,21,0,0,19,1
common/activities/guest_invite_rules,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
common/activities/intents,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,4,1
common/activities/pulse_actions,21,2,2,0,0,0,0,2,0,28,4,0,0,0,0,5,0,0,9,0
common/ai_goaltypes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/ai_war_stances,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/artifacts/blueprints,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
common/artifacts/feature_groups,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/artifacts/features,2,1,0,0,0,0,0,7,0,35,7,0,0,0,0,2,1,0,1,0
common/artifacts/slots,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
common/artifacts/templates,6,1,6,0,0,0,0,0,2,7,6,0,0,0,0,4,0,0,3,0
common/artifacts/types,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
common/artifacts/visuals,11,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,3,0
common/bookmark_portraits,332,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
common/bookmarks/bookmarks,2,1,0,139,0,0,0,0,229,229,139,0,1,0,0,1,0,0,1,1
common/bookmarks/challenge_characters,2,1,0,52,0,0,0,0,52,52,52,0,1,1,0,2,1,0,1,0
common/bookmarks/groups,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
common/buildings,22,1,2,0,0,0,0,0,0,14,2,0,1,0,0,18,1,0,16,3
common/casus_belli_groups,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
common/casus_belli_types,27,14,176,0,0,8,0,22,9,16,206,0,2,0,0,21,0,0,24,1
common/character_backgrounds,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/character_interaction_categories,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
common/character_interactions,58,25,181,5,0,1,0,8,24,19,195,0,2,0,0,38,0,0,49,3
common/character_memory_types,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0
common/coat_of_arms/coat_of_arms,10,4,0,2025,0,0,0,0,0,0,2025,0,0,0,0,7,0,1,8,1
common/coat_of_arms/dynamic_definitions,4,3,6,124,0,0,0,0,0,1,130,0,3,3,0,4,2,0,3,3
common/coat_of_arms/options,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/coat_of_arms/template_lists,6,2,7,0,0,0,0,0,2,93,7,0,0,0,0,4,0,0,5,0
common/combat_effects,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common/combat_phase_events,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0
