script_file,errors,shadowed_by_mod
common/scripted_triggers/10_tgp_japan_triggers.txt,2965,yes
common/scripted_effects/00_major_decisions_scripted_effects.txt,933,yes
common/on_action/game_start.txt,427,no
common/culture/creation_names/00_names.txt,331,yes
common/scripted_modifiers/10_tgp_japan_modifiers.txt,331,yes
common/scripted_effects/10_dlc_tgp_scripted_effects.txt,314,yes
common/scripted_effects/07_frankokratia_scripted_effects.txt,258,yes
common/scripted_effects/00_decisions_effects.txt,251,yes
common/customizable_localization/00_pl_custom_loc_extra.txt,208,no
common/great_projects/types/00_great_project_types.txt,207,yes
events/factions/faction_demands.txt,173,no
events/dlc/ep3/ep3_frankokratia_events.txt,151,no
common/scripted_effects/00_historical_characters_scripted_effects.txt,151,yes
common/scripted_effects/06_dlc_ce1_legend_effects.txt,146,yes
common/decisions/80_major_decisions_roman.txt,143,yes
common/great_projects/types/00_ministry_projects.txt,134,yes
common/decisions/80_major_decisions.txt,124,yes
common/scripted_effects/00_mongol_invasion_effects.txt,121,yes
common/decisions/dlc_decisions/ep3_decisions.txt,120,yes
common/customizable_localization/00_es_custom_loc.txt,120,no
events/artifacts/historical_artifacts_events.txt,110,no
common/scripted_effects/10_dlc_tgp_dynastic_cycle_scripted_effects.txt,107,yes
common/scripted_effects/00_tributary_setup_effects.txt,105,yes
common/on_action/title_on_actions.txt,101,no
common/decisions/80_major_decisions_middle_europe.txt,90,yes
common/scripted_triggers/07_frankokratia_triggers.txt,89,yes
common/scripted_effects/01_dlc_fp1_scripted_effects.txt,84,no
common/decisions/00_major_decisions_iberia_north_africa.txt,83,yes
events/dlc/ep3/ep3_emperor_yearly_2.txt,83,no
common/decisions/dlc_decisions/tgp/tgp_china_decisions.txt,79,yes
common/script_values/02_religion_values.txt,79,no
common/culture/creation_names/00_names_hybrid.txt,78,yes
events/decisions_events/roman_restoration_events.txt,78,yes
common/scripted_effects/01_exp1_historical_artifacts_creation_effect.txt,77,yes
common/casus_belli_types/09_mpo_wars.txt,72,no
events/bookmark_events.txt,72,no
common/scripted_effects/tgp_tribute_mission_scripted_effects.txt,66,yes
common/decisions/80_major_decisions_british_isles.txt,60,yes
common/scripted_triggers/tgp_tribute_mission_triggers.txt,60,yes
events/decisions_events/middle_east_decisions_events.txt,55,yes
events/decisions_events/major_decisions_events.txt,53,yes
common/character_interactions/10_tgp_interactions.txt,52,no
common/script_values/00_dlc_fp3_script_values.txt,51,no
common/scripted_effects/00_major_decisions_scripted_effects_3.txt,50,yes
events/decisions_events/middle_europe_decisions_events.txt,48,yes
common/legends/legend_seeds/00_legend_seeds.txt,47,yes
common/scripted_effects/00_scheme_scripted_effects.txt,47,no
events/dlc/fp2/fp2_yearly_events.txt,46,no
common/scripted_triggers/10_tgp_triggers.txt,45,yes
common/decisions/00_major_decisions_east_europe.txt,44,yes
common/decisions/dlc_decisions/03_fp2_decisions.txt,44,yes
common/decisions/dlc_decisions/fp3_decisions.txt,44,yes
common/scripted_modifiers/00_faction_modifiers.txt,44,no
common/scripted_triggers/00_title_triggers.txt,43,no
common/situation/situations/tgp_dynastic_cycle.txt,40,yes
gfx/interface/illustrations/scripted_illustrations/ingame.txt,40,yes
common/scripted_effects/00_relation_effects.txt,40,no
common/decisions/dlc_decisions/tgp/tgp_japan_decisions.txt,38,yes
common/scripted_effects/09_dlc_mpo_scripted_effects.txt,38,no
common/decisions/00_cultural_tradition_decisions.txt,36,yes
events/decisions_events/british_isles_events.txt,36,yes
common/activities/activity_types/pilgrimage.txt,36,no
common/scripted_effects/05_dlc_fp3_scripted_effects.txt,36,no
common/event_backgrounds/01_event_backgrounds.txt,35,no
events/dlc/ep3/ep3_story_cycle_harrying_of_the_north_events.txt,35,no
common/decisions/80_major_decisions_middle_east.txt,33,yes
events/dlc/tgp/tgp_dynastic_cycle_events.txt,32,no
events/activities/coronation_activity/coronation_events_6.txt,32,no
