ck3_id,ck2_province,county,barony,is_capital,ck2_history_terrain,bitmap_ck3_terrain,final_ck3_terrain,outcome
16,1627,c_ishamar_isles,b_ishamar,yes,coastal,plains,plains,kept_rule
17,2150,c_lylorn,b_lylorn,yes,hills,plains,hills,applied_capital
18,2150,c_lylorn,b_arombar,no,hills,mountains,mountains,kept_strong_bitmap
32,2157,c_graxan_forest,b_graxan,yes,jungle,hills,jungle,applied_capital
60,1653,c_bellakh,b_bellakh,yes,hills,plains,hills,applied_capital
65,1650,c_stormslough,b_djerad_tauro,yes,forest,forest,forest,already_agreed
71,1652,c_spiteful_isles,b_djerad_axatar,yes,coastal,plains,plains,kept_rule
73,2141,c_gontal,b_gontal,yes,hills,plains,hills,applied_capital
74,2141,c_gontal,b_sanda,no,hills,plains,hills,applied_weak_bitmap
75,2141,c_gontal,b_areyn,no,hills,mountains,mountains,kept_strong_bitmap
81,2142,c_darkturret,b_arnda,yes,hills,hills,hills,already_agreed
91,2131,c_surraer,b_surraer,yes,mountain,plains,mountains,applied_capital
92,2144,c_velandilmur,b_velandilmur,yes,hills,plains,hills,applied_capital
93,2144,c_velandilmur,b_djerad_thar_ghul,no,hills,plains,hills,applied_weak_bitmap
98,1617,c_sathadech,b_sathadech,yes,mountain,plains,mountains,applied_capital
100,1691,c_starspire,b_djerad_kurar,yes,mountain,hills,mountains,applied_capital
104,2129,c_the_fang,b_djerad_madara,yes,mountain,plains,mountains,applied_capital
109,1688,c_talaran_highlands,b_talara,yes,hills,plains,hills,applied_capital
110,1681,c_roraari,b_roraari,yes,hills,hills,hills,already_agreed
111,1680,c_coldlight_cliffs,b_arrlaur,yes,mountain,plains,mountains,applied_capital
119,1636,c_mraar_forest,b_ara_mraar,yes,jungle,plains,jungle,applied_capital
120,1642,c_maelevarar,b_maelevarar,yes,hills,plains,hills,applied_capital
121,1642,c_maelevarar,b_blindwood,no,hills,hills,hills,already_agreed
122,1635,c_wrecking_coast,b_qamaphut,yes,hills,hills,hills,already_agreed
123,1632,c_kothask,b_kothask,yes,jungle,plains,jungle,applied_capital
124,1634,c_sunrise_hills,b_rotimur,yes,hills,plains,hills,applied_capital
146,1675,c_chain_of_broken_dreams,b_taronerdist,yes,coastal,plains,plains,kept_rule
150,910,c_cholta,b_cholta,yes,forest,forest,forest,already_agreed
151,874,c_peqqir,b_peqqir,yes,forest,forest,forest,already_agreed
152,1332,c_alamaqu,b_alamaqu,yes,hills,hills,hills,already_agreed
153,908,c_yidyn,b_yidyn,yes,forest,forest,forest,already_agreed
155,1333,c_panjuis,b_panjuis,yes,forest,forest,forest,already_agreed
156,1414,c_far_ulhai,b_shaqu,yes,forest,forest,forest,already_agreed
158,2407,c_upper_ama,b_melganavin,yes,forest,taiga,forest,applied_capital
159,890,c_chama,b_chama,yes,forest,forest,forest,already_agreed
160,1385,c_jaria,b_jaria,yes,forest,forest,forest,already_agreed
163,2404,c_tomyris,b_kakhi,yes,forest,forest,forest,already_agreed
166,1384,c_bunsha,b_bunsha,yes,forest,forest,forest,already_agreed
174,74,c_athkatla,b_scepter_district,yes,farmlands,plains,farmlands,applied_capital
175,74,c_athkatla,b_waukeens_promenade,no,farmlands,plains,farmlands,applied_weak_bitmap
176,74,c_athkatla,b_goldbridge,no,farmlands,farmlands,farmlands,already_agreed
177,75,c_kalathtyr,b_kalathtyr,yes,marsh,wetlands,wetlands,already_agreed
178,75,c_kalathtyr,b_wulen,no,marsh,wetlands,wetlands,already_agreed
179,75,c_kalathtyr,b_sassalt,no,marsh,wetlands,wetlands,already_agreed
180,237,c_purskul,b_purskul,yes,farmlands,plains,farmlands,applied_capital
181,237,c_purskul,b_karastra,no,farmlands,plains,farmlands,applied_weak_bitmap
182,77,c_crimmor,b_crimmor,yes,hills,mountains,hills,applied_capital
183,77,c_crimmor,b_crytrapper,no,hills,plains,hills,applied_weak_bitmap
184,77,c_crimmor,b_chaunteas_cradle,no,hills,hills,hills,already_agreed
185,1571,c_hamlar_hills,b_arnise,yes,hills,hills,hills,already_agreed
186,1571,c_hamlar_hills,b_st_carwells_vale,no,hills,hills,hills,already_agreed
187,64,c_nashkel,b_nashkel,yes,hills,plains,hills,applied_capital
188,64,c_nashkel,b_high_song,no,hills,hills,hills,already_agreed
189,2531,c_lake_weng,b_minsor_vale,yes,mountain,hills,mountains,applied_capital
190,2531,c_lake_weng,b_citadel_rashturl,no,mountain,plains,mountains,applied_weak_bitmap
191,78,c_eshpurta,b_eshpurta,yes,hills,plains,hills,applied_capital
192,78,c_eshpurta,b_golden_fortress,no,hills,plains,hills,applied_weak_bitmap
193,78,c_eshpurta,b_towers_of_the_vengeful_hand,no,hills,plains,hills,applied_weak_bitmap
194,78,c_eshpurta,b_towers_of_willful_suffering,no,hills,hills,hills,already_agreed
197,1709,c_qadim_hills,b_fort_ilbratha,yes,hills,hills,hills,already_agreed
198,583,c_snakewood,b_boar_pike,yes,forest,plains,forest,applied_capital
199,89,c_shilmista,b_fort_mirasandoral,yes,forest,hills,forest,applied_capital
200,1710,c_the_dells,b_daoine_dun,yes,forest,plains,forest,applied_capital
201,76,c_esmeltaran,b_esmeltaran,yes,farmlands,plains,farmlands,applied_capital
202,76,c_esmeltaran,b_kings_arch,no,farmlands,plains,farmlands,applied_weak_bitmap
211,79,c_imnescar,b_imnescar,yes,farmlands,plains,farmlands,applied_capital
212,79,c_imnescar,b_hydcont_hall,no,farmlands,plains,farmlands,applied_weak_bitmap
213,79,c_imnescar,b_battlescarred_bard,no,farmlands,plains,farmlands,applied_weak_bitmap
214,2434,c_the_imnescourse,b_esford,yes,farmlands,plains,farmlands,applied_capital
215,2434,c_the_imnescourse,b_shepardston,no,farmlands,plains,farmlands,applied_weak_bitmap
218,136,c_west_tejarn,b_hillfort_torbold,yes,hills,hills,hills,already_agreed
219,136,c_west_tejarn,b_archring,no,hills,hills,hills,already_agreed
220,87,c_east_tejarn,b_hillfort_keshla,yes,hills,plains,hills,applied_capital
221,87,c_east_tejarn,b_junest,no,hills,hills,hills,already_agreed
226,82,c_murann,b_murann,yes,farmlands,plains,farmlands,applied_capital
227,82,c_murann,b_ommlur_hills,no,farmlands,plains,farmlands,applied_weak_bitmap
228,84,c_brost,b_brost,yes,hills,plains,hills,applied_capital
229,84,c_brost,b_imnesvale,no,hills,plains,hills,applied_weak_bitmap
230,83,c_trademeet,b_trademeet,yes,plains,plains,plains,already_agreed
231,83,c_trademeet,b_bormton,no,plains,plains,plains,already_agreed
232,83,c_trademeet,b_twin_towers,no,plains,plains,plains,already_agreed
234,1234,c_riatavin,b_riatavin,yes,plains,plains,plains,already_agreed
235,1234,c_riatavin,b_tannitton,no,plains,plains,plains,already_agreed
236,1234,c_riatavin,b_rhianna,no,plains,plains,plains,already_agreed
237,1234,c_riatavin,b_tannithall,no,plains,hills,hills,kept_strong_bitmap
238,88,c_trailstone,b_trailstone,yes,hills,plains,hills,applied_capital
239,88,c_trailstone,b_spulzeer,no,hills,plains,hills,applied_weak_bitmap
240,88,c_trailstone,b_spulzeer_vale,no,hills,plains,hills,applied_weak_bitmap
241,176,c_ioma,b_iomaport,yes,coastal,hills,hills,kept_rule
242,176,c_ioma,b_skaug,no,coastal,plains,plains,kept_rule
243,180,c_toaridge_at_the_suns_setting,b_toaridge_at_the_suns_setting,yes,coastal,plains,plains,kept_rule
244,181,c_the_flint,b_seaspray,yes,coastal,plains,plains,kept_rule
245,181,c_the_flint,b_point_hardship,no,coastal,plains,plains,kept_rule
246,179,c_the_rookery,b_the_rookery,yes,coastal,plains,plains,kept_rule
247,1574,c_nemessor,b_nemessor,yes,coastal,plains,plains,kept_rule
248,177,c_irphong,b_jokkursbay,yes,coastal,plains,plains,kept_rule
249,178,c_thordentor,b_elderbay,yes,coastal,plains,plains,kept_rule
250,1126,c_the_pearls,b_pearlhouse,yes,coastal,plains,plains,kept_rule
251,183,c_the_singing_rocks,b_mermaid_cove,yes,coastal,plains,plains,kept_rule
252,182,c_the_tusks,b_borammur,yes,coastal,plains,plains,kept_rule
264,1103,c_lundeth,b_lundeth,yes,desert,plains,desert,applied_capital
272,378,c_sixstreams,b_helvara,yes,hills,plains,hills,applied_capital
276,283,c_miir,b_miirsar,yes,hills,mountains,hills,applied_capital
277,2422,c_lost_vale,b_tarkhaldarth,yes,mountain,mountains,mountains,already_agreed
278,1226,c_mhaelos,b_mhaelos,yes,desert,plains,desert,applied_capital
279,1226,c_mhaelos,b_addas_babar,no,desert,hills,hills,kept_strong_bitmap
280,1067,c_atars_looking_glass,b_vil,yes,desert,desert,desert,already_agreed
281,373,c_araugul,b_araugul,yes,desert,plains,desert,applied_capital
282,375,c_farsea_marsh,b_oakmere,yes,marsh,wetlands,wetlands,already_agreed
283,374,c_goblin_marches,b_lundar,yes,hills,desert,hills,applied_capital
284,2412,c_sunset_foothills,b_thandril,yes,hills,hills,hills,already_agreed
285,376,c_the_stonelands,b_needlespires,yes,hills,hills,hills,already_agreed
286,377,c_shaddath,b_rausrawna,yes,hills,mountains,hills,applied_capital
287,2413,c_high_moors,b_marts_keep,yes,hills,hills,hills,already_agreed
288,328,c_tilverton,b_tilverton,yes,hills,plains,hills,applied_capital
289,328,c_tilverton,b_griffon_hill,no,hills,hills,hills,already_agreed
