ck2_province,name,county,kind,history_terrain,history_ck3_key,bitmap_category,bitmap_ck3_key,agree
1,Waterdeep,c_waterdeep,land,farmlands,farmlands,hills,hills,no
2,Amphail,c_amphail,land,farmlands,farmlands,plains,plains,no
3,Daggerford,c_daggerford,land,farmlands,farmlands,plains,plains,no
6,Dragonspear,c_dragonspear,land,plains,plains,plains,plains,yes
8,Neverwinter,c_neverwinter,land,farmlands,farmlands,plains,plains,no
9,Mere of Dead Men,c_mere_of_dead_men,land,marsh,wetlands,marsh,wetlands,yes
11,Neverwinter Wood,c_neverwinter_wood,land,forest,forest,forest,forest,yes
13,Baldurs Gate,c_baldurs_gate,land,farmlands,farmlands,plains,plains,no
14,The Trollclaws,c_the_trollclaws,land,hills,hills,plains,plains,no
16,Scornubel,c_scornubel,land,farmlands,farmlands,plains,plains,no
17,Luskan,c_luskan,land,arctic,taiga,arctic,taiga,yes
20,Kryptgarden Forest,c_kryptgarden_forest,land,forest,forest,hills,hills,no
21,Lurkwood,c_lurkwood,land,forest,forest,forest,forest,yes
22,Ardeepsward,c_ardeepsward,land,farmlands,farmlands,plains,plains,no
25,Silverymoon,c_silverymoon,land,farmlands,farmlands,arctic,taiga,no
26,Surbrin Hills,c_surbrin_hills,land,hills,hills,hills,hills,yes
27,The Evermoors,c_the_evermoors,land,hills,hills,marsh,wetlands,no
29,Everlund,c_everlund,land,farmlands,farmlands,arctic,taiga,no
30,Silvermoon Pass,c_silvermoon_pass,land,hills,hills,hills,hills,yes
32,Mithral Hall,c_mithral_hall,land,mountain,mountains,mountain,mountains,yes
33,Druarwood,c_druarwood,land,forest,forest,forest,forest,yes
34,Moonwood,c_moonwood,land,forest,forest,forest,forest,yes
35,Coldwood,c_coldwood,land,forest,forest,forest,forest,yes
36,Citadel Adbar,c_citadel_adbar,land,hills,hills,arctic,taiga,no
37,Turlangs Wood,c_turlangs_wood,land,forest,forest,arctic,taiga,no
38,Sundabar,c_sundabar,land,hills,hills,arctic,taiga,no
39,Fell Pass,c_fell_pass,land,mountain,mountains,mountain,mountains,yes
40,Mirabar,c_mirabar,land,hills,hills,arctic,taiga,no
41,Khedrun Valley,c_khedrun_valley,land,hills,hills,mountain,mountains,no
42,Blackford,c_blackford,land,arctic,taiga,arctic,taiga,yes
45,Kelvins Cairn,c_kelvins_cairn,land,subterranean,mountains,arctic,taiga,no
46,Lac Dinneshere,c_lac_dinneshere,land,arctic,taiga,hills,hills,no
47,Night Trees,c_night_trees,land,forest,forest,forest,forest,yes
48,Hartsvale,c_hartsvale,land,hills,hills,arctic,taiga,no
49,Tholvarr,c_tholvarr,land,mountain,mountains,hills,hills,no
50,The Great Oak,c_the_great_oak,land,mountain,mountains,mountain,mountains,yes
51,Evermelt,c_evermelt,land,glacier,taiga,glacier,taiga,yes
52,Endless Blizzard,c_endless_blizzard,land,hills,hills,hills,hills,yes
53,Arn Forest,c_arn_forest,land,forest,forest,arctic,taiga,no
55,Lost Peaks,c_lost_peaks,land,forest,forest,arctic,taiga,no
56,Heartblood,c_heartblood,land,forest,forest,forest,forest,yes
57,The Sisters,c_the_sisters,land,mountain,mountains,hills,hills,no
58,Trollbark Forest,c_trollbark_forest,land,forest,forest,plains,plains,no
60,Southwood,c_southwood,land,forest,forest,plains,plains,no
61,Cloakwood,c_cloakwood,land,forest,forest,plains,plains,no
62,Beregost,c_beregost,land,farmlands,farmlands,plains,plains,no
64,Nashkel,c_nashkel,land,hills,hills,plains,plains,no
65,Durlags Tower,c_durlags_tower,land,forest,forest,plains,plains,no
67,Tall Trees,c_tall_trees,land,forest,forest,arctic,taiga,no
68,Ebenfar,c_ebenfar,land,hills,hills,hills,hills,yes
69,The Bleak Plain,c_the_bleak_plain,land,arctic,taiga,arctic,taiga,yes
70,Unicorn Run,c_unicorn_run,land,forest,forest,forest,forest,yes
72,Roaringshore,c_roaringshore,land,farmlands,farmlands,plains,plains,no
73,Greenest,c_greenest,land,farmlands,farmlands,plains,plains,no
74,Athkatla,c_athkatla,land,farmlands,farmlands,plains,plains,no
75,Kalathtyr,c_kalathtyr,land,marsh,wetlands,marsh,wetlands,yes
76,Esmeltaran,c_esmeltaran,land,farmlands,farmlands,plains,plains,no
77,Crimmor,c_crimmor,land,hills,hills,mountain,mountains,no
78,Eshpurta,c_eshpurta,land,hills,hills,plains,plains,no
79,Imnescar,c_imnescar,land,farmlands,farmlands,plains,plains,no
82,Murann,c_murann,land,farmlands,farmlands,plains,plains,no
