title,ck2_key,value
c_berdusk,title,"HIGHLORD"
c_berdusk,title_female,"HIGHLADY"
c_candlekeep,title,"HIGH_READER"
c_candlekeep,title_female,"HIGH_READER"
c_daggerford,title,"COUNT"
c_daggerford,title_female,"COUNTESS"
c_daggerford,title_prefix,"COUNTY_OF"
c_delzimmer,title,"SATRAP"
c_delzimmer,title_female,"SATRAP"
c_everlund,title,"FIRSTELDER"
c_everlund,title_female,"FIRSTELDER"
c_fairheight,title,"EARL"
c_harrowdale,title,"BURGHER"
c_harrowdale,title_female,"BURGHER"
c_hulburg,title,"HARMACH"
c_hulburg,title_female,"HARMACH"
c_iljak,title,"GOVERNOR"
c_iljak,title_female,"GOVERNOR"
c_ithmong,title,"SHOONSAR"
c_ithmong,title_female,"SHOONSAR"
c_kormul,title,"HARLORD"
c_kormul,title_female,"HARLORD"
c_loudwater,title,"HIGHLORD"
c_loudwater,title_female,"HIGHLADY"
c_maerchwoods,title,"STORMWALKER"
c_maerchwoods,title_female,"STORMWALKER"
c_makaxar,title,"HIGHLAPALYTH"
c_makaxar,title_female,"HIGHLAPALYTH"
c_milvarune,title,"PRINCE"
c_milvarune,title_female,"PRINCESS"
c_mintar,title,"SATRAP"
c_mintar,title_female,"SATRAP"
c_mintarn,title,"TYRANT"
c_mintarn,title_female,"TYRANT"
c_mirabar,title,"MARCHION"
c_mirabar,title_female,"MARCHIONESS"
c_nathlekh,title,"CAT_LORD"
c_nathlekh,title_female,"CAT_LORD"
c_nesme,title,"FIRSTSPEAKER"
c_nesme,title_female,"FIRSTSPEAKER"
c_procampur,title,"THULTYRL"
c_procampur,title_female,"THULTYRL"
c_schamedar,title,"SYLVIZAR"
c_schamedar,title_female,"SYLVIZAR"
c_selgaunt,title,"HULORN"
c_selgaunt,title_female,"HULORN"
c_skullport,title," "
c_skullport,title_female," "
c_suldolphor,title,"OLANGER"
c_suldolphor,title_female,"OLANGER"
c_sundabar,title,"RULINGMASTER"
c_sundabar,title_female,"RULINGMASTER"
c_talduth_vale,title,"IMPERIAL_OVERDUKE"
c_talduth_vale,title_female,"IMPERIAL_OVERDUCHESS"
c_thentia,title,"WATCHLORD"
c_thentia,title_female,"WATCHLORD"
c_torsch,foa,"LORD_FOA"
c_torsch,title,"LORD"
c_torsch,title_female,"LORD"
c_triboar,title,"LORDPROTECTOR"
c_triboar,title_female,"LADYPROTECTOR"
c_tsurlagol,title,"VEN"
c_tsurlagol,title_female,"VEN"
c_undermountain,title,"MASTER"
c_undermountain,title_female,"MISTRESS"
c_voonlar,title,"BRON"
c_voonlar,title_female,"BRON"
c_yartar,title,"WATERBARON"
c_yartar,title_female,"WATERBARON"
c_yeshpek,title,"KHALDOMAUN"
c_yeshpek,title_female,"KHALDOMAUN"
c_yhep,title,"HIGHLORD"
c_yhep,title_female,"HIGHLADY"
c_zhentil_keep,title,"FIRSTLORD"
c_zhentil_keep,title_female,"FIRSTLADY"
d_abjuration,title,"ZULKIR"
d_abjuration,title_female,"ZULKIR"
d_abjuration,title_prefix,"ZULKIRATEOF"
d_abjuration_exile,title,"ZULKIR"
d_abjuration_exile,title_female,"ZULKIR"
d_abjuration_exile,title_prefix,"ZULKIRATEOF"
d_affordable_outlaws,foa,"CAPTAIN_FOA"
d_affordable_outlaws,title,"CAPTAIN"
d_affordable_outlaws,title_female,"CAPTAIN"
d_alaoreum,foa,"LORD_FOA"
d_alaoreum,title,"LORD"
d_alaoreum,title_female,"LADY"
d_ammarindar,title,"HIGHLORD"
d_ammarindar,title_female,"HIGHLADY"
d_anaconda,foa,"CAPTAIN_FOA"
d_anaconda,title,"CAPTAIN"
d_anaconda,title_female,"CAPTAIN"
d_army_of_lion,foa,"CAPTAIN_FOA"
d_army_of_lion,title,"CAPTAIN"
d_army_of_lion,title_female,"CAPTAIN"
d_bahamut,foa,"KOJ_FOA"
d_bahamut,title,"KING_OF_JUSTICE"
d_bahamut,title_female,"QUEEN_OF_JUSTICE"
d_bannerless_legion,foa,"CAPTAIN_FOA"
d_bannerless_legion,title,"CAPTAIN"
d_bannerless_legion,title_female,"CAPTAIN"
d_barakair,title,"IRON_SHIELD"
d_barakair,title_female,"IRON_SHIELD"
d_black_blood_tribe,title,"BLOODMASTER"
d_black_blood_tribe,title_female,"BLOODMASTER"
d_black_watch,foa,"CAPTAIN_FOA"
d_black_watch,title,"CAPTAIN"
d_black_watch,title_female,"CAPTAIN"
d_blacktalons_mercenary_company,foa,"CAPTAIN_FOA"
d_blacktalons_mercenary_company,title,"CAPTAIN"
d_blacktalons_mercenary_company,title_female,"CAPTAIN"
d_blades_of_uthgar,foa,"CAPTAIN_FOA"
d_blades_of_uthgar,title,"CAPTAIN"
d_blades_of_uthgar,title_female,"CAPTAIN"
d_blood_money_band,foa,"CAPTAIN_FOA"
d_blood_money_band,title,"CAPTAIN"
d_blood_money_band,title_female,"CAPTAIN"
d_bloodaxe_mercenary_company,foa,"CAPTAIN_FOA"
d_bloodaxe_mercenary_company,title,"CAPTAIN"
d_bloodaxe_mercenary_company,title_female,"CAPTAIN"
d_blue_sigil,foa,"CAPTAIN_FOA"
d_blue_sigil,title,"CAPTAIN"
d_blue_sigil,title_female,"CAPTAIN"
d_bold_blades_of_berdusk,foa,"CAPTAIN_FOA"
d_bold_blades_of_berdusk,title,"CAPTAIN"
d_bold_blades_of_berdusk,title_female,"CAPTAIN"
d_bregan_daerthe,foa,"CAPTAIN_FOA"
d_bregan_daerthe,title,"CAPTAIN"
d_bregan_daerthe,title_female,"CAPTAIN"
d_bushido,foa,"CAPTAIN_FOA"
d_bushido,title,"CAPTAIN"
d_bushido,title_female,"CAPTAIN"
d_chelimber,title,"PRINCE"
d_chelimber,title_female,"PRINCESS"
d_chill,foa,"CAPTAIN_FOA"
