title,ck2_religion
c_adbarrim,orc_reformed
c_adder_swamp,scale_cult
c_airspur,turm
c_al_anwahr,kahin
c_al_asirr,jaziri_reformed
c_al_faddi,kahin
c_aldani_basin,ubtao_worship
c_alisiwhann,elven_pantheon
c_almraiven,calishite_faith
c_alphar_and_kelthan,asathalfinare
c_ankhapur,calishite_faith
c_arabel,joyful
c_ardeep_forest,monster_pantheon
c_arjol,sylvan
c_armridge,ulutiuan_reformed
c_arn_forest,urdlen
c_arrabar,turm
c_ascalhorn,karontor
c_athkatla,calishite_faith
c_baldurs_gate,illithid_pantheon
c_beluir,halfling_pantheon
c_beowood,ten_thousand_gods
c_berdusk,goblin_reformed
c_bezantur,vaprak
c_bloodhawk_hold,martial_faith
c_bloodstone,bahamut
c_boareskyr_bridge,dead_three
c_broadfields,sylvan
c_broken_wall_pass,nine_travelers
c_brynwood,natural
c_bukitega,geomancy
c_calimport,tashan
c_candlekeep,inventive
c_cathyr,eilistraee
c_ched_nasad,lolth_cult
c_cimarine_isles,asathalfinare
c_cimbar,chessic
c_cinnabar,primordial
c_citadel_rashemar,rasallesian
c_daerlun,joyful
c_daggerford,laduguer
c_dark_arrow,orc_reformed
c_daynk,tuigan_shamanism
c_des,adama
c_dhaztanar,muhjari
c_doegwood,infernal
c_dragonspear,martial_faith
c_dun_hills,lapal_faith
c_eartheart,laduguer
c_ebenfar,eilistraee
c_ejen_horo,tuigan_shamanism
c_eltabbar,primordial
c_elturel,blue_flame
c_elven_court,ghaunadaur
c_enlightened_ring,bahamut
c_essembra,chessic
c_eveningstar,solar
c_evereska,elven_pantheon
c_fallen_giant_rift,deities_of_fury
c_far_nemoree,sekolah
c_fatuta_chuba,nine_travelers
c_feifeng,chung_tao
c_fields_of_pryollus,chessic
c_fields_of_rime,orc_reformed
c_forharn,goblin_reformed
c_frostfenn,earthmother_reformed
c_frozen_forest,qukoku
c_gate_of_heaven,entropy
c_geman,loviatar
c_gheldaneth,enlil
c_giants_run,goblin_reformed
c_glitterdelve,lolth_cult
c_gnarhelm,martial_faith
c_greenest,halfling_pantheon
c_grey_wood,yuir_reformed
c_gurvandene,karontor
c_guth,lapal_faith
c_halarahh,blue_flame
c_halwa,geomancy
c_heartblood,arcane
c_hilm,pantheist_league
c_hiyal,pantheist_league
c_hlondeth,turm
c_holdensword,turm
c_horseshoe_oasis,animist_reformed
c_huzuz,kahin
c_ibelgrak,qukoku
c_ilighon,natural
c_imajuvisik,qukoku
c_immilmar,rasallesian
c_inkelvale,adama
c_ironmaster,ghaunadaur
c_ishau,ubtao_worship
c_isle_of_quelthiir,sekolah
c_itiraf,pantheist_league
c_kaoll,enlil
c_keltar,triadic
c_kethid,loviatar
c_kheldrivver,urdlen
c_kingshore,adama
c_konigheim,interloper
c_kourmira,deities_of_fury
c_krak_al_niraan,kossuth
c_krak_al_sajjaan,geomancy
c_krak_al_shidda,thasmudyanic
c_kresttet,qukoku
c_kushk,faceless_god
c_kwachow,chung_tao
c_lastarr,joyful
c_lhesper,primordial
c_lipo,deities_of_fury
c_lonefang,ulutiuan_reformed
c_lost_peaks,uthgardt_reformed
c_luenath,ghaunadaur
c_luskan,church_of_cyric
c_luthcheq,chessic
c_maerch,entropy
c_maerimydra,lolth_cult
c_manass,padhran
c_medina_al_afyal,jaziri_reformed
c_medinat_muskawoon,interloper
c_melvaunt,loviatar
c_memnon,kossuth
c_menzoberranzan,lolth_cult
c_messemprar,turm
c_mezro,filler
c_mhairhetel,tashan
c_middlewoods,yuir_reformed
c_mishan,chung_tao
c_mithral_hall,ghaunadaur
c_monteshi,calishite_faith
c_moradask,thasmudyanic
c_morrowikik,filler
c_mountain_of_iron,animist_reformed
c_mulharahold,mulhorandi_faith
c_mulmaster,dead_three
c_mulsantir,rasallesian
c_muluk,ten_thousand_gods
c_murghyr,mulhorandi_faith
c_myrloch_vale,filler
c_myth_drannor,infernal
c_narari,filler
c_narubel,lapal_faith
c_neverwinter,triadic
c_night_trees,uthgardt_reformed
c_nyanzaru,tashan
c_odesh,interloper
c_old_road,sylvan
c_old_well,vaprak
c_olyniak,ulutiuan_reformed
c_oreme,scale_cult
c_ormen,ancestral_cult
c_ormpetarr,blue_flame
c_orvyltar,padhran
c_oryndoll,illithid_pantheon
c_panjuis,animist_reformed
c_perilous,tiamat
c_plain_of_heroes,muhjari
c_port_ghast,muhjari
c_punakha_dzong,nine_travelers
c_qantun,tuigan_shamanism
c_qarintg,tuigan_shamanism
c_quaraqand,tuigan_shamanism
c_qudalla,nogari_reformed
c_ragado,jaziri_reformed
c_ravens_bluff,mercantile
c_redspring,rasallesian
c_relkaths_foot,blue_flame
c_rogosto,sekolah
c_ruathym,earthmother_reformed
c_sadazeh,qisma
c_saerloon,arcane
c_saigai,chung_tao
c_saikhoi,padhran
c_sakh,nine_travelers
c_sambar,inventive
c_sampranasz,scale_cult
c_sarenestar,ghaunadaur
c_sarshel,interloper
c_secomber,halfling_pantheon
c_selgaunt,mercantile
c_serpent_hills,scale_cult
c_shadowdale,faithless
c_sheirtalar,lapal_faith
c_ship_isle,adama
c_shoal_of_thirst,shadow_gods
c_shoonach,faithless
c_sidi_island,jaziri_reformed
c_siiluth,sylvan
c_silapathar,geomancy
c_silverymoon,joyful
c_skuld,entropy
c_skuldusk,goblin_reformed
c_smokeholes,ulutiuan_reformed
c_sokkar,thasmudyanic
c_solon,muhjari
c_songfarla,urdlen
c_sossvaal,qukoku
c_suldanessellar,elven_pantheon
c_sundabar,triadic
c_sunder,earthmother_reformed
c_suns_eye,karontor
c_surbrin_hills,uthgardt_reformed
c_suzail,inventive
c_taam,kahin
c_tadabbur,nogari_reformed
c_tanistan,laduguer
c_tantras,triadic
c_taotie,chung_tao
c_tashluta,tashan
c_telah,kahin
c_telflamm,mercantile
c_tempat_larang,faceless_god
c_thar,kossuth
c_tharkar,interloper
c_thaymount,faithless
c_the_bleak_plain,vaprak
c_the_chultengar,ubtao_worship
c_the_crags,uthgardt_reformed
c_the_evermoors,vaprak
c_the_fell_wood,uthgardt_reformed
c_the_flint,earthmother_reformed
c_the_great_spire,animist_reformed
c_the_neth_stand,lapal_faith
c_the_old_trees,orc_reformed
c_the_rift,ancestral_cult
c_the_samarlogh,scale_cult
c_the_stormtails,asathalfinare
c_the_trollclaws,vaprak
c_the_wayrock,sekolah
c_thindar,tashan
c_thundars_ride,solar
c_tilverton,blue_flame
c_toaridge_at_the_suns_setting,draconic_pantheon
c_tomyris,animist_reformed
c_trielta_hills,urdlen
c_tuern,deities_of_fury
c_tungtairira,nine_travelers
c_turlangs_wood,eilistraee
c_umbarra,asathalfinare
c_umberwood,halfling_pantheon
c_unthalass,bahamut
c_uruk,sekolah
c_ust_natha,lolth_cult
c_velprintalar,entropy
c_waterdeep,faithless
c_westgate,shadow_gods
c_wildergroves,sylvan
c_windspear_hills,halfling_pantheon
c_yaks_horn,faceless_god
c_ysawis,thasmudyanic
c_zanda_tholing,padhran
c_zhentil_keep,illithid_pantheon
