reason,count,first_ten
"unbuilt: one province per county until lane baronies lands",11530,"b_aagul b_aah b_aalde b_aallamirs_keep b_aamlo b_aarnsgard b_ababadira b_abahanel b_abalada b_abalus"
"demoted: one province per county until lane baronies lands",1461,"b_aataz_yklawzi b_abaghajin b_abam b_abarats_folly b_abrura b_abu_azada b_achal b_acham b_achathila b_achnizu"
"CK2 patrician family (common/landed_titles/republics.txt): a root-level barony; CK3 forbids a barony outside a county and has no patrician families",161,"b_adebowalan b_adrian b_al_auni b_al_hawai b_al_hiyali b_al_jasir b_alibakkar b_alman b_anchev b_anteos"
"no live barony: a CK3 county needs at least one barony and a barony needs province = <id>",12,"c_barakuir c_cony_gap c_dawn_pass c_drakkalor c_fell_pass c_hosttower_of_the_arcane c_korolnor c_kossuths_eye c_lac_dinneshere c_torglor"
"ancestor c_cony_gap commented out",7,"b_abbathors_cleft b_axeholm b_dragonbone_vale b_ieirithymbul b_phandalin b_tresendar_manor b_umbrage_hill"
"ancestor c_dawn_pass commented out",7,"b_addavath b_corvame b_dawn_pass b_parnast b_portay b_valgart b_windstrum"
"ancestor c_zokir commented out",7,"b_allyns_anvil b_canyon_of_kush b_dao_delvings b_eye_tyrant_cliffs b_oldonnar b_pevadaas b_zokir"
"ancestor c_xothaerin commented out",7,"b_arjotun b_blackbanner b_brasshelm b_deepmines b_dwarfdelve b_pyromancer_hall b_xothaerin"
"ancestor c_kossuths_eye commented out",7,"b_azerkin b_brassforge b_firegate b_kossuths_eye b_lava_tunnels b_warmdepths b_xandar"
"ancestor c_fell_pass commented out",7,"b_baffenburg b_castle_of_illusion b_clicking_heels b_golds_hold b_shallows b_tesazesh b_thurgix"
"ancestor c_barakuir commented out",7,"b_barakuir b_duerras_triumph b_fort_taskmaster b_gray_forge b_high_peak b_ironfist b_steel_altar"
"ancestor c_hosttower_of_the_arcane commented out",7,"b_cabal_chambers b_central_spire b_east_spire b_mirar_green b_north_spire b_south_spire b_west_spire"
"ancestor c_lac_dinneshere commented out",7,"b_caer_dineval b_caer_konig b_dragons_dip b_easthaven b_eastway b_fallen_crags b_icewind_pass"
"ancestor c_drakkalor commented out",7,"b_doppelhold b_drakkalor b_greeds_due b_rrinnoroth b_skulking_lands b_swimstar b_west_peak"
"ancestor c_korolnor commented out",7,"b_fireflow b_green_goddess_falls b_gulf_of_storms b_korolnor b_qadim_hills b_thalangar b_trollstooth_run"
"ancestor c_torglor commented out",7,"b_frostrune_tower b_lost_shrine b_mindstalker_delve b_nightglow_cave b_shining_stream b_torglor b_torglor_depths"
