ck2_trait,ck3_group,level
baptized_by_pope,fae_baptized,1
baptized_by_bishop,fae_baptized,2
baptized_by_satan,fae_baptized,3
baptized_by_patriarch,fae_baptized,4
bloodthirsty_gods_1,fae_bloodthirsty_gods,1
bloodthirsty_gods_2,fae_bloodthirsty_gods,2
bloodthirsty_gods_3,fae_bloodthirsty_gods,3
creature_illithid,fae_creature,1
creature_ulitharid,fae_creature,2
creature_elder_brain,fae_creature,3
crowned_by_priest,fae_crowned,1
crowned_by_bishop,fae_crowned,2
crowned_by_pope,fae_crowned,3
crowned_by_myself,fae_crowned,4
dragon_wyrmling,fae_dragon,1
dragon_young,fae_dragon,2
dragon_adult,fae_dragon,3
dragon_ancient,fae_dragon,4
freckles,fae_freckles,1
freckles_2,fae_freckles,2
freckles_3,fae_freckles,3
freckles_4,fae_freckles,4
freckles_5,fae_freckles,5
lifespan_ageless,fae_lifespan,1
lifespan_1000,fae_lifespan,2
lifespan_800,fae_lifespan,3
lifespan_600,fae_lifespan,4
lifespan_500,fae_lifespan,5
lifespan_400,fae_lifespan,6
lifespan_350,fae_lifespan,7
lifespan_300,fae_lifespan,8
lifespan_250,fae_lifespan,9
lifespan_200,fae_lifespan,10
lifespan_180,fae_lifespan,11
lifespan_160,fae_lifespan,12
lifespan_150,fae_lifespan,13
pagan_branch_1,fae_pagan_branch,1
pagan_branch_2,fae_pagan_branch,2
pagan_branch_3,fae_pagan_branch,3
pagan_branch_4,fae_pagan_branch,4
sahuagin_warrior,fae_sahuagin,1
sahuagin_chief,fae_sahuagin,2
sahuagin_baron,fae_sahuagin,3
sahuagin_prince,fae_sahuagin,4
sahuagin_king,fae_sahuagin,5
sahuagin_emperor,fae_sahuagin,6
scarred_type_1,fae_scarred_type,1
scarred_type_2,fae_scarred_type,2
scarred_type_3,fae_scarred_type,3
scarred_type_4,fae_scarred_type,4
scarred_type_5,fae_scarred_type,5
scarred_type_6,fae_scarred_type,6
scarred_type_7,fae_scarred_type,7
scarred_type_8,fae_scarred_type,8
scarred_type_9,fae_scarred_type,9
scarred_type_10,fae_scarred_type,10
warlock_fey,fae_warlock,1
warlock_fiend,fae_warlock,2
warlock_old_one,fae_warlock,3
warlock_celestial,fae_warlock,4
warlock_elemental,fae_warlock,5
wiz_abjuration,fae_wiz,1
wiz_conjuration,fae_wiz,2
wiz_divination,fae_wiz,3
wiz_enchantment,fae_wiz,4
wiz_evocation,fae_wiz,5
wiz_illusion,fae_wiz,6
wiz_necromancy,fae_wiz,7
wiz_transmutation,fae_wiz,8
