ck2_trait,source_file,reason
adopted,roleplaying_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
angered_patron,roleplaying_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
aoist_trait,religious_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
aristocrat,character_class_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
artificer,character_class_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
asexual,roleplaying_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
athar_trait,religious_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
atheist_trait,religious_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
avatar,religious_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
barbarian,character_class_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bard,character_class_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_aarin,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_abdel,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_abu_bakr,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_acererak,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_aerie,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_aeron,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_aida,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_ajantis,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_akar,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_alaundo,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_alias,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_alicia,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_alora,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_alphonse,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_alusair,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
bio_alustriel,z_biography_traits.txt,classified `comment` in docs/evidence/faerun_custom_traits.csv (Faerûn biography/roleplaying marker read only by CK2 events)
