set,lat_band,file,family,count,share_of_band
vanilla,0,tree_pine_01_b_generator_1.txt,pine,11817,0.478499
vanilla,0,tree_pine_01_a_generator_1.txt,pine,6712,0.271785
vanilla,0,tree_pine_impassable_01_a_generator_1.txt,pine,4583,0.185577
vanilla,0,tree_leaf_high_generator_1.txt,broadleaf,1083,0.043853
vanilla,0,tree_leaf_high_generator_3.txt,broadleaf,311,0.012593
vanilla,0,tree_leaf_high_generator_2.txt,broadleaf,190,0.007694
vanilla,1,tree_pine_01_b_generator_1.txt,pine,47398,0.444242
vanilla,1,tree_pine_01_a_generator_1.txt,pine,26306,0.246556
vanilla,1,tree_pine_impassable_01_a_generator_1.txt,pine,24103,0.225908
vanilla,1,reeds_01_generator_1.txt,reeds,6060,0.056798
vanilla,1,tree_leaf_high_generator_3.txt,broadleaf,938,0.008791
vanilla,1,tree_leaf_high_generator_1.txt,broadleaf,911,0.008538
vanilla,1,tree_leaf_high_generator_2.txt,broadleaf,519,0.004864
vanilla,1,tree_leaf_2_high_generator_1.txt,broadleaf,279,0.002615
vanilla,1,tree_leaf_01_single_generator_1.txt,broadleaf,178,0.001668
vanilla,1,tree_cypress_01_generator_1.txt,cypress,2,1.9e-05
vanilla,2,tree_leaf_high_generator_1.txt,broadleaf,58542,0.326693
vanilla,2,reeds_01_generator_1.txt,reeds,27633,0.154205
vanilla,2,tree_pine_01_b_generator_1.txt,pine,27628,0.154178
vanilla,2,tree_leaf_high_generator_3.txt,broadleaf,25383,0.141649
vanilla,2,tree_pine_01_a_generator_1.txt,pine,18431,0.102854
vanilla,2,tree_leaf_high_generator_2.txt,broadleaf,12912,0.072055
vanilla,2,tree_leaf_2_high_generator_1.txt,broadleaf,6794,0.037914
vanilla,2,tree_pine_impassable_01_a_generator_1.txt,pine,1720,0.009598
vanilla,2,tree_leaf_01_single_generator_1.txt,broadleaf,55,0.000307
vanilla,2,tree_sakura_forest_generator.txt,sakura,41,0.000229
vanilla,2,tree_sakura_01_generator.txt,sakura,30,0.000167
vanilla,2,steppe_bush_01_generator.txt,steppe bush,14,7.8e-05
vanilla,2,tree_sakura_03_generator.txt,sakura,11,6.1e-05
vanilla,2,tree_sakura_02_generator.txt,sakura,2,1.1e-05
vanilla,3,tree_leaf_high_generator_1.txt,broadleaf,28355,0.412238
vanilla,3,tree_leaf_high_generator_3.txt,broadleaf,15620,0.227091
vanilla,3,tree_leaf_high_generator_2.txt,broadleaf,7565,0.109984
vanilla,3,reeds_01_generator_1.txt,reeds,6107,0.088786
vanilla,3,tree_leaf_2_high_generator_1.txt,broadleaf,5517,0.080209
vanilla,3,steppe_bush_01_generator.txt,steppe bush,4633,0.067357
vanilla,3,tree_sakura_01_generator.txt,sakura,251,0.003649
vanilla,3,tree_sakura_forest_generator.txt,sakura,158,0.002297
vanilla,3,tree_leaf_01_single_generator_1.txt,broadleaf,145,0.002108
vanilla,3,tree_pine_01_b_generator_1.txt,pine,142,0.002064
