set,cell_px,cells,instances,mean_dominant_share
vanilla,8,20848,271273,0.7747
vanilla,16,22870,482093,0.7493
vanilla,24,15705,524773,0.7241
vanilla,32,10947,537771,0.7058
vanilla,48,6132,545255,0.679
vanilla,64,3958,547304,0.6574
vanilla,96,2097,548544,0.6317
vanilla,128,1325,548899,0.6068
vanilla,192,694,549038,0.564
vanilla,256,426,549077,0.5414
ours_terrain_only,8,51826,632417,0.9865
ours_terrain_only,16,18977,699829,0.9734
ours_terrain_only,24,10340,707171,0.9622
ours_terrain_only,32,6869,709319,0.951
ours_terrain_only,48,3878,710755,0.9295
ours_terrain_only,64,2670,711340,0.9096
ours_terrain_only,96,1562,711637,0.8791
ours_terrain_only,128,1052,711774,0.8446
ours_terrain_only,192,603,711852,0.8109
ours_terrain_only,256,392,711867,0.7734
ours_regional,8,51826,632417,0.7453
ours_regional,16,18977,699829,0.6695
ours_regional,24,10340,707171,0.7268
ours_regional,32,6869,709319,0.608
ours_regional,48,3878,710755,0.5833
ours_regional,64,2670,711340,0.5696
ours_regional,96,1562,711637,0.5501
ours_regional,128,1052,711774,0.5335
ours_regional,192,603,711852,0.5175
ours_regional,256,392,711867,0.495
