material_id,material_name,sample_count,mean_r,mean_g,mean_b,std_r,std_g,std_b
6,beach_02,10554700,129.07,129.95,129.06,2.36,2.34,2.17
-1,water (sea_zones + lakes provinces),8041139,128.71,129.56,128.72,2.8,2.77,2.33
26,forest_pine_01,1642278,128.69,129.17,128.38,4.31,4.26,4.53
24,forest_jungle_01,1476548,125.95,123.69,117.16,8.38,6.87,7.32
76,gen_central_hills,999917,144.42,131.61,113.24,19.17,17.34,16.14
47,mountain_03,933478,129.19,129.01,126.7,8.53,9.17,11.02
41,mountain_02_c_snow,919808,128.82,129.55,128.49,5.74,5.52,5.4
16,desert_wavy_01,880220,148.68,133.97,113.92,19.38,16.58,15.39
20,drylands_01_grassy,830910,137.97,132.8,124.04,12.88,10.74,10.88
63,central_lowlands_02,825694,127.34,127.85,125.75,6.63,6.26,6.55
78,gen_central_mountain_transition,800706,143.48,131.77,115.14,17.73,15.47,14.97
94,gen_drylands_base,771401,131.01,131.57,130.99,6.83,6.74,6.74
92,gen_desert_mountain,754495,130.5,130.97,130.06,6.14,6.07,6.54
25,forest_leaf_01,649070,127.79,127.61,124.69,6.63,5.56,5.4
64,central_lowlands_03,625179,127.3,127.49,125.03,6.78,6.34,6.69
68,gen_tropical_lowlands_03,566296,123.1,123.98,122.05,7.12,6.87,7.17
93,gen_desert_mountain_transition,494990,131.38,132.01,131.31,5.52,5.5,5.61
45,mountain_02_desert_c,475566,127.67,127.46,125.08,6.41,5.71,6.01
71,gen_tropical_mountain_transition,464910,120.13,118.32,113.14,9.08,8.53,8.75
65,gen_tropical_base,450606,127.39,127.86,125.74,6.49,6.29,6.65
86,gen_desert_base,447388,135.51,131.23,123.18,11.45,9.57,9.36
85,gen_steppe_mountain_transition,419691,135.79,131.53,123.32,10.9,8.94,9.15
17,desert_wavy_01_larger,405542,153.68,137.52,115.51,17.18,17.28,16.68
15,desert_rocky,363439,137.51,128.22,114.67,18.13,14.96,13.7
66,gen_tropical_lowlands,335928,124.96,125.5,123.56,7.73,7.3,7.08
18,drylands_01,320780,139.67,130.68,117.3,13.79,12.54,13.01
87,gen_desert_lowlands,311957,137.16,132.75,124.62,11.18,9.34,9.2
67,gen_tropical_lowlands_02,292027,131.87,132.52,130.8,11.05,10.9,11.11
57,steppe_bushes,287930,121.39,120.15,112.79,10.08,8.28,7.56
82,gen_steppe_lowlands_03,282420,133.69,128.43,119.95,13.97,14.39,16.73
90,gen_desert_lowlands_04,279852,134.57,129.68,121.62,11.62,9.98,10.16
28,hills_01,253710,126.32,125.94,123.37,7.0,6.49,6.8
70,gen_tropical_mountain,219820,124.08,122.7,118.1,7.38,6.93,7.23
89,gen_desert_lowlands_03,206822,135.75,132.59,126.74,11.59,10.83,11.53
72,gen_central_base,203215,121.86,120.49,115.92,8.15,7.6,7.85
83,gen_steppe_hills,196745,128.2,120.54,109.11,12.89,12.55,14.39
88,gen_desert_lowlands_02,173773,128.88,126.15,120.35,13.69,11.68,10.53
9,coastline_cliff_desert,170717,134.05,126.63,115.79,13.47,12.12,13.5
59,steppe_rocks,168741,118.75,117.3,110.93,13.58,11.88,10.06
58,steppe_grass,166526,124.71,122.39,114.59,11.28,9.11,7.95
42,mountain_02_d,166033,130.98,129.48,125.73,10.7,8.26,7.59
27,forestfloor,160704,127.28,127.68,126.6,7.45,7.27,7.47
79,gen_steppe_base,154512,144.74,132.78,115.87,15.64,14.31,14.5
50,oasis,146916,125.8,125.98,123.04,8.57,7.98,9.04
