path,width,height,format,mips,bytes,top_mip_bytes,canvas_fraction,map_sized
adjacencies/strait_diffuse.dds,256,48,RGB32A,9,65660,49152,0.0278,no
adjacencies/strait_gloss.dds,256,32,RGB32A,9,43836,32768,0.0278,no
adjacencies/strait_normal.dds,256,32,DXT5,9,11152,8192,0.0278,no
borders/border_civil_war.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_county.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_domain.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_highlighted_province.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_hovered_realm.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_hovered_realm_flat_map.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_impassable.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_my_realm.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_other_realm.dds,85,86,DXT5,7,10624,7744,0.0092,no
borders/border_province.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_realm_explorer_independent.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_realm_explorer_vassal.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_selected_realm.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_selected_realm_diplomatic.dds,85,86,DXT5,7,10624,7744,0.0092,no
borders/border_selected_realm_diplomatic_flat_map.dds,85,86,DXT5,7,10624,7744,0.0092,no
borders/border_selected_realm_flat_map.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_selected_realm_overlord.dds,85,86,DXT5,7,10624,7744,0.0092,no
borders/border_selected_realm_overlord_diplomatic.dds,85,86,DXT5,7,10624,7744,0.0092,no
borders/border_selected_realm_overlord_diplomatic_flat_map.dds,85,86,DXT5,7,10624,7744,0.0092,no
borders/border_selected_realm_overlord_flat_map.dds,85,86,DXT5,7,10624,7744,0.0092,no
borders/border_sub_realm.dds,85,86,DXT5,7,10624,7744,0.0092,no
borders/border_war.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_war_ally.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_war_target.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/border_water.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/debug.dds,86,86,DXT1,1,4000,3872,0.0093,no
borders/epidemic.dds,85,86,RGB32A,1,29368,29240,0.0092,no
borders/migrate.dds,85,86,RGB32A,1,29368,29240,0.0092,no
borders/migrate_domain.dds,85,86,RGB32A,1,29368,29240,0.0092,no
borders/my_top_realm.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/selection_highlight.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/selection_highlight_flat_map.dds,85,86,RGB32A,7,38876,29240,0.0092,no
borders/struggle.dds,85,86,RGB32A,1,29368,29240,0.0092,no
borders/struggle_interloper.dds,85,86,RGB32A,1,29368,29240,0.0092,no
borders/struggle_involved.dds,85,86,RGB32A,1,29368,29240,0.0092,no
borders/struggle_uninvolved.dds,85,86,RGB32A,1,29368,29240,0.0092,no
borders/vertical_border_legend.dds,512,512,DXT5,10,349680,262144,0.0556,no
disease/disease.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
disease/disease2.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
environment/cape_hill_8k_cube_specular.dds,3072,512,DXT5,12,2097360,1572864,0.3333,no
environment/environment_debug.dds,512,512,DXT1,10,1048784,131072,0.0556,no
environment/environment_mapobjects_shadow.dds,512,512,DXT1,10,1048784,131072,0.0556,no
environment/environment_mapobjects_sunny.dds,512,512,DXT1,10,1048784,131072,0.0556,no
environment/environment_terrain_shadow.dds,512,512,DXT1,10,1048784,131072,0.0556,no
environment/environment_terrain_sunny.dds,512,512,DXT1,10,1048784,131072,0.0556,no
environment/hdri.dds,512,512,DXT1,10,1048784,131072,0.0556,no
environment/qwantani_8k_nosun_cube_specular.dds,512,512,DXT1,10,1048784,131072,0.0556,no
legend/legend.dds,1024,1024,DXT5,1,1048704,1048576,0.1111,no
movement_arrows/arrow_locked.dds,256,256,DXT5,1,65664,65536,0.0278,no
movement_arrows/arrow_locked_flat_map.dds,256,256,DXT5,1,65664,65536,0.0278,no
movement_arrows/arrow_silk_road.dds,256,256,DXT5,1,65664,65536,0.0278,no
movement_arrows/arrow_silk_road_flat_map.dds,256,256,DXT5,1,65664,65536,0.0278,no
movement_arrows/attackarrow_move.dds,256,256,DXT5,1,65664,65536,0.0278,no
movement_arrows/attackarrow_move_flat_map.dds,256,256,DXT5,1,65664,65536,0.0278,no
movement_arrows/locked_shortarrow.dds,256,256,RGB32A,1,262272,262144,0.0278,no
movement_arrows/locked_shortarrow_flat_map.dds,256,256,RGB32A,1,262272,262144,0.0278,no
movement_arrows/movearrow_move.dds,256,256,DXT5,1,65664,65536,0.0278,no
movement_arrows/movearrow_move_flat_map.dds,256,256,DXT5,1,65664,65536,0.0278,no
movement_arrows/movearrow_travel_placeholder.dds,256,256,DXT5,9,87536,65536,0.0278,no
movement_arrows/retreatarrow_move.dds,256,256,DXT5,1,65664,65536,0.0278,no
movement_arrows/retreatarrow_move_flat_map.dds,256,256,DXT5,1,65664,65536,0.0278,no
movement_arrows/shortarrow.dds,256,256,RGB32A,1,262272,262144,0.0278,no
movement_arrows/shortarrow_flat_map.dds,256,256,RGB32A,1,262272,262144,0.0278,no
post_effects/colorcorrection_neutral.tga,1024,32,TGA_24bpp_type2,1,98348,991232,0.1111,no
rivers/river_bottom_diffuse.dds,128,128,DXT5,8,22000,16384,0.0139,no
rivers/river_bottom_gloss.dds,128,128,DXT5,8,22000,16384,0.0139,no
rivers/river_bottom_normal.dds,128,128,DXT5,8,22000,16384,0.0139,no
surround_map/surround_cloud.dds,512,512,BC4_UNORM,10,174924,131072,0.0556,no
surround_map/surround_fade.dds,1152,576,DXT5,11,885056,663552,0.125,no
surround_map/surround_mask.dds,4096,2048,DXT1,13,5592552,4194304,0.4444,yes
surround_map/surround_tile.dds,1024,1024,B8G8R8A8_UNORM,11,5592552,1164967936,0.1111,no
terrain/_debug_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/_debug_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/_debug_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/beach_02_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/beach_02_mediterranean_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/beach_02_mediterranean_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/beach_02_mediterranean_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/beach_02_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/beach_02_pebbles_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/beach_02_pebbles_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/beach_02_pebbles_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/beach_02_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/coastline_cliff_desert_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/coastline_cliff_grey_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/coastline_cliff_grey_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/coastline_cliff_grey_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/colormap.dds,9216,4608,DXT5,14,56623424,42467328,1.0,yes
terrain/desert_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_02_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_02_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_02_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_cracked_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_cracked_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_cracked_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_flat_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_flat_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_flat_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_rocky_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_rocky_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_rocky_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_larger_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_larger_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_larger_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/desert_wavy_01_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/detail_index.tga,9216,4608,TGA_32bpp_type2,1,169869356,1709309952,1.0,yes
terrain/detail_intensity.tga,9216,4608,TGA_32bpp_type2,1,169869356,1709309952,1.0,yes
terrain/drought_cracks_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drought_cracks_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/drought_cracks_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
