ck3_terrain,family,share_pct,n,cumulative_pct
desert,soil,43.54,244043,43.54
desert,rock,29.03,162719,72.56
desert,other,19.12,107187,91.68
desert,grass,8.14,45635,99.83
desert,snow,0.15,814,99.97
desert,forest,0.03,165,100.0
desert_mountains,rock,83.64,40954,83.64
desert_mountains,other,10.41,5097,94.05
desert_mountains,grass,4.81,2356,98.86
desert_mountains,soil,0.81,399,99.68
desert_mountains,forest,0.24,119,99.92
desert_mountains,snow,0.08,40,100.0
drylands,grass,77.16,357993,77.16
drylands,other,13.93,64619,91.09
drylands,rock,7.25,33641,98.34
drylands,soil,1.07,4981,99.42
drylands,forest,0.42,1948,99.84
drylands,snow,0.16,753,100.0
farmlands,soil,71.78,20691,71.78
farmlands,rock,9.89,2852,81.68
farmlands,grass,7.57,2181,89.25
farmlands,snow,6.66,1919,95.9
farmlands,forest,3.26,939,99.16
farmlands,other,0.84,242,100.0
floodplains,soil,56.54,25982,56.54
floodplains,rock,13.18,6056,69.72
floodplains,grass,11.35,5215,81.06
floodplains,other,8.78,4036,89.85
floodplains,snow,6.78,3117,96.63
floodplains,forest,3.37,1549,100.0
forest,forest,82.12,395354,82.12
forest,snow,8.87,42698,90.99
forest,rock,7.83,37678,98.81
forest,soil,0.58,2779,99.39
forest,grass,0.37,1764,99.76
forest,other,0.24,1174,100.0
hills,rock,36.77,236612,36.77
hills,grass,24.46,157385,61.22
hills,other,22.9,147403,84.12
hills,forest,8.92,57408,93.05
hills,soil,3.67,23646,96.72
hills,snow,3.28,21113,100.0
jungle,forest,72.28,286575,72.28
jungle,grass,17.54,69536,89.81
jungle,rock,4.94,19571,94.75
jungle,soil,4.22,16716,98.97
jungle,snow,0.65,2590,99.62
jungle,other,0.38,1511,100.0
mountains,rock,36.47,59384,36.47
mountains,snow,21.67,35287,58.14
mountains,grass,13.57,22091,71.71
mountains,other,12.16,19804,83.87
mountains,forest,9.84,16016,93.71
mountains,soil,6.29,10244,100.0
oasis,rock,42.34,6043,42.34
oasis,grass,35.96,5133,78.3
oasis,other,19.34,2761,97.64
oasis,soil,2.35,336,99.99
oasis,snow,0.01,1,100.0
oasis,forest,0.0,0,100.0
plains,forest,27.68,297637,27.68
plains,rock,24.42,262606,52.1
plains,soil,22.92,246527,75.02
plains,snow,13.4,144102,88.42
plains,grass,9.65,103823,98.08
plains,other,1.92,20692,100.0
steppe,rock,73.2,215798,73.2
steppe,grass,11.61,34216,84.8
steppe,other,8.49,25021,93.29
steppe,soil,4.76,14036,98.05
steppe,forest,1.3,3825,99.35
steppe,snow,0.65,1920,100.0
taiga,forest,87.69,789199,87.69
taiga,rock,9.06,81559,96.75
taiga,snow,2.47,22258,99.22
taiga,other,0.69,6186,99.91
taiga,soil,0.06,555,99.97
taiga,grass,0.03,237,100.0
terraced_hills,soil,73.39,25773,73.39
terraced_hills,grass,11.02,3870,84.41
terraced_hills,rock,9.96,3498,94.37
terraced_hills,forest,4.14,1455,98.52
terraced_hills,snow,1.41,496,99.93
terraced_hills,other,0.07,25,100.0
wetlands,other,60.44,106833,60.44
wetlands,grass,16.15,28549,76.59
wetlands,forest,11.46,20253,88.04
wetlands,snow,5.1,9016,93.15
wetlands,rock,4.72,8338,97.86
wetlands,soil,2.14,3779,100.0
