ck3_terrain,slope_bin,curvature_bin,elevation_bin,n,top_material,top_share,second_material,second_share,category_shares
desert,low,ridge,low,1831,desert_wavy_01,35.55,coastline_cliff_desert,22.61,soil=43.53;rock=35.28;other=17.53;grass=3.39;forest=0.27
desert,low,ridge,mid,11764,desert_wavy_01,33.03,drylands_01,16.42,soil=50.41;rock=24.0;other=17.21;grass=8.33;forest=0.05
desert,low,ridge,high,22816,desert_wavy_01,41.51,coastline_cliff_desert,13.99,soil=55.29;rock=24.18;other=13.55;grass=6.46;snow=0.53
desert,low,flat,low,8957,desert_wavy_01,28.12,drylands_01,18.23,soil=37.19;rock=30.79;other=20.73;grass=11.21;forest=0.08
desert,low,flat,mid,62425,desert_wavy_01,24.59,desert_wavy_01_larger,17.12,soil=51.55;rock=22.73;other=16.5;grass=8.96;forest=0.18;snow=0.08
desert,low,flat,high,25777,desert_wavy_01,33.71,coastline_cliff_desert,14.8,soil=49.49;rock=27.94;other=13.41;grass=9.05;forest=0.12
desert,low,valley,low,28961,desert_wavy_01,26.31,drylands_01_grassy,19.63,soil=33.44;rock=28.03;grass=19.63;other=18.89;forest=0.01
desert,low,valley,mid,32784,desert_wavy_01,24.92,drylands_01,12.39,soil=43.35;rock=25.63;other=21.28;grass=9.74
desert,low,valley,high,5764,desert_wavy_01,26.47,coastline_cliff_desert,23.82,soil=33.22;rock=31.33;grass=19.0;other=16.45
desert,mid,ridge,low,5144,desert_rocky,23.39,drylands_01,20.88,rock=42.67;soil=24.42;other=22.88;grass=8.59;forest=1.44
desert,mid,ridge,mid,20073,drylands_01,24.16,desert_wavy_01,19.8,soil=42.21;other=26.69;rock=25.25;grass=5.33;forest=0.52
desert,mid,ridge,high,37253,desert_wavy_01,26.29,drylands_01,20.37,soil=44.98;rock=26.36;other=21.17;grass=6.21;snow=1.28
desert,mid,flat,low,15149,desert_wavy_01,22.11,drylands_01,19.02,soil=37.9;rock=34.1;other=21.05;grass=6.61;forest=0.33
desert,mid,flat,mid,49260,desert_wavy_01,25.23,desert_wavy_01_larger,19.32,soil=56.24;rock=23.48;other=14.37;grass=5.21;forest=0.7
desert,mid,flat,high,28809,desert_wavy_01,32.3,coastline_cliff_desert,13.62,soil=52.41;rock=26.33;other=14.82;grass=6.16;forest=0.16;snow=0.11
desert,mid,valley,low,83077,desert_wavy_01,25.61,drylands_01,18.19,soil=38.74;rock=28.32;other=20.78;grass=12.1;forest=0.03;snow=0.03
desert,mid,valley,mid,39410,desert_wavy_01,20.59,drylands_01,18.75,soil=37.55;rock=28.18;other=22.38;grass=11.82;forest=0.03;snow=0.03
desert,mid,valley,high,12965,coastline_cliff_desert,22.93,desert_wavy_01,21.52,soil=34.69;rock=31.66;other=21.22;grass=12.24;snow=0.12;forest=0.07
desert,high,ridge,low,10054,desert_rocky,48.1,drylands_01,15.23,rock=65.66;soil=15.8;other=15.77;grass=2.74;snow=0.03
desert,high,ridge,mid,8554,drylands_01,31.12,desert_rocky,27.39,rock=42.66;other=32.43;soil=20.67;grass=3.97;snow=0.27
desert,high,ridge,high,47760,drylands_01,27.49,desert_cracked,26.31,soil=39.81;other=29.82;rock=23.26;grass=6.44;snow=0.66
desert,high,flat,low,12474,desert_rocky,32.01,drylands_01,17.59,rock=46.59;soil=28.28;other=18.02;grass=6.96;snow=0.14
