ck3_terrain,axis,n,h_category_given_class_bits,mutual_information_bits,frac_entropy_explained,eta_squared
desert,slope,762269,1.8683,0.0185,0.0099,0.0192
desert,curvature,762269,1.8683,0.0155,0.0083,0.0047
desert,flow,762269,1.8683,0.0005,0.0003,0.0002
desert,elevation,762269,1.8683,0.0161,0.0086,0.0097
desert_mountains,slope,79457,1.044,0.0373,0.0358,0.0236
desert_mountains,curvature,79457,1.044,0.0069,0.0066,0.0001
desert_mountains,flow,79457,1.044,0.0103,0.0099,0.003
desert_mountains,elevation,79457,1.044,0.022,0.0211,0.0092
drylands,slope,643860,1.2324,0.0193,0.0156,0.0054
drylands,curvature,643860,1.2324,0.0154,0.0125,0.0002
drylands,flow,643860,1.2324,0.0005,0.0004,0.0001
drylands,elevation,643860,1.2324,0.0238,0.0193,0.0015
farmlands,slope,60127,1.7968,0.0215,0.0119,0.0002
farmlands,curvature,60127,1.7968,0.0428,0.0238,0.016
farmlands,flow,60127,1.7968,0.0117,0.0065,0.0137
farmlands,elevation,60127,1.7968,0.0467,0.026,0.0492
floodplains,slope,90247,2.1631,0.053,0.0245,0.0025
floodplains,curvature,90247,2.1631,0.0432,0.02,0.0038
floodplains,flow,90247,2.1631,0.0042,0.002,0.0006
floodplains,elevation,90247,2.1631,0.0209,0.0096,0.0006
forest,slope,716174,1.1314,0.0128,0.0113,0.0073
forest,curvature,716174,1.1314,0.0045,0.004,0.0008
forest,flow,716174,1.1314,0.003,0.0027,0.004
forest,elevation,716174,1.1314,0.0095,0.0084,0.009
hills,slope,1065355,2.2571,0.0444,0.0197,0.0029
hills,curvature,1065355,2.2571,0.0197,0.0087,0.0009
hills,flow,1065355,2.2571,0.0002,0.0001,0.0001
hills,elevation,1065355,2.2571,0.0151,0.0067,0.0001
jungle,slope,641421,1.5464,0.0346,0.0224,0.0034
jungle,curvature,641421,1.5464,0.0358,0.0232,0.0009
jungle,flow,641421,1.5464,0.0057,0.0037,0.0046
jungle,elevation,641421,1.5464,0.0687,0.0444,0.0253
mountains,slope,312124,2.3927,0.0151,0.0063,0.0018
mountains,curvature,312124,2.3927,0.0396,0.0165,0.0071
mountains,flow,312124,2.3927,0.035,0.0146,0.0002
mountains,elevation,312124,2.3927,0.141,0.0589,0.0092
oasis,slope,28902,1.7969,0.0531,0.0296,0.0178
oasis,curvature,28902,1.7969,0.0278,0.0155,0.0037
oasis,flow,28902,1.7969,0.0021,0.0012,0.0008
oasis,elevation,28902,1.7969,0.0245,0.0136,0.0102
plains,slope,1488789,2.3795,0.0836,0.0351,0.0695
plains,curvature,1488789,2.3795,0.0811,0.0341,0.0655
plains,flow,1488789,2.3795,0.003,0.0012,0.0001
plains,elevation,1488789,2.3795,0.1022,0.043,0.0845
steppe,slope,341251,1.3766,0.0189,0.0137,0.0066
steppe,curvature,341251,1.3766,0.0317,0.023,0.0184
steppe,flow,341251,1.3766,0.0074,0.0054,0.0042
steppe,elevation,341251,1.3766,0.0506,0.0368,0.0418
taiga,slope,1068983,0.7677,0.0097,0.0126,0.0055
taiga,curvature,1068983,0.7677,0.0106,0.0138,0.0113
taiga,flow,1068983,0.7677,0.0015,0.0019,0.0015
taiga,elevation,1068983,0.7677,0.0225,0.0293,0.0272
terraced_hills,slope,76197,1.6882,0.0133,0.0079,0.0047
terraced_hills,curvature,76197,1.6882,0.0217,0.0128,0.002
terraced_hills,flow,76197,1.6882,0.0037,0.0022,0.0004
terraced_hills,elevation,76197,1.6882,0.0079,0.0047,0.0002
wetlands,slope,295116,1.9463,0.0368,0.0189,0.0029
wetlands,curvature,295116,1.9463,0.0161,0.0083,0.006
wetlands,flow,295116,1.9463,0.0012,0.0006,0.0008
wetlands,elevation,295116,1.9463,0.0259,0.0133,0.0054
