# GENERATED by scripts/measure_vanilla_snow_mask.py from vanilla's own
# gfx/map/textures/snow_mask.dds. Evidence, not a table the converter reads.
#
# gfx/FX/dynamic_masks.fxh:134 and :209 read this texture's R channel at a
# whole-map UV as `_NoSnowMask = 1 - R`: 255 means snow never falls at that
# spot of the map, 0 means the engine's own winter model decides. Ship no
# override and a custom map inherits the Sahara's heat belt at the Sahara's
# latitude.
#
# R varies with latitude, not with terrain material: per-material the standard
# deviation exceeds the mean and the ranking inverts (desert 48, mountains
# 198), because vanilla reuses one material at every latitude it occurs at.
# See docs/evidence/vanilla_snow_mask.csv for that rejected measurement and
# docs/step_map_water_border.md for the decision.
#
#   band       0 = northernmost, LATITUDE_BANDS-1 = southernmost
#   row_frac   the band's centre as a fraction of map height, north to south
#   no_snow_r  vanilla's own mean R over that band, 0-255
#
# This profile is Earth's, and Faerun's map carries no Earth latitudes to map
# it onto, so the converter ships a flat R = 0 instead and lets the shader's
# own hemisphere term (dynamic_masks.fxh:110, _SnowHemisphere) place the snow
# line. docs/step_map_water_border.md section 4.
band,row_frac,no_snow_r
0,0.00781,0
1,0.02344,0
2,0.03906,0
3,0.05469,0
4,0.07031,0
5,0.08594,0
6,0.10156,0
7,0.11719,0
8,0.13281,0
9,0.14844,0
10,0.16406,0
11,0.17969,0
12,0.19531,0
13,0.21094,1
14,0.22656,3
15,0.24219,4
16,0.25781,3
17,0.27344,3
18,0.28906,3
19,0.30469,5
20,0.32031,20
21,0.33594,49
22,0.35156,76
23,0.36719,91
24,0.38281,94
25,0.39844,89
26,0.41406,80
27,0.42969,75
28,0.44531,72
29,0.46094,76
30,0.47656,73
31,0.49219,66
32,0.50781,67
33,0.52344,80
34,0.53906,95
35,0.55469,109
36,0.57031,126
37,0.58594,142
38,0.60156,159
39,0.61719,167
40,0.63281,161
41,0.64844,159
42,0.66406,159
43,0.67969,156
44,0.69531,150
45,0.71094,141
46,0.72656,133
47,0.74219,128
48,0.75781,129
49,0.77344,138
50,0.78906,149
51,0.80469,154
52,0.82031,146
53,0.83594,131
54,0.85156,113
55,0.86719,98
56,0.88281,81
57,0.89844,58
58,0.91406,30
59,0.92969,8
60,0.94531,1
61,0.96094,0
62,0.97656,0
63,0.99219,0
