material_id,material_name,sample_count,mean_r,std_r,mean_g,mean_b,mean_a
6,beach_02,2638058,2.11,16.4,86.01,83.08,171.85
-1,water (sea_zones + lakes provinces),2010503,45.98,56.24,86.42,83.97,171.02
26,forest_pine_01,410503,0.01,0.23,97.54,101.24,153.72
24,forest_jungle_01,368957,156.26,107.53,101.42,82.12,172.83
76,gen_central_hills,249924,221.57,67.6,96.21,67.72,187.22
47,mountain_03,233477,11.47,38.77,103.75,110.37,144.6
41,mountain_02_c_snow,230089,16.45,51.13,101.49,84.71,170.2
16,desert_wavy_01,220104,221.23,74.39,94.09,59.25,195.68
20,drylands_01_grassy,207679,186.03,96.08,96.97,69.44,185.52
63,central_lowlands_02,206465,62.28,96.43,98.02,92.87,162.12
78,gen_central_mountain_transition,200054,201.93,88.52,94.73,64.63,190.31
94,gen_drylands_base,192875,0.01,0.08,100.63,101.96,152.99
92,gen_desert_mountain,188621,4.92,31.72,91.59,92.32,162.62
25,forest_leaf_01,162398,52.1,90.59,91.99,71.14,183.78
64,central_lowlands_03,156263,56.95,94.41,97.34,87.75,167.21
68,gen_tropical_lowlands_03,141568,55.33,90.75,92.1,91.42,163.55
93,gen_desert_mountain_transition,124001,0.01,0.57,101.42,107.92,147.05
45,mountain_02_desert_c,118858,45.74,76.7,86.68,86.35,168.62
71,gen_tropical_mountain_transition,116163,24.09,50.4,98.86,90.17,164.79
65,gen_tropical_base,112753,76.49,103.54,99.72,84.42,170.53
86,gen_desert_base,111823,160.77,106.09,94.14,79.0,175.96
85,gen_steppe_mountain_transition,104930,169.32,102.85,91.32,78.78,176.18
17,desert_wavy_01_larger,101414,252.06,18.22,110.78,53.77,201.16
15,desert_rocky,90808,151.35,110.55,96.94,74.2,180.76
66,gen_tropical_lowlands,83958,66.2,94.26,97.53,89.23,165.76
18,drylands_01,80207,227.92,51.82,85.95,64.97,189.99
87,gen_desert_lowlands,78041,175.48,99.04,93.4,79.16,175.8
67,gen_tropical_lowlands_02,72993,44.9,82.0,95.3,93.22,161.75
57,steppe_bushes,72003,207.21,67.92,92.3,92.58,162.39
82,gen_steppe_lowlands_03,70574,135.42,92.89,90.96,77.99,176.99
90,gen_desert_lowlands_04,69986,185.05,88.57,94.15,72.36,182.6
28,hills_01,63307,24.22,53.91,99.64,90.21,164.76
70,gen_tropical_mountain,54932,12.82,32.91,90.11,138.02,117.0
89,gen_desert_lowlands_03,51629,107.36,106.07,91.35,81.38,173.59
72,gen_central_base,50747,7.68,23.46,95.76,132.55,122.46
83,gen_steppe_hills,49133,173.96,79.56,87.56,81.63,173.35
88,gen_desert_lowlands_02,43500,106.6,101.09,93.98,84.41,170.57
9,coastline_cliff_desert,42636,207.72,62.3,89.22,88.63,166.34
59,steppe_rocks,42347,217.39,49.15,95.5,96.76,158.23
42,mountain_02_d,41506,81.2,116.54,93.45,70.95,183.99
58,steppe_grass,41459,199.68,78.31,98.15,89.45,165.52
27,forestfloor,40198,9.14,36.08,97.48,102.35,152.6
79,gen_steppe_base,38687,218.14,43.5,94.58,94.62,160.37
50,oasis,36805,83.79,103.22,111.42,89.09,165.89
81,gen_steppe_lowlands_02,36605,145.17,93.78,91.38,77.62,177.37
61,wetlands_02_mud,35151,206.52,43.55,88.29,95.33,159.66
97,gen_drylands_lowlands_03,35007,0.06,2.15,94.77,95.64,159.28
46,mountain_02_snow,34552,25.89,53.36,92.34,95.72,159.27
96,gen_drylands_lowlands_02,34543,0.04,2.24,98.12,93.2,161.73
29,hills_01_rocks,34472,49.99,83.51,96.34,91.95,163.03
60,wetlands_02,33524,213.73,34.46,90.99,92.57,162.42
7,beach_02_mediterranean,28375,74.33,83.37,95.37,81.92,173.03
104,gen_northern_lowlands_03,27652,121.42,74.0,87.66,104.38,150.62
13,desert_cracked,25211,214.22,66.64,96.39,69.8,185.17
44,mountain_02_d_valleys,24728,146.57,99.75,97.06,87.87,167.13
30,hills_01_rocks_medi,22657,95.27,99.35,95.13,79.11,175.87
33,medi_dry_mud,22390,136.36,93.41,96.13,100.18,154.77
