edge,depth,r,g,b
top,0,148.0,244.0,255.0
top,1,150.0,249.0,255.0
top,2,150.0,249.0,255.0
top,3,153.0,252.0,255.0
top,4,153.0,251.0,247.0
top,5,153.0,251.0,247.0
top,6,152.0,249.0,227.0
top,7,150.0,247.0,199.5
top,8,150.0,243.0,134.0
top,9,148.0,235.0,68.0
top,10,148.0,231.0,8.0
top,11,148.0,227.0,0.0
top,12,148.0,211.0,0.0
top,13,148.0,201.0,0.0
top,14,145.0,190.0,0.0
top,15,145.0,178.0,0.0
top,16,140.0,162.0,0.0
top,17,140.0,149.5,0.0
top,18,137.0,133.0,0.0
top,19,134.0,123.0,0.0
top,20,132.0,108.5,0.0
top,21,129.0,99.0,0.0
top,22,126.0,93.0,0.0
top,23,123.0,82.5,0.0
top,24,123.0,65.0,0.0
top,25,120.0,60.0,0.0
top,26,117.0,52.0,0.0
top,27,115.0,40.0,0.0
top,28,115.0,24.0,0.0
top,29,115.0,17.0,0.0
top,30,112.0,13.0,0.0
top,31,112.0,12.0,0.0
top,32,111.2,8.0,0.0
top,33,109.0,8.0,0.0
top,34,107.0,8.0,0.0
top,35,107.0,6.0,0.0
top,36,103.2,4.0,0.0
top,37,101.0,4.0,0.0
top,38,99.0,4.0,0.0
top,39,99.0,4.0,0.0
top,40,94.5,4.0,0.0
top,41,93.0,4.0,0.0
top,42,90.0,2.0,0.0
top,43,90.0,2.0,0.0
top,44,87.0,0.0,0.0
top,45,86.2,1.0,0.0
top,46,84.0,0.0,0.0
top,47,82.0,0.0,0.0
top,48,79.0,0.0,0.0
top,49,76.0,0.0,0.0
top,50,74.0,0.0,0.0
top,51,71.0,0.0,0.0
top,52,66.0,0.0,0.0
top,53,63.0,0.0,0.0
top,54,62.0,0.0,0.0
top,55,57.0,0.0,0.0
top,56,57.0,0.0,0.0
top,57,51.0,0.0,0.0
top,58,50.5,0.0,0.0
top,59,46.0,0.0,0.0
top,60,43.0,0.0,0.0
top,61,41.0,0.0,0.0
top,62,38.0,0.0,0.0
top,63,35.0,0.0,0.0
top,64,33.0,0.0,0.0
top,65,29.0,0.0,0.0
top,66,27.0,0.0,0.0
top,67,24.0,0.0,0.0
top,68,21.0,0.0,0.0
top,69,18.0,0.0,0.0
top,70,16.0,0.0,0.0
top,71,16.0,0.0,0.0
top,72,13.0,0.0,0.0
top,73,10.0,0.0,0.0
top,74,8.0,0.0,0.0
top,75,8.0,0.0,0.0
top,76,5.0,0.0,0.0
top,77,2.0,0.0,0.0
top,78,2.0,0.0,0.0
top,79,2.0,0.0,0.0
top,80,1.5,0.0,0.0
top,81,0.0,0.0,0.0
top,82,0.0,0.0,0.0
top,83,0.0,0.0,0.0
top,84,0.0,0.0,0.0
top,85,0.0,0.0,0.0
