lat_band,file,count,share_of_band
0,tree_leaf_high_generator_1.txt,1083,0.043841
0,tree_leaf_high_generator_2.txt,190,0.007691
0,tree_leaf_high_generator_3.txt,311,0.01259
0,tree_pine_01_a_generator_1.txt,6719,0.271991
0,tree_pine_01_b_generator_1.txt,11817,0.478363
0,tree_pine_impassable_01_a_generator_1.txt,4583,0.185524
1,reeds_01_generator_1.txt,6069,0.056795
1,tree_cypress_01_generator_1.txt,2,1.9e-05
1,tree_leaf_01_single_generator_1.txt,178,0.001666
1,tree_leaf_2_high_generator_1.txt,279,0.002611
1,tree_leaf_high_generator_1.txt,912,0.008535
1,tree_leaf_high_generator_2.txt,522,0.004885
1,tree_leaf_high_generator_3.txt,943,0.008825
1,tree_pine_01_a_generator_1.txt,26364,0.24672
1,tree_pine_01_b_generator_1.txt,47476,0.444291
1,tree_pine_impassable_01_a_generator_1.txt,24113,0.225655
2,reeds_01_generator_1.txt,27645,0.154295
2,steppe_bush_01_generator.txt,14,7.8e-05
2,tree_leaf_01_single_generator_1.txt,55,0.000307
2,tree_leaf_2_high_generator_1.txt,6813,0.038025
2,tree_leaf_high_generator_1.txt,58615,0.327147
2,tree_leaf_high_generator_2.txt,12920,0.07211
2,tree_leaf_high_generator_3.txt,25397,0.141748
2,tree_pine_01_a_generator_1.txt,18366,0.102506
2,tree_pine_01_b_generator_1.txt,27550,0.153765
2,tree_pine_impassable_01_a_generator_1.txt,1710,0.009544
2,tree_sakura_01_generator.txt,31,0.000173
2,tree_sakura_02_generator.txt,2,1.1e-05
2,tree_sakura_03_generator.txt,11,6.1e-05
2,tree_sakura_forest_generator.txt,41,0.000229
3,reeds_01_generator_1.txt,6090,0.088631
3,steppe_bush_01_generator.txt,4633,0.067426
3,tree_cypress_01_generator_1.txt,76,0.001106
3,tree_jungle_01_d_generator_1.txt,7,0.000102
3,tree_leaf_01_single_generator_1.txt,145,0.00211
3,tree_leaf_2_high_generator_1.txt,5500,0.080044
3,tree_leaf_high_generator_1.txt,28327,0.412257
3,tree_leaf_high_generator_2.txt,7558,0.109995
3,tree_leaf_high_generator_3.txt,15619,0.227311
3,tree_pine_01_a_generator_1.txt,93,0.001353
3,tree_pine_01_b_generator_1.txt,142,0.002067
3,tree_sakura_01_generator.txt,250,0.003638
3,tree_sakura_02_generator.txt,34,0.000495
3,tree_sakura_03_generator.txt,80,0.001164
3,tree_sakura_forest_generator.txt,158,0.002299
