ck3_terrain,climate,lat_band,file,count,p
desert,mild,3,tree_leaf_high_generator_1.txt,6,0.4
desert,mild,3,tree_leaf_high_generator_2.txt,1,0.066667
desert,mild,3,tree_leaf_high_generator_3.txt,8,0.533333
desert,mild,4,tree_leaf_high_generator_1.txt,4,0.307692
desert,mild,4,tree_leaf_high_generator_2.txt,3,0.230769
desert,mild,4,tree_leaf_high_generator_3.txt,6,0.461538
desert,none,2,reeds_01_generator_1.txt,2,0.004016
desert,none,2,tree_leaf_high_generator_1.txt,179,0.359438
desert,none,2,tree_leaf_high_generator_2.txt,104,0.208835
desert,none,2,tree_leaf_high_generator_3.txt,213,0.427711
desert,none,3,reeds_01_generator_1.txt,4,0.003273
desert,none,3,tree_leaf_high_generator_1.txt,453,0.370704
desert,none,3,tree_leaf_high_generator_2.txt,264,0.216039
desert,none,3,tree_leaf_high_generator_3.txt,501,0.409984
desert,none,4,tree_leaf_high_generator_1.txt,38,0.493506
desert,none,4,tree_leaf_high_generator_2.txt,12,0.155844
desert,none,4,tree_leaf_high_generator_3.txt,27,0.350649
desert,none,5,reeds_01_generator_1.txt,217,0.314493
desert,none,5,tree_jungle_01_d_generator_1.txt,1,0.001449
desert,none,5,tree_leaf_high_generator_1.txt,123,0.178261
desert,none,5,tree_leaf_high_generator_2.txt,58,0.084058
desert,none,5,tree_leaf_high_generator_3.txt,121,0.175362
desert,none,5,tree_palm_generator_1.txt,170,0.246377
desert,none,6,reeds_01_generator_1.txt,6,0.033333
desert,none,6,tree_leaf_high_generator_1.txt,28,0.155556
desert,none,6,tree_leaf_high_generator_2.txt,12,0.066667
desert,none,6,tree_leaf_high_generator_3.txt,32,0.177778
desert,none,6,tree_palm_generator_1.txt,102,0.566667
desert,none,7,tree_palm_generator_1.txt,121,1.0
desert,none,8,reeds_01_generator_1.txt,4,0.4
desert,none,8,tree_jungle_01_d_generator_1.txt,3,0.3
desert,none,8,tree_leaf_01_single_generator_1.txt,3,0.3
desert,none,9,tree_jungle_01_d_generator_1.txt,31,0.516667
desert,none,9,tree_leaf_01_single_generator_1.txt,29,0.483333
desert_mountains,none,2,tree_leaf_2_high_generator_1.txt,10,0.416667
desert_mountains,none,2,tree_leaf_high_generator_1.txt,7,0.291667
desert_mountains,none,2,tree_leaf_high_generator_2.txt,2,0.083333
desert_mountains,none,2,tree_leaf_high_generator_3.txt,5,0.208333
desert_mountains,none,3,tree_leaf_high_generator_1.txt,11,0.314286
desert_mountains,none,3,tree_leaf_high_generator_2.txt,10,0.285714
desert_mountains,none,3,tree_leaf_high_generator_3.txt,14,0.4
desert_mountains,none,4,tree_leaf_high_generator_1.txt,51,0.404762
desert_mountains,none,4,tree_leaf_high_generator_2.txt,22,0.174603
desert_mountains,none,4,tree_leaf_high_generator_3.txt,42,0.333333
desert_mountains,none,4,tree_palm_generator_1.txt,11,0.087302
desert_mountains,none,5,reeds_01_generator_1.txt,5,0.022936
desert_mountains,none,5,tree_jungle_01_d_generator_1.txt,3,0.013761
desert_mountains,none,5,tree_leaf_01_single_generator_1.txt,2,0.009174
desert_mountains,none,5,tree_leaf_high_generator_1.txt,83,0.380734
desert_mountains,none,5,tree_leaf_high_generator_2.txt,32,0.146789
desert_mountains,none,5,tree_leaf_high_generator_3.txt,48,0.220183
desert_mountains,none,5,tree_palm_generator_1.txt,45,0.206422
desert_mountains,none,6,tree_leaf_high_generator_1.txt,13,0.541667
desert_mountains,none,6,tree_leaf_high_generator_2.txt,1,0.041667
desert_mountains,none,6,tree_leaf_high_generator_3.txt,9,0.375
desert_mountains,none,6,tree_palm_generator_1.txt,1,0.041667
desert_mountains,none,7,tree_leaf_high_generator_1.txt,2,0.666667
desert_mountains,none,7,tree_leaf_high_generator_2.txt,1,0.333333
desert_mountains,none,9,tree_jungle_01_c_generator_1.txt,7,0.055118
desert_mountains,none,9,tree_jungle_01_d_generator_1.txt,86,0.677165
desert_mountains,none,9,tree_leaf_01_single_generator_1.txt,34,0.267717
drylands,mild,4,tree_leaf_high_generator_1.txt,1,0.5
drylands,mild,4,tree_leaf_high_generator_3.txt,1,0.5
drylands,none,3,tree_leaf_high_generator_1.txt,263,0.387906
drylands,none,3,tree_leaf_high_generator_2.txt,135,0.199115
drylands,none,3,tree_leaf_high_generator_3.txt,280,0.412979
drylands,none,4,tree_leaf_high_generator_1.txt,899,0.438537
drylands,none,4,tree_leaf_high_generator_2.txt,365,0.178049
drylands,none,4,tree_leaf_high_generator_3.txt,786,0.383415
drylands,none,5,reeds_01_generator_1.txt,61,0.012308
drylands,none,5,tree_cypress_01_generator_1.txt,52,0.010492
drylands,none,5,tree_jungle_01_d_generator_1.txt,13,0.002623
drylands,none,5,tree_leaf_high_generator_1.txt,1035,0.208838
drylands,none,5,tree_leaf_high_generator_2.txt,415,0.083737
drylands,none,5,tree_leaf_high_generator_3.txt,891,0.179782
drylands,none,5,tree_palm_generator_1.txt,2489,0.50222
drylands,none,6,tree_jungle_01_d_generator_1.txt,72,0.051209
drylands,none,6,tree_leaf_01_single_generator_1.txt,12,0.008535
drylands,none,6,tree_leaf_2_high_generator_1.txt,183,0.130156
drylands,none,6,tree_leaf_high_generator_1.txt,262,0.186344
drylands,none,6,tree_leaf_high_generator_2.txt,164,0.116643
drylands,none,6,tree_leaf_high_generator_3.txt,294,0.209104
drylands,none,6,tree_palm_generator_1.txt,419,0.298009
drylands,none,7,reeds_01_generator_1.txt,136,0.034309
drylands,none,7,tree_jungle_01_c_generator_1.txt,2,0.000505
drylands,none,7,tree_jungle_01_d_generator_1.txt,4,0.001009
drylands,none,7,tree_leaf_2_high_generator_1.txt,3,0.000757
drylands,none,7,tree_leaf_high_generator_1.txt,893,0.225277
drylands,none,7,tree_leaf_high_generator_2.txt,312,0.078708
drylands,none,7,tree_leaf_high_generator_3.txt,710,0.179112
drylands,none,7,tree_palm_generator_1.txt,1904,0.480323
drylands,none,8,reeds_01_generator_1.txt,342,0.114
drylands,none,8,tree_jungle_01_c_generator_1.txt,4,0.001333
drylands,none,8,tree_jungle_01_d_generator_1.txt,60,0.02
drylands,none,8,tree_leaf_high_generator_1.txt,1104,0.368
drylands,none,8,tree_leaf_high_generator_2.txt,415,0.138333
drylands,none,8,tree_leaf_high_generator_3.txt,879,0.293
drylands,none,8,tree_palm_generator_1.txt,196,0.065333
drylands,none,9,tree_jungle_01_c_generator_1.txt,17,0.073593
drylands,none,9,tree_jungle_01_d_generator_1.txt,152,0.658009
drylands,none,9,tree_leaf_01_single_generator_1.txt,62,0.268398
farmlands,mild,2,reeds_01_generator_1.txt,3,0.044776
farmlands,mild,2,tree_leaf_high_generator_1.txt,29,0.432836
farmlands,mild,2,tree_leaf_high_generator_2.txt,14,0.208955
farmlands,mild,2,tree_leaf_high_generator_3.txt,21,0.313433
farmlands,none,2,tree_leaf_2_high_generator_1.txt,214,0.566138
farmlands,none,2,tree_leaf_high_generator_1.txt,80,0.21164
farmlands,none,2,tree_leaf_high_generator_2.txt,25,0.066138
farmlands,none,2,tree_leaf_high_generator_3.txt,59,0.156085
farmlands,none,3,tree_cypress_01_generator_1.txt,4,0.002948
farmlands,none,3,tree_leaf_2_high_generator_1.txt,262,0.193073
