percentile_lo,percentile_hi,slope_lo,slope_hi,land_px,instances,density_per_px,relative_density
0,25,0.0,51.09,5927695,121591,0.020512,0.8912
25,50,51.09,129.29,5932057,155121,0.02615,1.1362
50,70,129.29,240.67,4744324,131234,0.027661,1.2018
70,85,240.67,414.95,3557988,86143,0.024211,1.0519
85,90,414.95,508.17,1186091,22810,0.019231,0.8356
90,95,508.17,658.64,1186008,18107,0.015267,0.6633
95,97,658.64,768.25,474402,5424,0.011433,0.4968
97,98.5,768.25,922.94,355806,3203,0.009002,0.3911
98.5,99.5,922.94,1204.83,237210,1565,0.006598,0.2867
99.5,100,1204.83,14215.95,118601,740,0.006239,0.2711
