zone,lo,hi,n,wc_r,wc_g,wc_b,wc_a,foam_r,foam_g,foam_b,foam_a
water,1,2,130530,45.12,72.26,73.29,55.34,78.17,31.49,140.0,255.0
water,2,4,162050,47.73,79.1,80.27,56.1,79.8,60.95,140.0,255.0
water,4,8,228478,39.11,77.07,78.55,71.97,74.45,102.47,140.0,255.0
water,8,16,368682,32.63,72.45,74.03,74.33,58.28,172.34,140.0,255.0
water,16,32,557063,30.5,68.09,69.9,75.0,32.51,234.33,140.0,255.0
water,32,64,709311,27.29,58.35,60.85,75.44,20.94,251.74,140.0,255.0
water,64,128,848803,24.41,54.38,56.76,75.59,17.12,254.72,140.0,255.0
water,128,256,1079383,23.14,56.02,57.9,74.3,16.37,254.94,140.0,255.0
water,256,,601957,22.2,59.3,60.96,68.0,20.15,254.84,140.0,255.0
land,1,2,123815,38.5,64.43,65.42,60.54,74.85,5.5,140.0,255.0
land,2,4,178880,39.55,62.9,63.7,61.23,73.6,1.21,140.0,255.0
land,4,8,295233,42.4,63.27,63.84,64.45,72.61,0.74,140.0,255.0
land,8,16,492752,45.93,63.36,63.39,66.12,71.83,0.49,140.0,255.0
land,16,32,784356,51.02,64.22,63.1,67.75,71.23,0.18,140.0,255.0
land,32,64,1121934,59.43,66.9,63.15,70.65,71.01,0.02,140.0,255.0
land,64,128,1333355,69.96,69.75,62.1,77.5,71.0,0.03,140.0,255.0
land,128,256,1300924,66.13,65.9,59.72,83.44,71.0,0.07,140.0,255.0
land,256,,299326,51.94,56.21,56.09,83.6,71.02,0.15,140.0,255.0
