ck2_key,level,ck3_key,form,status,note
name,history,name,same,exact,1:1
female,history,female,same,exact,1:1
culture,history,culture,same,exact,culture ids keep their CK2 names (lane cultures-religions)
religion,history,religion,same,exact,faith ids keep their CK2 religion names; vanilla uses `religion` 69x more than `faith`
dynasty,history,dynasty,char_ref,exact,value gets the fae_ prefix like every other converted id
father,history,father,char_ref,exact,1:1
mother,history,mother,char_ref,exact,1:1
martial,history,martial,same,exact,1:1
diplomacy,history,diplomacy,same,exact,1:1
intrigue,history,intrigue,same,exact,1:1
stewardship,history,stewardship,same,exact,1:1
learning,history,learning,same,exact,1:1
combat_rating,history,prowess,scale_0_1,approx,CK2 combat_rating x0.1 per mappings/modifiers.csv; 0 uses in Faerun
health,history,health,same,exact,1:1
fertility,history,fertility,same,exact,1:1
trait,history,trait,trait,exact,"value remapped through mappings/trait_ck2_to_ck3.csv; a vanilla_traits.csv status=drop trait becomes a comment, status=sexuality becomes sexuality = <value>, and a conflict with an already-held trait (dup/opposite/leveled sibling) keeps the CK2-first-listed one and comments the rest (docs/step_traits.md rules 1-3)"
add_trait,history,add_trait,trait,exact,1:1
remove_trait,history,remove_trait,trait,exact,1:1
disallow_random_traits,history,disallow_random_traits,same,exact,1:1
birth,history,birth,same,exact,1:1
death,history,death,death,exact,bare yes or block; death_reason remapped via mappings/death_reasons.csv
give_nickname,history,give_nickname,nickname,exact,value remapped via mappings/nicknames.csv
employer,history,employer,char_ref,exact,956 vanilla history uses
add_spouse,history,add_spouse,char_ref,exact,1:1
add_matrilineal_spouse,history,add_matrilineal_spouse,char_ref,exact,1:1
remove_spouse,history,remove_spouse,char_ref,exact,1:1
add_consort,history,add_concubine,char_ref,approx,renamed; needs doctrine_concubines or the culture consort parameter
capital,history,capital,same,approx,1:1 key; a b_ value must become its parent county (Faerun's single use is already a c_)
add_claim,history,add_pressed_claim,title_scope_effect,approx,CK3 splits pressed/unpressed and wants the title: scope; wrapped in effect = { }
immortal_age,history,set_immortal_age,int_effect,approx,CK3 effect (common/effect_localization/00_additional_effects.txt); wrapped in effect = { }
wealth,history,add_gold,int_effect,approx,CK2 sets an absolute value; CK3 adds a delta
