section,ck2_key,ck2_uses_in_faerun,ck2_value_shape,ck3_file,ck3_key,ck3_value_shape,status,default_when_none,ck3_evidence,note
history/characters,<id> = { ... },18124,numeric id 2..90008 in 80 id-range files,history/characters/fae_*.txt,<id> = { ... },numeric OR string id,exact,-,history/_characters.info:3 (1001 = { # character id),"CK3 ids may be strings: 33104 of 71124 vanilla history ids are non-numeric (e.g. sephardi_0001, bai_yang_2_1), and EK2 uses string ids for 100% of its 16515 characters. RECOMMENDATION: prefix every converted id (`fae_<ck2id>`) so the mod can never collide with vanilla's numeric space (which reaches 1000230517) - see docs/mapping_world.md."
history/characters,name,18124-ish,literal string or loc key,history/characters/fae_*.txt,name,literal string or loc key,exact,-,history/_characters.info:4 ; history/characters (71142 live uses),1:1.
history/characters,female,present,yes/no,history/characters/fae_*.txt,female,yes/no,exact,omit (default no),history/_characters.info:6 ; 12538 live uses,1:1.
history/characters,dynasty,present,dynasty id 1..15859,history/characters/fae_*.txt,dynasty,dynasty id (numeric or string),exact,omit (lowborn),history/_characters.info:19 ; 56798 live uses,"1:1. Mutually exclusive with `dynasty_house` - use one or the other, never both."
history/characters,(none),0,-,history/characters/fae_*.txt,dynasty_house,house id,none,omit,history/_characters.info:20 ; 10427 live uses,CK3-only. CK2 has no cadet houses. Only emit if the converter generates houses (see the common/dynasty_houses rows).
history/characters,religion,present,CK2 religion id,history/characters/fae_*.txt,religion (or `faith`),CK3 faith id,exact,-,"history/_characters.info:18 (faith = ...) ; 70119 live `religion`, 1024 `faith`","1:1 key. VALUE remap: a CK2 religion becomes a CK3 FAITH (see religion_fields.csv). Both `religion` and `faith` are accepted; vanilla uses `religion` 69x more often, so emit `religion`."
history/characters,culture,present,CK2 culture id,history/characters/fae_*.txt,culture,CK3 culture id,exact,-,history/_characters.info:17 ; 71143 live uses,1:1.
history/characters,martial / diplomacy / intrigue / stewardship / learning,present,int,history/characters/fae_*.txt,martial / diplomacy / intrigue / stewardship / learning,int (cap 100),exact,omit (randomised),history/_characters.info:6-12 ; 8940/8908/8892/8964/495 live uses,"1:1, same five names."
history/characters,combat_rating,0 in Faerun (verified absent),int,history/characters/fae_*.txt,prowess,int,approx,omit (randomised),history/_characters.info:7,"CK3's sixth attribute. Faerun never sets `combat_rating` so nothing to derive from; leave it out and let CK3 randomise, or derive from `martial` via an overrides table. Do NOT invent values."
history/characters,health,5,float,history/characters/fae_*.txt,health,float,exact,omit,history/_characters.info:23 ; live in vanilla,1:1 (barely used on either side).
history/characters,fertility,2,float,history/characters/fae_*.txt,fertility,float,exact,omit,history/_characters.info:24 ; live in vanilla,1:1.
history/characters,father / mother,present,character id,history/characters/fae_*.txt,father / mother,character id,exact,omit,history/_characters.info:13-14 ; 56079 father / 14930 mother live uses,1:1.
