ck2_scope,ck2_key,ck2_uses_in_faerun,ck2_value_shape,ck3_file,ck3_key,ck3_value_shape,status,default_when_none,ck3_evidence,note
culture_group,<group_id> = { ... },67 groups,block; the ONLY grouping level in CK2,common/culture/pillars/fae_heritages.txt + fae_languages.txt,heritage; language,pillar objects: type = heritage / type = language,approx,heritage_fae_<group>; language_fae_<group>,"common/culture/pillars/_pillars.info ; common/culture/pillars/00_heritage.txt:1 (heritage_akan) ; 00_language.txt:1 (language_anglic). Counts: 59 heritages, 91 languages in vanilla.","VERIFIED CK2 side: a culture GROUP has only TWO real attribute keys, `graphical_cultures` (67/67) and `alternate_start` (9/67); everything else at that brace depth is a culture id. Rule: one heritage AND one language pillar per CK2 group. Minimal heritage = `type = heritage` (3 lines); minimal language = `type = language` + `color = <named_color>`. design_races.md item 1 adds `parameters = { species_<race> = yes }` to the heritage. Faerun groups per file: human.txt 22, monsters.txt 10, 99_animals.txt 9, outsiders.txt 8, elves.txt 4, giants.txt 4, karaturan-in-human, dragons.txt 2, littlefolk.txt 2, scalykind.txt 2, demihuman.txt 2, dwarves.txt 1, province_monster_culture.txt 1; 00_cultures.txt is EMPTY (0 bytes)."
culture,<culture_id> = { ... },419 cultures,block,common/culture/cultures/fae_<group>.txt,<culture_id> = { },block,exact,-,common/culture/cultures/_cultures.info:11 (first_culture = {) ; 244 cultures in 56 vanilla files,1:1. VERIFIED 419 cultures in Faerun (docs/faerun_ck2_survey.md's '~495' was an upper bound). Culture ids are globally unique in both games.
culture,parent,3 (CK2 base only usage pattern),culture id,common/culture/cultures/*.txt,parents,{ culture_id ... },approx,omit,common/culture/cultures/00_north_germanic.txt:56 (parents = { norse }) ; 42 live uses,CK2 `parent` is a single culture; CK3 `parents` is a list (used for hybrid cultures). Only meaningful together with `created`; both optional.
both,color,67 + 419,{ r g b } floats 0-1,common/culture/cultures/*.txt,color,{ r g b } floats/ints or a common/named_colors key,exact,{ 0.5 0.5 0.5 },"common/culture/cultures/_cultures.info:14 ; 00_north_germanic.txt:2 (color = norse), :54 (color = { 0.25 0.5 0.75 })",Float triple copies verbatim. The GROUP colour has no CK3 home (heritages have no colour) - reuse it as the language pillar's `color` or drop it.
culture_group,graphical_cultures,67 (one per group); 319 distinct values in Faerun,{ gfxculture ... },common/culture/cultures/*.txt,building_gfx; clothing_gfx; coa_gfx,{ key key },approx,building_gfx = { western_building_gfx }; clothing_gfx = { western_clothing_gfx }; coa_gfx = { western_coa_gfx },"common/culture/cultures/_cultures.info:76-81 ; 00_north_germanic.txt:39-42. Most-used vanilla values (verified counts): western_coa_gfx 69, western_building_gfx 52, western_clothing_gfx 46, western_unit_gfx 30.","CK2 has ONE gfx list covering portraits, buildings, units and flags; CK3 splits it into four independent axes and portraits are NOT one of them (they are `ethnicities`). Faerun uses 319 distinct values (drowgfx, dwarfgfx, beholdergfx, mindflayergfx ...) - none of which exist in CK3, so ALL of them must be remapped via overrides/gfx_of_culture_group.csv with the western_* set as the fallback."
culture,graphical_cultures (culture-level override),419,{ gfxculture ... },common/culture/cultures/*.txt,building_gfx; clothing_gfx; coa_gfx,{ specific group_fallback },approx,-,00_north_germanic.txt:39-42,CK3 accepts several keys per axis as a fallback chain; emit `{ <specific> <group_fallback> }`.
culture,unit_graphical_cultures,22 (all in human.txt); 14 distinct values,{ gfxculture ... },common/culture/cultures/*.txt,unit_gfx,{ key key },approx,unit_gfx = { western_unit_gfx },common/culture/cultures/_cultures.info:80 ; 00_north_germanic.txt:42,"VERIFIED it is a CULTURE-level key, not a group one. Faerun values: arabicgfx, berbergfx, bodpagfx, easternslavicgfx, englishgfx, fiendgfx, levantinegfx, mongolgfx, muslimgfx, normangfx, saxongfx, southerngfx, tanarrigfx, westerngfx. Faerun's 78 custom .xac unit models are not portable (mechanics_inventory), so map onto vanilla unit_gfx ids."
culture,(none),0,-,common/culture/cultures/*.txt,ethnicities,{ weight = ethnicity_id ... },none,ethnicities = { 10 = <nearest vanilla ethnicity> },common/culture/cultures/_cultures.info:71-74 ; 00_north_germanic.txt:44-49 ; 244/244 vanilla cultures define it,Mandatory in practice. CK2 has no ethnicity concept (portraits are 2D sprite layers keyed off graphical_cultures). Filled from overrides/ethnicity_of_culture_group.csv per design_races.md tier 2; EK2 precedent: `ethnicities = { 15 = race_dunmer_redoran  10 = race_dunmer  10 = race_dunmer_ear ... }`.
culture,(none),0,-,common/culture/cultures/*.txt,house_coa_frame; house_coa_mask_offset; house_coa_mask_scale; dynasty_coa_frame,frame name; { x y }; { x y }; frame name,none,omit,"common/culture/cultures/_cultures.info:88-90 ; 00_north_germanic.txt:43 ; VERIFIED omittable: 11 vanilla cultures (andalusian, basque, castilian, catalan, portuguese, visigothic, galician, asturleonese, aragonese, suebi) define no house_coa_frame","Needs `<frame>.dds` + `<frame>_mask.dds` in gfx/interface/coat_of_arms/frames, so only emit an existing vanilla frame id or nothing. EK2 reuses vanilla frames (house_frame_16)."
culture,(none),0,-,common/culture/cultures/*.txt,ethos,ethos_bellicose|ethos_stoic|ethos_bureaucratic|ethos_spiritual|ethos_courtly|ethos_egalitarian|ethos_communal,none,ethos_communal,"common/culture/pillars/00_ethos.txt (7 ids, all verified) ; common/culture/cultures/_cultures.info:47 ; 244/244 vanilla cultures define it","MANDATORY, no CK2 source. Heuristic (`assumed`, overridable in overrides/culture_ethos.csv): allow_looting = yes OR seafarer = yes -> ethos_bellicose; feminist = yes -> ethos_egalitarian; castes = yes -> ethos_stoic; horde/nomadic -> ethos_bellicose; a culture whose group is a priest/temple race -> ethos_spiritual; else ethos_communal."
culture,(none),0,-,common/culture/cultures/*.txt,heritage,heritage_fae_<group>,none,heritage_fae_<group>,common/culture/cultures/_cultures.info:48 ; 244/244 define it,MANDATORY. One per CK2 culture group = the race tag.
culture,(none),0,-,common/culture/cultures/*.txt,language,language_fae_<group>,none,language_fae_<group>,common/culture/cultures/_cultures.info:49 ; 244/244 define it,MANDATORY. One per CK2 culture group by default (a shared tongue per race matches both the CK2 group structure and the D&D convention). Overridable per culture.
culture,feminist,80 (a RELIGION key too - see religion_fields.csv),yes/no,common/culture/cultures/*.txt,martial_custom,martial_custom_male_only|martial_custom_equal|martial_custom_female_only,approx,martial_custom_male_only,common/culture/pillars/00_martial_custom.txt (3 ids) ; common/culture/cultures/_cultures.info:50 documents it as `martial_tradition` which is WRONG - 244/244 vanilla cultures use `martial_custom`,"MANDATORY. feminist = yes -> martial_custom_equal, else martial_custom_male_only. STALE-DOC GOTCHA: _cultures.info says `martial_tradition`; only the trigger kept that name (has_same_culture_martial_tradition)."
culture,horde,0 in Faerun (4 in CK2 base),yes/no,common/culture/cultures/*.txt,head_determination; traditions,head_determination_herd; tradition_horse_lords,approx,head_determination_domain,common/culture/pillars/00_head_determination.txt (2 ids) ; common/culture/cultures/_cultures.info:51 ; 244/244 define head_determination,"head_determination is MANDATORY. VERIFIED Faerun never sets `horde`, so derive the herd variant from the GOVERNMENT instead (nomadic_tribal_government / semi_nomadic_government -> head_determination_herd)."
culture,(none),0,-,common/culture/cultures/*.txt,traditions,{ tradition_id ... },none,traditions = { },common/culture/cultures/_cultures.info:19 ; VERIFIED omittable: `greek` and `japanese` in common/culture/cultures/ define no traditions ; 197 vanilla tradition ids exist,"NOT strictly mandatory (2/244 vanilla cultures omit it). Only emit traditions that a CK2 flag justifies (rows below). EK2 precedent: 185 distinct ids referenced, 77 vanilla + 108 custom - but the converter must not invent traditions, so stick to the vanilla 197."
culture,seafarer,4 (also a religion key),yes/no,common/culture/cultures/*.txt,traditions,tradition_seafaring,approx,omit,"common/culture/traditions/*.txt (tradition_seafaring; alternatives tradition_maritime_way_of_life, tradition_fishermen)",Closest vanilla tradition.
culture,allow_looting,25 (CK2 base); also a religion key (48 in Faerun),yes/no,common/culture/cultures/*.txt,traditions,tradition_practiced_pirates,approx,omit,common/culture/traditions/*.txt (tradition_practiced_pirates),"CK3 raiding permission is a GOVERNMENT flag (government_can_raid_rule on tribal/wanua/nomad), not a culture property, so the tradition is flavour only. The real switch is the government mapping."
culture,castes,0 in Faerun (13 in CK2 base),yes/no,common/culture/cultures/*.txt,traditions,tradition_ruling_caste; tradition_stratified_society,approx,omit,common/culture/traditions/*.txt,VERIFIED unused by Faerun (and by Faerun religions) - nothing to convert. Kept for CK2-base completeness.
culture,nomadic_in_alt_start,14 (CK2 base),yes/no,-,(none),-,none,-,-,CK2 random/shattered world only. Drop.
culture,disinherit_from_blinding,8 (CK2 base),yes/no,-,(none),-,none,-,-,CK3 removed blinding as a mechanic (tradition_merciful_blindings is unrelated flavour). Comment.
culture,dukes_called_kings,22 (CK2 base),yes/no,common/flavorization/fae_*.txt,<key> = { type = title tier = duchy name_lists = { name_list_fae_<culture> } },block + a loc key of the same name,approx,omit,common/flavorization/_flavourization.info (type/tier/name_lists/priority) ; common/flavorization/00_flavorization.txt:4 (prince_male_roman),"CK2's per-culture title renaming lives in CK3's common/flavorization, matched on name_lists / heritages / governments / titles. Same mechanism serves landed_titles `title`/`title_female`/`foa` (see title_fields.csv)."
culture,baron_titles_hidden,8 (CK2 base),yes/no,-,(none),-,none,-,-,CK3 always shows barony titles. Comment.
