ck2_key,ck3_key,status,confidence,note,decision_uses
id,id,exact,assumed,unchanged (trigger_event field),309
character_event,,none,verified,"CK2 character_event fires a CK2 event id; no CK2 event is ported yet (README §5 step 3), and a trigger_event to an unknown id fails validation at load - commented out until the events step exists",274
trait,add_trait,approx,verified,"CK2 explicit `trait = X` effect (add) -> CK3 `add_trait = X`; the argument X is re-resolved through the traits step's id map at conversion time (ck2ck3.steps.decisions), not a literal rename",267
remove_trait,remove_trait,exact,verified,unchanged,265
add_trait,add_trait,exact,verified,unchanged,264
wealth,,none,verified,"not a CK3 effect key: `piety`/`prestige`/`gold` are trigger-only comparisons in CK3, changed only via add_gold/add_piety/add_prestige - no bare effect of this name",226
religion,religion,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),225
set_character_flag,add_character_flag,approx,verified,CK3 renamed set_character_flag -> add_character_flag,211
has_province_modifier,has_county_modifier,approx,assumed,"CK3 merged province into county (trigger, kept for cross-listing)",168
religion_group,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),161
hidden_tooltip,,none,verified,"see triggers table: not real CK3 vocabulary, approximating it broke custom_tooltip's required text field",158
any_demesne_province,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),143
culture,culture,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),134
add_character_modifier,add_character_modifier,exact,verified,unchanged,126
name,,none,assumed,"context-dependent field name, not a single vocabulary key",117
give_nickname,give_nickname,exact,verified,unchanged,113
has_nickname,has_nickname,exact,assumed,"unchanged (this is a trigger, kept for the survey's cross-listing)",109
society_member_of,,none,verified,societies do not exist in CK3 (docs/mechanics_inventory.md),107
piety,,none,verified,"not a CK3 effect key: piety is trigger-only, changed only via add_piety - no bare effect of this name",103
which,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),90
custom_tooltip,custom_tooltip,exact,verified,unchanged,89
text,text,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),89
location,location,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),87
remove_province_modifier,remove_county_modifier,approx,assumed,CK3 merged province into county,84
years,years,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),83
province,province,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),81
troops,,none,assumed,"context-dependent field name (spawn_army composition), not a single vocabulary key",81
owner,owner,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),80
spawn_unit,,none,verified,"spawn_army exists in CK3 (verified) but its inner schema is fixed (location=/name=/army_composition=...) and does not match CK2 spawn_unit's body (province=/owner=/leader=/troops={}) field-by-field - approximating the outer key alone left the CK2 body inside it, error(unknown-field)/error(missing-item) per field; needs a human rewrite per call site, same limitation as create_character",77
random_list,random_list,exact,verified,unchanged,76
maintenance_multiplier,,none,assumed,not found in the CK3 1.19 vocabulary sample,75
earmark,,none,assumed,CK3 regiments have no earmark mechanic,73
days,days,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),69
remove_character_modifier,remove_character_modifier,exact,verified,unchanged,69
clr_character_flag,remove_character_flag,approx,verified,CK3 renamed clr_character_flag -> remove_character_flag,68
add_building,add_building,exact,verified,unchanged,60
can_toggle_looting,,none,assumed,not found in the CK3 1.19 vocabulary sample,59
cannot_inherit,,none,assumed,not found in the CK3 1.19 vocabulary sample,58
reinforces,,none,assumed,not found in the CK3 1.19 vocabulary sample,58
save_event_target_as,save_scope_as,approx,verified,CK3 unified saved targets into scopes,57
dynasty,dynasty,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),55
disband_on_peace,,none,assumed,not found in the CK3 1.19 vocabulary sample,54
flag,flag,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),54
is_female,is_female,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),54
is_looter,,none,assumed,not found in the CK3 1.19 vocabulary sample,53
random_traits,random_traits,exact,assumed,unchanged (create_character field),53
archers,archers,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),51
prestige,,none,verified,"not a CK3 effect key: prestige is trigger-only, changed only via add_prestige - no bare effect of this name",51
set_graphical_culture,,none,verified,"not found in the CK3 1.19 vocabulary sample; CK3 graphical culture is a culture-definition field, not a runtime effect (out of this lane's scope - the cultures lane)",50
attrition,,none,assumed,not found in the CK3 1.19 vocabulary sample as a bare effect,49
female,gender,approx,assumed,CK2 create_character field `female = yes/no` -> CK3 `gender = female/male`,48
holding_type,holding_type,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),48
capital_scope,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),47
light_infantry,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),47
home,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),46
tier,tier,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),43
any_vassal,any_vassal,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),40
hidden,,none,assumed,"context-dependent field name, not a single vocabulary key",40
any_liege,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),38
intrigue,intrigue,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),38
attributes,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),37
hidden_effect,hidden_effect,exact,assumed,unchanged,37
tooltip,,none,assumed,"context-dependent field name, not a single vocabulary key",37
change_variable,change_variable,exact,verified,unchanged,36
duration,duration,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),36
learning,learning,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),36
set_variable,set_variable,exact,verified,unchanged,36
character,character,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),35
heavy_infantry,heavy_infantry,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),35
liege,liege,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),35
months,months,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),35
set_name,,none,verified,"not found in the CK3 1.19 vocabulary sample; needs a human check (CK3 renames a title via change_title_name, not a character)",35
break,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),34
martial,martial,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),34
age,age,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),33
create_character,,none,verified,"the key exists in CK3 but its inner schema is a fixed template (template=/faith=/culture=/gender=/age=/random_traits=), not an open effect body like CK2's - CK2's body (remove_trait=, attributes={}, flag=...) does not port field-by-field without a human rewrite; approximating it as a pass-through produced error(unknown-field)/error(wrong-use) inside it",33
diplomacy,diplomacy,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),32
new_character,,none,assumed,CK2 alias of create_character - see create_character,32
stewardship,stewardship,exact,assumed,auto: identical spelling found in CK3 1.19 script usage (semantics not individually checked),32
scaled_wealth,,none,verified,not found in the CK3 1.19 vocabulary sample (auto-classified),31
