ck2_id,ck2_status,ck2_kind,ck3_counterpart,ck3_kind,confidence,evidence_ck2,evidence_ck3,reason
1,kept,letter_event,,none,n/a,events/on_action_events.txt:9,n/a,generic on_action-triggered housekeeping events with no shared theme; CK3's own on_action-triggered events are scattered by theme across the whole tree
10,kept,character_event,,none,n/a,events/on_action_events.txt:27,n/a,generic on_action-triggered housekeeping events with no shared theme; CK3's own on_action-triggered events are scattered by theme across the whole tree
100000,kept,character_event,relations_events/friendship_events.txt,event_folder,medium,events/friends_rivals_events.txt:16,game/events/relations_events/friendship_events.txt:1,CK2 friend/rival opinion events -> CK3 relations_events/friendship_events.txt + rivalry_events.txt (both exist; friendship cited as anchor)
100001,kept,character_event,relations_events/friendship_events.txt,event_folder,medium,events/friends_rivals_events.txt:166,game/events/relations_events/friendship_events.txt:1,CK2 friend/rival opinion events -> CK3 relations_events/friendship_events.txt + rivalry_events.txt (both exist; friendship cited as anchor)
100002,kept,character_event,relations_events/friendship_events.txt,event_folder,medium,events/friends_rivals_events.txt:180,game/events/relations_events/friendship_events.txt:1,CK2 friend/rival opinion events -> CK3 relations_events/friendship_events.txt + rivalry_events.txt (both exist; friendship cited as anchor)
100005,kept,character_event,relations_events/friendship_events.txt,event_folder,medium,events/friends_rivals_events.txt:194,game/events/relations_events/friendship_events.txt:1,CK2 friend/rival opinion events -> CK3 relations_events/friendship_events.txt + rivalry_events.txt (both exist; friendship cited as anchor)
100006,kept,character_event,relations_events/friendship_events.txt,event_folder,medium,events/friends_rivals_events.txt:339,game/events/relations_events/friendship_events.txt:1,CK2 friend/rival opinion events -> CK3 relations_events/friendship_events.txt + rivalry_events.txt (both exist; friendship cited as anchor)
100007,kept,character_event,relations_events/friendship_events.txt,event_folder,medium,events/friends_rivals_events.txt:388,game/events/relations_events/friendship_events.txt:1,CK2 friend/rival opinion events -> CK3 relations_events/friendship_events.txt + rivalry_events.txt (both exist; friendship cited as anchor)
100008,kept,character_event,relations_events/friendship_events.txt,event_folder,medium,events/friends_rivals_events.txt:424,game/events/relations_events/friendship_events.txt:1,CK2 friend/rival opinion events -> CK3 relations_events/friendship_events.txt + rivalry_events.txt (both exist; friendship cited as anchor)
100009,kept,character_event,relations_events/friendship_events.txt,event_folder,medium,events/friends_rivals_events.txt:458,game/events/relations_events/friendship_events.txt:1,CK2 friend/rival opinion events -> CK3 relations_events/friendship_events.txt + rivalry_events.txt (both exist; friendship cited as anchor)
100010,kept,character_event,relations_events/friendship_events.txt,event_folder,medium,events/friends_rivals_events.txt:472,game/events/relations_events/friendship_events.txt:1,CK2 friend/rival opinion events -> CK3 relations_events/friendship_events.txt + rivalry_events.txt (both exist; friendship cited as anchor)
