ck2_government,ck2_file,ck2_allowed_holdings,ck2_potential_gate,ck3_government,ck3_dlc_gate,status,succession_law_to_emit,ck3_evidence,lost_features,note
feudal_government,Faerun/Faerun/common/governments/feudal_governments.txt,"CASTLE,FORT,HOSPITAL",feudal_group_potential_trigger + feudal_government_potential_trigger,feudal_government,none,exact,,common/governments/00_government_types.txt:5,,"Baseline. CK3 feudal_government: primary_holding = castle_holding, required_county_holdings = { castle_holding city_holding church_holding }, flags government_is_feudal / government_uses_crown_authority / may_elevate_co_monarch. FORT and HOSPITAL holdings have no CK3 holding type (common/holdings has only castle/city/church/tribal/nomad/herder/temple_citadel) - they become buildings or are dropped."
democratic_feudal_government,Faerun/.../feudal_governments.txt,"CITY,FORT,HOSPITAL",feudal_group_potential_trigger + democratic_feudal_government_potential_trigger,feudal_government,none,approx,feudal_elective_succession_law,common/governments/00_government_types.txt:5 ; common/laws/01_title_succession_laws.txt (feudal_elective_succession_law),Per-law council voting; CK2 title_prefix common_ and frame_suffix _commonwealth,"CK2 preferred holding is CITY but it is a feudal-group government, so republic_government would strip playability. Emit feudal_government + succession_laws = { feudal_elective_succession_law } in history/titles. Consider `city_holding` as the capital holding to keep the commonwealth flavour."
divine_feudal_government,Faerun/.../feudal_governments.txt,"CASTLE,TEMPLE,FORT,HOSPITAL",divine_feudal_government_potential_trigger,feudal_government,none,approx,,common/governments/00_government_types.txt:5,Divine-mandate ruler legitimacy; CK2 religion `divine_blood` interaction,Do NOT map to theocracy_government (that makes rulers appointed clergy and forces church_holding as primary). Emit feudal_government; move the god-king flavour onto the faith via doctrine_temporal_head plus doctrine_consanguinity_dynastic (see religion_fields.csv `divine_blood`).
theocratic_feudal_government,Faerun/.../feudal_governments.txt,"CASTLE,TEMPLE,FORT,HOSPITAL",feudal_group_potential_trigger + theocratic_feudal_government_potential_trigger,feudal_government,none,approx,,common/governments/00_government_types.txt:5,Hereditary clergy holding feudal land,"CK3 theocracy_government has primary_holding = church_holding and a `can_get_government` faith gate (00_government_types.txt:94), so it cannot represent a hereditary landed church. Emit feudal_government + comment."
theocracy_government,Faerun/.../theocracy_governments.txt,"TEMPLE,FORT,HOSPITAL",theocratic_group_potential_trigger + theocratic_government_potential_trigger,theocracy_government,none,exact,bishop_theocratic_succession_law,common/governments/00_government_types.txt:80 (can_get_government at :94),,primary_holding = church_holding. The faith must permit it - check doctrine_theocracy_temporal vs doctrine_theocracy_lay_clergy and doctrine_clerical_succession_*.
baron_theocracy_government,Faerun/.../theocracy_governments.txt,"TEMPLE,FORT,HOSPITAL",theocratic_group_potential_trigger + capital_holding = temple + NOT higher_tier_than = BARON,theocracy_government,none,exact,bishop_theocratic_succession_law,common/governments/00_government_types.txt:80,The baron-tier vs count-tier theocracy split,"CK3 has ONE theocracy_government for every tier, so the CK2 distinction disappears. The gendered temple-holder trigger_if in the CK2 potential maps to doctrine_clerical_gender_* on the faith."
muslim_government,Faerun/.../feudal_governments.txt,"CASTLE,TEMPLE,FORT,HOSPITAL",feudal_group_potential_trigger + muslim_government_potential_trigger,clan_government,none,approx,,common/governments/00_government_types.txt:128,"CK2 decadence (already `#uses_decadence` commented out in Faerun - verified, so nothing is lost here)","clan_government is CK3's iqta descendant: house_unity = clan_house_unity, tax_slot_type = clan_tax_slot, always_use_patronym = yes. `primary_heritages = { heritage_arabic heritage_iranian heritage_turkic }` restricts adoption, so a Faerun mod must add its own heritages to that list or accept feudal_government instead. jizya moves to the FAITH (special_doctrine_jizya) because CK2 `uses_jizya_tax` is a religion key, not a government key (verified)."
republic_government,Faerun/.../republic_governments.txt,"CITY,CASTLE,FORT,HOSPITAL",republic_group_potential_trigger + republic_government_potential_trigger,republic_government,none,approx,city_succession_law,common/governments/00_government_types.txt:45,"CK3 republic_government sets arrange_marriage = no, use_goals = no, use_scripted_guis = no, use_legends = no, inherit_from_dynastic_government = no","primary_holding = city_holding. CK3 republics are vassal flavour, not a player government."
merchant_republic_government,Faerun/.../republic_governments.txt,"TRADE_POST,CITY,CASTLE,FAMILY_PALACE,FORT,HOSPITAL",republic_group_potential_trigger + merchant_republic_government_potential_trigger,republic_government,none,approx,city_succession_law,common/governments/00_government_types.txt:45,Patrician families; FAMILY_PALACE and TRADE_POST holdings; doge elections; campanile; naval trade zones,All merchant-republic mechanics are gone. FAMILY_PALACE and TRADE_POST have no CK3 holding type - emit city_holding and a comment (see title_fields.csv history/provinces rows).
tribal_government,Faerun/.../tribal_governments.txt,"TRIBAL,FORT",tribal_group_potential_trigger + tribal_government_potential_trigger,tribal_government,none,exact,,common/governments/00_government_types.txt:205,,primary_holding = tribal_holding; required_county_holdings = { tribal_holding }; affected_by_development = no; use_prestige_to_buy_maa. `can_build_castle` (CK2) is implied by valid_holdings = { castle_holding temple_citadel_holding }.
