ck3_loc_key,ck2_source,ck2_value,note
dynn_fae_1,"common/dynasties name (literal, no CK2 loc key)",Bhaal,new key
dynn_fae_10,"common/dynasties name (literal, no CK2 loc key)",Tarquinson,new key
dynn_fae_100,"common/dynasties name (literal, no CK2 loc key)",Baenre,new key
dynn_fae_1000,"common/dynasties name (literal, no CK2 loc key)",Axe Helm,new key
dynn_fae_10000,"common/dynasties name (literal, no CK2 loc key)",Ou,new key
dynn_fae_10001,"common/dynasties name (literal, no CK2 loc key)",Maluradek,new key
dynn_fae_10002,"common/dynasties name (literal, no CK2 loc key)",Nemrin,new key
dynn_fae_10003,"common/dynasties name (literal, no CK2 loc key)",Thardresk,new key
dynn_fae_10004,"common/dynasties name (literal, no CK2 loc key)",Tanthul,new key
dynn_fae_10005,"common/dynasties name (literal, no CK2 loc key)",Verdek,new key
dynn_fae_10006,"common/dynasties name (literal, no CK2 loc key)",Calatosh,new key
dynn_fae_10007,"common/dynasties name (literal, no CK2 loc key)",Vagh,new key
dynn_fae_10008,"common/dynasties name (literal, no CK2 loc key)",Vierga,new key
dynn_fae_10009,"common/dynasties name (literal, no CK2 loc key)",Korinkathar,new key
dynn_fae_1001,"common/dynasties name (literal, no CK2 loc key)",Battlehammer,new key
dynn_fae_10010,"common/dynasties name (literal, no CK2 loc key)",Hlundadim,new key
dynn_fae_10011,"common/dynasties name (literal, no CK2 loc key)",t'Beeshtok,new key
dynn_fae_10012,"common/dynasties name (literal, no CK2 loc key)",t'Uthor,new key
dynn_fae_10013,"common/dynasties name (literal, no CK2 loc key)",t'Durge,new key
dynn_fae_10014,"common/dynasties name (literal, no CK2 loc key)",t'Vurg,new key
dynn_fae_10015,"common/dynasties name (literal, no CK2 loc key)",t'Nebog,new key
dynn_fae_10016,"common/dynasties name (literal, no CK2 loc key)",t'Murk,new key
dynn_fae_10017,"common/dynasties name (literal, no CK2 loc key)",of Dekanter,new key
dynn_fae_10018,"common/dynasties name (literal, no CK2 loc key)",Hreghar,new key
dynn_fae_10019,"common/dynasties name (literal, no CK2 loc key)",Jenoiak,new key
dynn_fae_1002,"common/dynasties name (literal, no CK2 loc key)",Pwent,new key
dynn_fae_10020,"common/dynasties name (literal, no CK2 loc key)",Rottar,new key
dynn_fae_10021,"common/dynasties name (literal, no CK2 loc key)",Mievarian,new key
dynn_fae_10022,"common/dynasties name (literal, no CK2 loc key)",Shadowsworn,new key
dynn_fae_10023,"common/dynasties name (literal, no CK2 loc key)",Tanthul,new key
dynn_fae_10024,"common/dynasties name (literal, no CK2 loc key)",Satami,new key
dynn_fae_10025,"common/dynasties name (literal, no CK2 loc key)",Waileen,new key
dynn_fae_10026,"common/dynasties name (literal, no CK2 loc key)",Eldathyn,new key
dynn_fae_10027,"common/dynasties name (literal, no CK2 loc key)",Ondathan,new key
dynn_fae_10028,"common/dynasties name (literal, no CK2 loc key)",Tarek-Passar,new key
dynn_fae_10029,"common/dynasties name (literal, no CK2 loc key)",Peaceful,new key
dynn_fae_1003,"common/dynasties name (literal, no CK2 loc key)",Ironfist,new key
dynn_fae_10030,"common/dynasties name (literal, no CK2 loc key)",Stillwater,new key
dynn_fae_10031,"common/dynasties name (literal, no CK2 loc key)",Greenlady,new key
dynn_fae_10032,"common/dynasties name (literal, no CK2 loc key)",Barleyhand,new key
dynn_fae_10033,"common/dynasties name (literal, no CK2 loc key)",Messor,new key
dynn_fae_1004,"common/dynasties name (literal, no CK2 loc key)",Redrune,new key
dynn_fae_1005,"common/dynasties name (literal, no CK2 loc key)",Hammerlode,new key
dynn_fae_1006,"common/dynasties name (literal, no CK2 loc key)",Oneshield,new key
dynn_fae_1007,"common/dynasties name (literal, no CK2 loc key)",Stonehammer,new key
dynn_fae_1008,"common/dynasties name (literal, no CK2 loc key)",Simmerforge,new key
dynn_fae_1009,"common/dynasties name (literal, no CK2 loc key)",Stoutbeard,new key
dynn_fae_101,"common/dynasties name (literal, no CK2 loc key)",Barrison Del'Armgo,new key
dynn_fae_1010,"common/dynasties name (literal, no CK2 loc key)",Bladebeard,new key
dynn_fae_1011,"common/dynasties name (literal, no CK2 loc key)",Blackpick,new key
dynn_fae_1012,"common/dynasties name (literal, no CK2 loc key)",Gleamore,new key
dynn_fae_1013,"common/dynasties name (literal, no CK2 loc key)",Flamesteel,new key
dynn_fae_1014,"common/dynasties name (literal, no CK2 loc key)",Oathstone,new key
dynn_fae_1015,"common/dynasties name (literal, no CK2 loc key)",Highaxe,new key
dynn_fae_1016,"common/dynasties name (literal, no CK2 loc key)",Deephammer,new key
dynn_fae_1017,"common/dynasties name (literal, no CK2 loc key)",Ridgehorn,new key
dynn_fae_1018,"common/dynasties name (literal, no CK2 loc key)",Bravevein,new key
dynn_fae_1019,"common/dynasties name (literal, no CK2 loc key)",Boldrock,new key
dynn_fae_102,"common/dynasties name (literal, no CK2 loc key)",Faen Tlabbar,new key
dynn_fae_1020,"common/dynasties name (literal, no CK2 loc key)",Goldheart,new key
dynn_fae_1021,"common/dynasties name (literal, no CK2 loc key)",Honorhall,new key
dynn_fae_1022,"common/dynasties name (literal, no CK2 loc key)",Gemsocket,new key
dynn_fae_1023,"common/dynasties name (literal, no CK2 loc key)",Boatmurder,new key
dynn_fae_1024,"common/dynasties name (literal, no CK2 loc key)",Battlewake,new key
dynn_fae_1025,"common/dynasties name (literal, no CK2 loc key)",Stonehall,new key
dynn_fae_1026,"common/dynasties name (literal, no CK2 loc key)",Warcrown,new key
dynn_fae_1027,"common/dynasties name (literal, no CK2 loc key)",Adbar,new key
dynn_fae_1028,"common/dynasties name (literal, no CK2 loc key)",Bladebite,new key
dynn_fae_1029,"common/dynasties name (literal, no CK2 loc key)",Crownshield,new key
dynn_fae_103,"common/dynasties name (literal, no CK2 loc key)",Xorlarrin,new key
dynn_fae_1030,"common/dynasties name (literal, no CK2 loc key)",Gordrivver,new key
dynn_fae_1031,"common/dynasties name (literal, no CK2 loc key)",Horn,new key
dynn_fae_1032,"common/dynasties name (literal, no CK2 loc key)",Skulldark,new key
dynn_fae_1033,"common/dynasties name (literal, no CK2 loc key)",Stoneshield,new key
dynn_fae_1034,"common/dynasties name (literal, no CK2 loc key)",Silverstream,new key
dynn_fae_1035,"common/dynasties name (literal, no CK2 loc key)",Durthane,new key
dynn_fae_1036,"common/dynasties name (literal, no CK2 loc key)",Forgehammer,new key
dynn_fae_1037,"common/dynasties name (literal, no CK2 loc key)",Ironspur,new key
dynn_fae_1038,"common/dynasties name (literal, no CK2 loc key)",Arnskull,new key
dynn_fae_1039,"common/dynasties name (literal, no CK2 loc key)",Blackbanner,new key
dynn_fae_104,"common/dynasties name (literal, no CK2 loc key)",Mizzrym,new key
dynn_fae_1040,"common/dynasties name (literal, no CK2 loc key)",Blackhammer,new key
dynn_fae_1041,"common/dynasties name (literal, no CK2 loc key)",Bucklebar,new key
dynn_fae_1042,"common/dynasties name (literal, no CK2 loc key)",Darkfell,new key
dynn_fae_1043,"common/dynasties name (literal, no CK2 loc key)",Deepaxe,new key
dynn_fae_1044,"common/dynasties name (literal, no CK2 loc key)",Deepdelve,new key
dynn_fae_1045,"common/dynasties name (literal, no CK2 loc key)",Eaglecleft,new key
dynn_fae_1046,"common/dynasties name (literal, no CK2 loc key)",Foehammer,new key
dynn_fae_1047,"common/dynasties name (literal, no CK2 loc key)",Gallowglar,new key
dynn_fae_1048,"common/dynasties name (literal, no CK2 loc key)",Hillsafar,new key
dynn_fae_1049,"common/dynasties name (literal, no CK2 loc key)",Jundeth,new key
dynn_fae_105,"common/dynasties name (literal, no CK2 loc key)",Fey-Branche,new key
dynn_fae_1050,"common/dynasties name (literal, no CK2 loc key)",Narlagh,new key
dynn_fae_1051,"common/dynasties name (literal, no CK2 loc key)",Orothiar,new key
dynn_fae_1052,"common/dynasties name (literal, no CK2 loc key)",Quarrymaster,new key
dynn_fae_1053,"common/dynasties name (literal, no CK2 loc key)",Rockfist,new key
dynn_fae_1054,"common/dynasties name (literal, no CK2 loc key)",Stoneshoulder,new key
dynn_fae_1055,"common/dynasties name (literal, no CK2 loc key)",Trueforger,new key
dynn_fae_1056,"common/dynasties name (literal, no CK2 loc key)",Watchever,new key
dynn_fae_1057,"common/dynasties name (literal, no CK2 loc key)",Worldthrone,new key
dynn_fae_1058,"common/dynasties name (literal, no CK2 loc key)",Wyrmslayer,new key
dynn_fae_1059,"common/dynasties name (literal, no CK2 loc key)",Yund,new key
dynn_fae_106,"common/dynasties name (literal, no CK2 loc key)",Melarn,new key
dynn_fae_1060,"common/dynasties name (literal, no CK2 loc key)",Belindorn,new key
dynn_fae_1061,"common/dynasties name (literal, no CK2 loc key)",Breakadder,new key
dynn_fae_1062,"common/dynasties name (literal, no CK2 loc key)",Gemscepter,new key
dynn_fae_1063,"common/dynasties name (literal, no CK2 loc key)",Ghalkin,new key
dynn_fae_1064,"common/dynasties name (literal, no CK2 loc key)",Goldthumb,new key
dynn_fae_1065,"common/dynasties name (literal, no CK2 loc key)",Malthin,new key
dynn_fae_1066,"common/dynasties name (literal, no CK2 loc key)",Mastemyr,new key
dynn_fae_1067,"common/dynasties name (literal, no CK2 loc key)",Sorndar,new key
dynn_fae_1068,"common/dynasties name (literal, no CK2 loc key)",Talnoth,new key
dynn_fae_1069,"common/dynasties name (literal, no CK2 loc key)",Undurr,new key
dynn_fae_107,"common/dynasties name (literal, no CK2 loc key)",Duskryn,new key
dynn_fae_1070,"common/dynasties name (literal, no CK2 loc key)",Velm,new key
dynn_fae_1071,"common/dynasties name (literal, no CK2 loc key)",Zord,new key
dynn_fae_1072,"common/dynasties name (literal, no CK2 loc key)",Frostbeard,new key
dynn_fae_1073,"common/dynasties name (literal, no CK2 loc key)",Forkbeard,new key
dynn_fae_1074,"common/dynasties name (literal, no CK2 loc key)",Arlspar,new key
dynn_fae_1075,"common/dynasties name (literal, no CK2 loc key)",Dragonsteel,new key
dynn_fae_1076,"common/dynasties name (literal, no CK2 loc key)",Honedaxe,new key
dynn_fae_1077,"common/dynasties name (literal, no CK2 loc key)",Ironaxe,new key
dynn_fae_1078,"common/dynasties name (literal, no CK2 loc key)",Ironstar,new key
dynn_fae_1079,"common/dynasties name (literal, no CK2 loc key)",Earthfast,new key
dynn_fae_108,"common/dynasties name (literal, no CK2 loc key)",Do'urden,new key
dynn_fae_1080,"common/dynasties name (literal, no CK2 loc key)",Jorgdaul,new key
dynn_fae_1081,"common/dynasties name (literal, no CK2 loc key)",Haungh,new key
dynn_fae_1082,"common/dynasties name (literal, no CK2 loc key)",Bloodaxe,new key
dynn_fae_1083,"common/dynasties name (literal, no CK2 loc key)",Swiftsword,new key
dynn_fae_1084,"common/dynasties name (literal, no CK2 loc key)",Rockshield,new key
dynn_fae_1085,"common/dynasties name (literal, no CK2 loc key)",Bramblebeard,new key
dynn_fae_1086,"common/dynasties name (literal, no CK2 loc key)",Silverhammer,new key
dynn_fae_1087,"common/dynasties name (literal, no CK2 loc key)",Forgebellow,new key
dynn_fae_1088,"common/dynasties name (literal, no CK2 loc key)",Steelshield,new key
dynn_fae_1089,"common/dynasties name (literal, no CK2 loc key)",Dragonspear,new key
dynn_fae_1090,"common/dynasties name (literal, no CK2 loc key)",Grimsever,new key
dynn_fae_1091,"common/dynasties name (literal, no CK2 loc key)",Trollkiller,new key
dynn_fae_1092,"common/dynasties name (literal, no CK2 loc key)",Goreksson,new key
dynn_fae_1093,"common/dynasties name (literal, no CK2 loc key)",Melairkyn,new key
dynn_fae_1094,"common/dynasties name (literal, no CK2 loc key)",Echoforge,new key
dynn_fae_1095,"common/dynasties name (literal, no CK2 loc key)",Strongarms,new key
dynn_fae_1096,"common/dynasties name (literal, no CK2 loc key)",of Hrakhamar,new key
dynn_fae_1097,"common/dynasties name (literal, no CK2 loc key)",Brushforge,new key
dynn_fae_1098,"common/dynasties name (literal, no CK2 loc key)",Earthstone,new key
dynn_fae_1099,"common/dynasties name (literal, no CK2 loc key)",Fireheart,new key
dynn_fae_109_x,"common/dynasties name (literal, no CK2 loc key)",Agrach Dyrr,new key
dynn_fae_11,"common/dynasties name (literal, no CK2 loc key)",Inkyriud,new key
dynn_fae_110,"common/dynasties name (literal, no CK2 loc key)",Shobalar,new key
dynn_fae_1100,"common/dynasties name (literal, no CK2 loc key)",Earthforge,new key
dynn_fae_1101,"common/dynasties name (literal, no CK2 loc key)",Leafbeard,new key
dynn_fae_1102,"common/dynasties name (literal, no CK2 loc key)",Brambleforge,new key
dynn_fae_1103,"common/dynasties name (literal, no CK2 loc key)",Bramblestone,new key
dynn_fae_1104,"common/dynasties name (literal, no CK2 loc key)",Brambleheart,new key
dynn_fae_1105,"common/dynasties name (literal, no CK2 loc key)",Leafheart,new key
dynn_fae_1106,"common/dynasties name (literal, no CK2 loc key)",Leafforge,new key
dynn_fae_1107,"common/dynasties name (literal, no CK2 loc key)",Earthheart,new key
dynn_fae_1108,"common/dynasties name (literal, no CK2 loc key)",Bugbeard,new key
dynn_fae_1109,"common/dynasties name (literal, no CK2 loc key)",Bugforge,new key
dynn_fae_111,"common/dynasties name (literal, no CK2 loc key)",Horlbar,new key
dynn_fae_1110,"common/dynasties name (literal, no CK2 loc key)",Bugstone,new key
dynn_fae_1111,"common/dynasties name (literal, no CK2 loc key)",Bugheart,new key
dynn_fae_1112,"common/dynasties name (literal, no CK2 loc key)",Stoneforge,new key
dynn_fae_1113,"common/dynasties name (literal, no CK2 loc key)",Stoneheart,new key
dynn_fae_1114,"common/dynasties name (literal, no CK2 loc key)",Stonebeard,new key
dynn_fae_1115,"common/dynasties name (literal, no CK2 loc key)",Drumbeard,new key
dynn_fae_1116,"common/dynasties name (literal, no CK2 loc key)",Heartdrum,new key
dynn_fae_1117,"common/dynasties name (literal, no CK2 loc key)",Stonedrum,new key
dynn_fae_1118,"common/dynasties name (literal, no CK2 loc key)",Bugdrum,new key
dynn_fae_1119,"common/dynasties name (literal, no CK2 loc key)",Firedrum,new key
dynn_fae_112,"common/dynasties name (literal, no CK2 loc key)",De'vir,new key
dynn_fae_1120,"common/dynasties name (literal, no CK2 loc key)",Catbeard,new key
dynn_fae_1121,"common/dynasties name (literal, no CK2 loc key)",Catheart,new key
dynn_fae_1122,"common/dynasties name (literal, no CK2 loc key)",Forgecat,new key
dynn_fae_1123,"common/dynasties name (literal, no CK2 loc key)",Bonecat,new key
dynn_fae_1124,"common/dynasties name (literal, no CK2 loc key)",Boneforge,new key
dynn_fae_1125,"common/dynasties name (literal, no CK2 loc key)",Bonebeard,new key
dynn_fae_1126,"common/dynasties name (literal, no CK2 loc key)",Bonedrum,new key
dynn_fae_1127,"common/dynasties name (literal, no CK2 loc key)",Steelshadow,new key
dynn_fae_1128,"common/dynasties name (literal, no CK2 loc key)",Blackiron,new key
dynn_fae_1129,"common/dynasties name (literal, no CK2 loc key)",Blackskull,new key
dynn_fae_113,"common/dynasties name (literal, no CK2 loc key)",Tuin'Tarl,new key
dynn_fae_1130,"common/dynasties name (literal, no CK2 loc key)",Bukbukken,new key
dynn_fae_1131,"common/dynasties name (literal, no CK2 loc key)",Coalhewer,new key
dynn_fae_1132,"common/dynasties name (literal, no CK2 loc key)",Duerna,new key
dynn_fae_1133,"common/dynasties name (literal, no CK2 loc key)",Firehammer,new key
dynn_fae_1134,"common/dynasties name (literal, no CK2 loc key)",Flagonfist,new key
dynn_fae_1135,"common/dynasties name (literal, no CK2 loc key)",Garshorn,new key
dynn_fae_1136,"common/dynasties name (literal, no CK2 loc key)",Bahrdlogh,new key
dynn_fae_1137,"common/dynasties name (literal, no CK2 loc key)",Gloomstorm,new key
dynn_fae_1138,"common/dynasties name (literal, no CK2 loc key)",Gravelthumb,new key
dynn_fae_1139,"common/dynasties name (literal, no CK2 loc key)",Henstak,new key
dynn_fae_114,"common/dynasties name (literal, no CK2 loc key)",Srune'lett,new key
dynn_fae_1140,"common/dynasties name (literal, no CK2 loc key)",Hilldark,new key
dynn_fae_1141,"common/dynasties name (literal, no CK2 loc key)",Ironvice,new key
dynn_fae_1142,"common/dynasties name (literal, no CK2 loc key)",Muzgardt,new key
dynn_fae_1143,"common/dynasties name (literal, no CK2 loc key)",Redspur,new key
dynn_fae_1144,"common/dynasties name (literal, no CK2 loc key)",Ridauguar,new key
