# Extra localisation key shapes the CK3 religion UI needs, which CK2 stores
# only once. Written by scripts/export_opinion_modifier_map.py for the
# localisation lane; the generated faiths already reference the ck3_key.
# `_possessive` is needed for HighGodNamePossessive / DevilNamePossessive,
# `_plural` for Priest*Plural / Bishop*Plural / AltPriestTermPlural / GHWNamePlural.
# The ck2_key's own text is the input; the ck3_key is a NEW key to derive from it.
# Faith / religion / family base keys (<faith_id>, _adj, _adherent,
# _adherent_plural, _desc and holy_site_<id>_name) keep the CK2 names and are
# not listed: nothing renames.
# <culture>_prefix and <culture>_collective_noun are here too: CK3 wants three
# keys per culture (vanilla norse/norse_prefix/norse_collective_noun, all
# "Norse") and CK2 has only the first. So is name_list_<prefix>_<culture>:
# vanilla has ` name_list_ainu: "Ainu"` for every one of its 221 name lists.
ck2_key,ck3_key
ADEPT,ADEPT_plural
CARETAKER,CARETAKER_plural
CHAOS,CHAOS_possessive
CRUSADE,CRUSADE_plural
FIREWALKER,FIREWALKER_plural
GOD_ADAMA,GOD_ADAMA_possessive
GOD_AKADI,GOD_AKADI_possessive
GOD_AMPHISBAENA,GOD_AMPHISBAENA_possessive
GOD_ANCESTORS,GOD_ANCESTORS_possessive
GOD_ANNAM,GOD_ANNAM_possessive
GOD_ASGORATH,GOD_ASGORATH_possessive
GOD_ASMODEUS,GOD_ASMODEUS_possessive
GOD_AURIL,GOD_AURIL_possessive
GOD_BAHAMUT,GOD_BAHAMUT_possessive
GOD_BANE,GOD_BANE_possessive
GOD_BAPHOMET,GOD_BAPHOMET_possessive
GOD_CELESTIAL_EMPEROR,GOD_CELESTIAL_EMPEROR_possessive
GOD_CHAUNTEA,GOD_CHAUNTEA_possessive
GOD_CHUNG_TAO,GOD_CHUNG_TAO_possessive
GOD_CIVIC_GODS,GOD_CIVIC_GODS_possessive
GOD_CORELLON_LARETHIAN,GOD_CORELLON_LARETHIAN_possessive
GOD_CYRIC,GOD_CYRIC_possessive
GOD_DARKNESS,GOD_DARKNESS_possessive
GOD_DEAD_THREE,GOD_DEAD_THREE_possessive
GOD_DEMOGORGON,GOD_DEMOGORGON_possessive
GOD_DRAGONS,GOD_DRAGONS_possessive
GOD_EAAS,GOD_EAAS_possessive
