ck2_key,ck3_key
b_aataz_kahakla,b_aataz_kahakla_adj
b_abarun,b_abarun_adj
b_abreon,b_abreon_adj
b_achelar,b_achelar_adj
b_achernath,b_achernath_adj
b_acks,b_acks_adj
b_adapra,b_adapra_adj
b_adder_point,b_adder_point_adj
b_adderspring,b_adderspring_adj
b_adhal,b_adhal_adj
b_admash,b_admash_adj
b_adrila,b_adrila_adj
b_adzha,b_adzha_adj
b_aefarn_citadel,b_aefarn_citadel_adj
b_aerithaes_rest,b_aerithaes_rest_adj
b_ahma,b_ahma_adj
b_ahruukar,b_ahruukar_adj
b_ahtitlak,b_ahtitlak_adj
b_aib,b_aib_adj
b_aina,b_aina_adj
b_airspur,b_airspur_adj
b_ajayib,b_ajayib_adj
b_ajhuutal,b_ajhuutal_adj
b_akaam,b_akaam_adj
b_akalentar,b_akalentar_adj
b_akanax,b_akanax_adj
b_akararbasa,b_akararbasa_adj
b_akashay,b_akashay_adj
b_akhrasut_nath,b_akhrasut_nath_adj
b_akkadash,b_akkadash_adj
b_akota,b_akota_adj
b_akshu,b_akshu_adj
b_aktyn,b_aktyn_adj
b_al_anwahr,b_al_anwahr_adj
b_al_asirr,b_al_asirr_adj
b_al_azra,b_al_azra_adj
b_al_bariya,b_al_bariya_adj
b_al_dawhawa,b_al_dawhawa_adj
b_al_fujinat,b_al_fujinat_adj
b_al_hamim,b_al_hamim_adj
b_al_hanieh,b_al_hanieh_adj
b_al_harir,b_al_harir_adj
b_al_harmah,b_al_harmah_adj
b_al_haul,b_al_haul_adj
b_al_jarracha,b_al_jarracha_adj
b_al_kurtum,b_al_kurtum_adj
b_al_mahabanah,b_al_mahabanah_adj
b_al_maralem,b_al_maralem_adj
b_al_nuziyyah,b_al_nuziyyah_adj
b_al_oyun,b_al_oyun_adj
b_al_qahera,b_al_qahera_adj
b_al_qalat,b_al_qalat_adj
b_al_qusanawat,b_al_qusanawat_adj
b_al_ralilah,b_al_ralilah_adj
b_al_raqsa,b_al_raqsa_adj
b_al_salakamah,b_al_salakamah_adj
b_al_sisarran,b_al_sisarran_adj
b_al_suweb,b_al_suweb_adj
b_al_tana,b_al_tana_adj
b_al_tir,b_al_tir_adj
b_alamaqu,b_alamaqu_adj
b_alamir_rock,b_alamir_rock_adj
b_alamontyr,b_alamontyr_adj
b_alarah,b_alarah_adj
b_alashan,b_alashan_adj
b_aldani,b_aldani_adj
b_aldoman,b_aldoman_adj
b_aldreth,b_aldreth_adj
b_alhala,b_alhala_adj
b_alhanar,b_alhanar_adj
b_alisiwhann,b_alisiwhann_adj
b_almorel,b_almorel_adj
b_almraiven,b_almraiven_adj
b_alorev,b_alorev_adj
b_alphar,b_alphar_adj
b_altand,b_altand_adj
b_altar_of_the_air,b_altar_of_the_air_adj
b_aman,b_aman_adj
b_amarrev,b_amarrev_adj
b_amassa,b_amassa_adj
b_amazandar,b_amazandar_adj
b_amithiph,b_amithiph_adj
b_amkethran,b_amkethran_adj
b_ammathluir,b_ammathluir_adj
b_ammathtar,b_ammathtar_adj
b_amnwater,b_amnwater_adj
b_amral,b_amral_adj
b_amruthar,b_amruthar_adj
b_amry,b_amry_adj
b_amudani,b_amudani_adj
b_anarath,b_anarath_adj
b_anauril,b_anauril_adj
b_andalbruin,b_andalbruin_adj
b_angast,b_angast_adj
b_angol,b_angol_adj
b_anhaurz,b_anhaurz_adj
b_ankatatra,b_ankatatra_adj
b_ankhapur,b_ankhapur_adj
b_ankherhome,b_ankherhome_adj
b_ankhur,b_ankhur_adj
b_anktarina,b_anktarina_adj
b_anshola,b_anshola_adj
b_ansi,b_ansi_adj
b_ar_rasumah,b_ar_rasumah_adj
b_ara_mraar,b_ara_mraar_adj
b_araash,b_araash_adj
b_arabasi,b_arabasi_adj
b_aradiman,b_aradiman_adj
b_arael,b_arael_adj
b_arak,b_arak_adj
b_araksa,b_araksa_adj
b_araneh,b_araneh_adj
b_arangyn,b_arangyn_adj
b_arashand,b_arashand_adj
b_aratha_hold,b_aratha_hold_adj
b_araugul,b_araugul_adj
b_arauvuddelve,b_arauvuddelve_adj
b_arch_wood,b_arch_wood_adj
b_archenbridge,b_archenbridge_adj
b_archerpost,b_archerpost_adj
b_archtassel,b_archtassel_adj
b_arechar,b_arechar_adj
b_aretax,b_aretax_adj
b_argaer,b_argaer_adj
b_argen_tellirynd,b_argen_tellirynd_adj
b_argenmoor,b_argenmoor_adj
b_argent_rock,b_argent_rock_adj
b_argul,b_argul_adj
b_aris_castle,b_aris_castle_adj
b_arjol,b_arjol_adj
b_armridge,b_armridge_adj
b_arnda,b_arnda_adj
b_arndtbergon,b_arndtbergon_adj
b_arnise,b_arnise_adj
b_arnrock,b_arnrock_adj
b_arrabar,b_arrabar_adj
