ck2_key,ck3_key
abdominal_pain,trait_abdominal_pain
abdominal_pain_desc,trait_abdominal_pain_desc
absent,trait_absent
absent_desc,trait_absent_desc
acute,trait_acute
acute_desc,trait_acute_desc
administrator,trait_administrator
administrator_desc,trait_administrator_desc
adventurer,trait_adventurer
adventurer_desc,trait_adventurer_desc
affectionate,trait_affectionate
affectionate_desc,trait_affectionate_desc
afflicted_lycanthrope,trait_afflicted_lycanthrope
afflicted_lycanthrope_desc,trait_afflicted_lycanthrope_desc
aggressive_leader,trait_aggressive_attacker
aggressive_leader_desc,trait_aggressive_attacker_desc
amateurish_plotter,trait_education_intrigue_1
amateurish_plotter_desc,trait_education_intrigue_1_desc
ambitious,trait_ambitious
ambitious_desc,trait_ambitious_desc
androgynous,trait_androgynous
androgynous_desc,trait_androgynous_desc
arbitrary,trait_arbitrary
arbitrary_desc,trait_arbitrary_desc
archfiend,trait_archfiend
archfiend_desc,trait_archfiend_desc
architect,trait_architect
architect_desc,trait_architect_desc
archlich,trait_archlich
archlich_desc,trait_archlich_desc
ares_own,trait_ares_own
ares_own_desc,trait_ares_own_desc
ashari,trait_ashari
ashari_desc,trait_ashari_desc
augustus,trait_augustus
augustus_desc,trait_augustus_desc
bad_priest_aztec,trait_bad_priest_aztec
bad_priest_aztec_desc,trait_bad_priest_aztec_desc
bad_priest_christian,trait_bad_priest_christian
bad_priest_christian_desc,trait_bad_priest_christian_desc
bad_priest_muslim,trait_bad_priest_muslim
bad_priest_muslim_desc,trait_bad_priest_muslim_desc
bad_priest_norse,trait_bad_priest_norse
bad_priest_norse_desc,trait_bad_priest_norse_desc
bad_priest_tengri,trait_bad_priest_tengri
bad_priest_tengri_desc,trait_bad_priest_tengri_desc
bad_priest_zoroastrian,trait_bad_priest_zoroastrian
bad_priest_zoroastrian_desc,trait_bad_priest_zoroastrian_desc
baptized_by_bishop,trait_baptized_by_bishop
baptized_by_bishop_desc,trait_baptized_by_bishop_desc
baptized_by_patriarch,trait_baptized_by_patriarch
baptized_by_patriarch_desc,trait_baptized_by_patriarch_desc
baptized_by_pope,trait_baptized_by_pope
baptized_by_pope_desc,trait_baptized_by_pope_desc
baptized_by_satan,trait_baptized_by_satan
baptized_by_satan_desc,trait_baptized_by_satan_desc
bastard,trait_bastard
bastard_desc,trait_bastard_desc
beatified,trait_beatified
beatified_desc,trait_beatified_desc
beautiful,trait_beautiful
beautiful_desc,trait_beautiful_desc
berserker,trait_berserker
berserker_desc,trait_berserker_desc
bhaalspawn,trait_bhaalspawn
bhaalspawn_desc,trait_bhaalspawn_desc
blessed_ancestor,trait_blessed_ancestor
blessed_ancestor_desc,trait_blessed_ancestor_desc
blinded,trait_blinded
blinded_desc,trait_blinded_desc
bloodthirsty_gods_1,trait_bloodthirsty_gods_1
bloodthirsty_gods_1_desc,trait_bloodthirsty_gods_1_desc
bloodthirsty_gods_2,trait_bloodthirsty_gods_2
bloodthirsty_gods_2_desc,trait_bloodthirsty_gods_2_desc
bloodthirsty_gods_3,trait_bloodthirsty_gods_3
bloodthirsty_gods_3_desc,trait_bloodthirsty_gods_3_desc
born_in_the_purple,trait_born_in_the_purple
born_in_the_purple_desc,trait_born_in_the_purple_desc
brave,trait_brave
brave_desc,trait_brave_desc
bright,trait_bright
bright_desc,trait_bright_desc
brilliant,trait_brilliant
brilliant_desc,trait_brilliant_desc
brilliant_strategist,trait_education_martial_4
brilliant_strategist_desc,trait_education_martial_4_desc
brooding,trait_brooding
brooding_desc,trait_brooding_desc
cancer,trait_cancer
cancer_desc,trait_cancer_desc
cannibal_trait,trait_cannibal_trait
cannibal_trait_desc,trait_cannibal_trait_desc
cannot_marry,trait_cannot_marry
cannot_marry_desc,trait_cannot_marry_desc
careless,trait_careless
careless_desc,trait_careless_desc
cat,trait_cat
cat_desc,trait_cat_desc
cavalry_leader,trait_cavalry_leader
cavalry_leader_desc,trait_cavalry_leader_desc
celibate,trait_celibate
celibate_desc,trait_celibate_desc
charismatic_negotiator,trait_education_diplomacy_3
charismatic_negotiator_desc,trait_education_diplomacy_3_desc
charitable,trait_generous
charitable_desc,trait_generous_desc
chaste,trait_chaste
chaste_desc,trait_chaste_desc
chest_pain,trait_chest_pain
chest_pain_desc,trait_chest_pain_desc
child_of_consort,trait_child_of_consort
child_of_consort_desc,trait_child_of_consort_desc
child_of_consort_male,trait_child_of_consort_male
child_of_consort_male_desc,trait_child_of_consort_male_desc
clubfooted,trait_clubfooted
clubfooted_desc,trait_clubfooted_desc
conscientious,trait_conscientious
conscientious_desc,trait_conscientious_desc
construct,trait_construct
construct_desc,trait_construct_desc
content,trait_content
content_desc,trait_content_desc
cough,trait_cough
cough_desc,trait_cough_desc
cramps,trait_cramps
cramps_desc,trait_cramps_desc
craven,trait_craven
craven_desc,trait_craven_desc
creature_aarakocra,trait_creature_aarakocra
creature_aarakocra_desc,trait_creature_aarakocra_desc
creature_aasimar,trait_creature_aasimar
creature_aasimar_desc,trait_creature_aasimar_desc
creature_aboleth,trait_creature_aboleth
creature_aboleth_desc,trait_creature_aboleth_desc
creature_abomination,trait_creature_abomination
creature_abomination_desc,trait_creature_abomination_desc
creature_beholder,trait_creature_beholder
creature_beholder_desc,trait_creature_beholder_desc
creature_bugbear,trait_creature_bugbear
creature_bugbear_desc,trait_creature_bugbear_desc
creature_celestial,trait_creature_celestial
creature_celestial_desc,trait_creature_celestial_desc
creature_centaur,trait_creature_centaur
creature_centaur_desc,trait_creature_centaur_desc
creature_construct,trait_creature_construct
creature_construct_desc,trait_creature_construct_desc
creature_deep_imaskari,trait_creature_deep_imaskari
creature_deep_imaskari_desc,trait_creature_deep_imaskari_desc
creature_draegloth,trait_creature_draegloth
creature_draegloth_desc,trait_creature_draegloth_desc
creature_dragon,trait_creature_dragon
creature_dragon_desc,trait_creature_dragon_desc
creature_dragonborn,trait_creature_dragonborn
creature_dragonborn_desc,trait_creature_dragonborn_desc
creature_drow,trait_creature_drow
creature_drow_desc,trait_creature_drow_desc
creature_dwarf,trait_creature_dwarf
creature_dwarf_desc,trait_creature_dwarf_desc
creature_elder_brain,trait_creature_elder_brain
creature_elder_brain_desc,trait_creature_elder_brain_desc
creature_elf,trait_creature_elf
creature_elf_desc,trait_creature_elf_desc
creature_feyri,trait_creature_feyri
creature_feyri_desc,trait_creature_feyri_desc
creature_fiend,trait_creature_fiend
creature_fiend_desc,trait_creature_fiend_desc
creature_genasi,trait_creature_genasi
creature_genasi_desc,trait_creature_genasi_desc
creature_genie,trait_creature_genie
creature_genie_desc,trait_creature_genie_desc
creature_giant,trait_creature_giant
creature_giant_desc,trait_creature_giant_desc
creature_gith,trait_creature_gith
creature_gith_desc,trait_creature_gith_desc
creature_gnoll,trait_creature_gnoll
creature_gnoll_desc,trait_creature_gnoll_desc
creature_gnome,trait_creature_gnome
creature_gnome_desc,trait_creature_gnome_desc
creature_goblin,trait_creature_goblin
creature_goblin_desc,trait_creature_goblin_desc
creature_goliath,trait_creature_goliath
creature_goliath_desc,trait_creature_goliath_desc
creature_hag,trait_creature_hag
creature_hag_desc,trait_creature_hag_desc
creature_hagspawn,trait_creature_hagspawn
creature_hagspawn_desc,trait_creature_hagspawn_desc
creature_half_dwarf,trait_creature_half_dwarf
creature_half_dwarf_desc,trait_creature_half_dwarf_desc
creature_half_elf,trait_creature_half_elf
creature_half_elf_desc,trait_creature_half_elf_desc
creature_half_giant,trait_creature_half_giant
creature_half_giant_desc,trait_creature_half_giant_desc
creature_half_gnoll,trait_creature_half_gnoll
