ck2_nickname,ck3_nickname,status,uses_in_faerun,note
nick_abu_jinn,,comment,1,Faerun-invented nickname
nick_amberlee,,comment,1,Faerun-invented nickname
nick_angel_of_the_dark,,comment,1,Faerun-invented nickname
nick_anglaspark,,comment,1,Faerun-invented nickname
nick_aotd3,,comment,1,Faerun-invented nickname
nick_archduchess_of_avernus,,comment,1,Faerun-invented nickname
nick_assuran,,comment,1,Faerun-invented nickname
nick_autumnfire,,comment,1,Faerun-invented nickname
nick_axehair,,comment,1,Faerun-invented nickname
nick_bandit_slayer,,comment,1,Faerun-invented nickname
nick_bane_of_bahamut,,comment,1,Faerun-invented nickname
nick_bane_of_belaphoss,,comment,1,Faerun-invented nickname
nick_baron_blood,,comment,1,Faerun-invented nickname
nick_beacon_of_last_light,,comment,1,Faerun-invented nickname
nick_beholderslayer,,comment,1,Faerun-invented nickname
nick_black_lotus,,comment,1,Faerun-invented nickname
nick_blackfangs,,comment,1,Faerun-invented nickname
nick_blackheart,,comment,1,Faerun-invented nickname
nick_blackstaff,,comment,1,Faerun-invented nickname
nick_blade_of_frontiers,,comment,1,Faerun-invented nickname
nick_blood_of_iyrauroth,,comment,1,Faerun-invented nickname
nick_bloodmane,,comment,1,Faerun-invented nickname
nick_bookwyrm,,comment,1,Faerun-invented nickname
nick_brimstone,,comment,1,Faerun-invented nickname
nick_catseye,,comment,1,Faerun-invented nickname
nick_cloudstrider,,comment,1,Faerun-invented nickname
nick_coast_wolf,,comment,1,Faerun-invented nickname
nick_coldhand,,comment,1,Faerun-invented nickname
nick_conan,,comment,1,Faerun-invented nickname
nick_dareall,,comment,1,Faerun-invented nickname
nick_darktreader,,comment,1,Faerun-invented nickname
nick_dead_eye,,comment,1,Faerun-invented nickname
nick_deeping_princess,,comment,1,Faerun-invented nickname
nick_defender_of_the_eastern_way,,comment,1,Faerun-invented nickname
nick_demonbane,,comment,1,Faerun-invented nickname
nick_dervish,,comment,1,Faerun-invented nickname
nick_devils_chosen,,comment,1,Faerun-invented nickname
nick_doadh,,comment,1,Faerun-invented nickname
nick_dodkong,,comment,1,Faerun-invented nickname
nick_doom_of_the_desert,,comment,1,Faerun-invented nickname
nick_dpotn,,comment,1,Faerun-invented nickname
