ck2_on_action,status,ck3_on_action,ck3_root_scope,confidence,note
on_absorb_clan_attempted_started_war,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_acquire_nickname,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_adolescence,modified,,,none,not researched this pass; needs the same per-on_action name+root+scope check as the CURATED rows (docs/evidence/HANDOFF_on_actions.md)
on_adolescence_pulse,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_adulthood,modified,on_birthday_adulthood,character (coming of age),verified,"game/common/on_action/birthday.txt:1-2,323 'character having its birthday in root scope', called from on_birthday's on_actions chain (scope carries over)"
on_ai_end_raid,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_alternate_start,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_approve_de_jure_law,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_approve_law,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_artifact_inheritance,modified,,,none,not researched this pass; needs the same per-on_action name+root+scope check as the CURATED rows (docs/evidence/HANDOFF_on_actions.md)
on_artifact_renamed,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_assassination,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_assassination_disc,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_avoided_imprison_fled_country,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_avoided_imprison_started_war,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_battle_lost,modified,,,none,"CK3's combat_on_actions.txt on_combat_end_winner/loser root is the winning/losing COMBAT SIDE, not a character (verified, 'Root = Winning combat side'); a ported character-scope event body cannot fire from there without a scope hop this pass does not synthesize"
on_battle_lost_leader,modified,,,none,"CK3's combat_on_actions.txt on_combat_end_winner/loser root is the winning/losing COMBAT SIDE, not a character (verified, 'Root = Winning combat side'); a ported character-scope event body cannot fire from there without a scope hop this pass does not synthesize"
on_battle_lost_owner,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_battle_won,modified,,,none,"CK3's combat_on_actions.txt on_combat_end_winner/loser root is the winning/losing COMBAT SIDE, not a character (verified, 'Root = Winning combat side'); a ported character-scope event body cannot fire from there without a scope hop this pass does not synthesize"
on_battle_won_leader,modified,,,none,"CK3's combat_on_actions.txt on_combat_end_winner/loser root is the winning/losing COMBAT SIDE, not a character (verified, 'Root = Winning combat side'); a ported character-scope event body cannot fire from there without a scope hop this pass does not synthesize"
on_battle_won_owner,kept,,,n/a,"kept: identical to vanilla CK2, nothing new to port"
on_became_imprisoned,modified,on_imprison,character (the one imprisoned),verified,game/common/on_action/prison_on_actions.txt:5-7 'character being imprisoned in root scope'
on_become_doge,modified,,,none,not researched this pass; needs the same per-on_action name+root+scope check as the CURATED rows (docs/evidence/HANDOFF_on_actions.md)
on_become_imprisoned_any_reason,modified,on_imprison,character (the one imprisoned),verified,"same target as on_became_imprisoned; CK3 on_imprison covers every imprisonment reason, matching CK2's 'any_reason' variant"
