material,ordinal,category
drought,0,other
drought_cracks,1,other
flood,2,other
summer_grass,3,grass
winter_effect,4,other
debug,5,other
beach_02,6,other
beach_02_mediterranean,7,other
beach_02_pebbles,8,other
coastline_cliff_desert,9,rock
coastline_cliff_grey,10,rock
desert_01,11,other
desert_02,12,other
desert_cracked,13,soil
desert_flat_01,14,soil
desert_rocky,15,rock
desert_wavy_01,16,soil
desert_wavy_01_larger,17,soil
drylands_01,18,other
drylands_01_cracked,19,other
drylands_01_grassy,20,grass
farm_paddy_01,21,soil
farmland_01,22,soil
floodplains_01,23,soil
forest_jungle_01,24,forest
forest_leaf_01,25,forest
forest_pine_01,26,forest
forestfloor,27,forest
hills_01,28,other
hills_01_rocks,29,rock
hills_01_rocks_medi,30,rock
hills_01_rocks_small,31,rock
india_farmlands,32,soil
medi_dry_mud,33,soil
medi_farmlands,34,soil
medi_grass_01,35,grass
medi_lumpy_grass,36,grass
medi_noisy_grass,37,grass
mountain_02,38,rock
mountain_02_b,39,rock
mountain_02_c,40,rock
mountain_02_c_snow,41,snow
mountain_02_d,42,rock
mountain_02_d_snow,43,snow
mountain_02_d_valleys,44,rock
mountain_02_desert_c,45,rock
mountain_02_snow,46,snow
mountain_03,47,rock
mud_wet_01,48,soil
northern_plains_01,49,grass
oasis,50,other
plains_01,51,grass
plains_01_dry,52,grass
plains_01_dry_mud,53,soil
plains_01_noisy,54,grass
plains_01_rough,55,grass
snow,56,snow
steppe_bushes,57,grass
steppe_grass,58,grass
steppe_rocks,59,rock
wetlands_02,60,grass
wetlands_02_mud,61,soil
central_mountain,62,rock
central_lowlands_02,63,grass
central_lowlands_03,64,grass
gen_tropical_base,65,other
gen_tropical_lowlands,66,grass
gen_tropical_lowlands_02,67,grass
gen_tropical_lowlands_03,68,grass
gen_tropical_hills,69,other
gen_tropical_mountain,70,rock
gen_tropical_mountain_transition,71,rock
gen_central_base,72,other
gen_central_lowlands,73,grass
gen_central_lowlands_02,74,grass
gen_central_lowlands_03,75,grass
gen_central_hills,76,other
gen_central_mountain,77,rock
gen_central_mountain_transition,78,rock
gen_steppe_base,79,other
gen_steppe_lowlands,80,grass
gen_steppe_lowlands_02,81,grass
gen_steppe_lowlands_03,82,grass
gen_steppe_hills,83,other
gen_steppe_mountain,84,rock
gen_steppe_mountain_transition,85,rock
gen_desert_base,86,other
gen_desert_lowlands,87,grass
gen_desert_lowlands_02,88,grass
gen_desert_lowlands_03,89,grass
gen_desert_lowlands_04,90,grass
gen_desert_hills,91,other
gen_desert_mountain,92,rock
gen_desert_mountain_transition,93,rock
gen_drylands_base,94,other
gen_drylands_lowlands,95,grass
gen_drylands_lowlands_02,96,grass
gen_drylands_lowlands_03,97,grass
gen_drylands_hills,98,other
gen_drylands_mountain,99,rock
gen_drylands_mountain_transition,100,rock
gen_northern_base,101,other
gen_northern_lowlands,102,grass
gen_northern_lowlands_02,103,grass
gen_northern_lowlands_03,104,grass
gen_northern_hills,105,other
gen_northern_mountain,106,rock
gen_northern_mountain_transition,107,rock
gen_mediterranean_base,108,other
gen_mediterranean_lowlands,109,grass
gen_mediterranean_lowlands_02,110,grass
gen_mediterranean_lowlands_03,111,grass
gen_mediterranean_hills,112,other
gen_mediterranean_mountain,113,rock
gen_mediterranean_mountain_transition,114,rock
