# GENERATED by scripts/build_relief_paint_csv.py from docs/evidence/vanilla_paint_vs_relief.csv -- do not hand-edit
ck3_terrain,slope_bin,curvature_bin,elevation_bin,n,category_rank,category_shares,top_material,top_share
desert,low,ridge,low,1831,soil;rock;other;grass;forest,soil=43.53;rock=35.28;other=17.53;grass=3.39;forest=0.27,desert_wavy_01,35.55
desert,low,ridge,mid,11764,soil;rock;other;grass;forest,soil=50.41;rock=24.0;other=17.21;grass=8.33;forest=0.05,desert_wavy_01,33.03
desert,low,ridge,high,22816,soil;rock;other;grass;snow,soil=55.29;rock=24.18;other=13.55;grass=6.46;snow=0.53,desert_wavy_01,41.51
desert,low,flat,low,8957,soil;rock;other;grass;forest,soil=37.19;rock=30.79;other=20.73;grass=11.21;forest=0.08,desert_wavy_01,28.12
desert,low,flat,mid,62425,soil;rock;other;grass;forest;snow,soil=51.55;rock=22.73;other=16.5;grass=8.96;forest=0.18;snow=0.08,desert_wavy_01,24.59
desert,low,flat,high,25777,soil;rock;other;grass;forest,soil=49.49;rock=27.94;other=13.41;grass=9.05;forest=0.12,desert_wavy_01,33.71
desert,low,valley,low,28961,soil;rock;grass;other;forest,soil=33.44;rock=28.03;grass=19.63;other=18.89;forest=0.01,desert_wavy_01,26.31
desert,low,valley,mid,32784,soil;rock;other;grass,soil=43.35;rock=25.63;other=21.28;grass=9.74,desert_wavy_01,24.92
desert,low,valley,high,5764,soil;rock;grass;other,soil=33.22;rock=31.33;grass=19.0;other=16.45,desert_wavy_01,26.47
desert,mid,ridge,low,5144,rock;soil;other;grass;forest,rock=42.67;soil=24.42;other=22.88;grass=8.59;forest=1.44,desert_rocky,23.39
desert,mid,ridge,mid,20073,soil;other;rock;grass;forest,soil=42.21;other=26.69;rock=25.25;grass=5.33;forest=0.52,drylands_01,24.16
desert,mid,ridge,high,37253,soil;rock;other;grass;snow,soil=44.98;rock=26.36;other=21.17;grass=6.21;snow=1.28,desert_wavy_01,26.29
desert,mid,flat,low,15149,soil;rock;other;grass;forest,soil=37.9;rock=34.1;other=21.05;grass=6.61;forest=0.33,desert_wavy_01,22.11
desert,mid,flat,mid,49260,soil;rock;other;grass;forest,soil=56.24;rock=23.48;other=14.37;grass=5.21;forest=0.7,desert_wavy_01,25.23
desert,mid,flat,high,28809,soil;rock;other;grass;forest;snow,soil=52.41;rock=26.33;other=14.82;grass=6.16;forest=0.16;snow=0.11,desert_wavy_01,32.3
desert,mid,valley,low,83077,soil;rock;other;grass;forest;snow,soil=38.74;rock=28.32;other=20.78;grass=12.1;forest=0.03;snow=0.03,desert_wavy_01,25.61
desert,mid,valley,mid,39410,soil;rock;other;grass;forest;snow,soil=37.55;rock=28.18;other=22.38;grass=11.82;forest=0.03;snow=0.03,desert_wavy_01,20.59
desert,mid,valley,high,12965,soil;rock;other;grass;snow;forest,soil=34.69;rock=31.66;other=21.22;grass=12.24;snow=0.12;forest=0.07,coastline_cliff_desert,22.93
desert,high,ridge,low,10054,rock;soil;other;grass;snow,rock=65.66;soil=15.8;other=15.77;grass=2.74;snow=0.03,desert_rocky,48.1
desert,high,ridge,mid,8554,rock;other;soil;grass;snow,rock=42.66;other=32.43;soil=20.67;grass=3.97;snow=0.27,drylands_01,31.12
desert,high,ridge,high,47760,soil;other;rock;grass;snow,soil=39.81;other=29.82;rock=23.26;grass=6.44;snow=0.66,drylands_01,27.49
desert,high,flat,low,12474,rock;soil;other;grass;snow,rock=46.59;soil=28.28;other=18.02;grass=6.96;snow=0.14,desert_rocky,32.01
desert,high,flat,mid,7913,soil;rock;other;grass;snow,soil=34.66;rock=31.38;other=22.85;grass=10.81;snow=0.3,drylands_01,22.19
desert,high,flat,high,17945,soil;rock;other;grass;snow,soil=34.68;rock=30.59;other=27.06;grass=6.99;snow=0.67,desert_cracked,24.26
desert,high,valley,low,132572,rock;soil;other;grass;snow;forest,rock=40.76;soil=30.01;other=19.08;grass=10.07;snow=0.08;forest=0.0,desert_rocky,21.6
desert,high,valley,mid,18399,soil;rock;other;grass;snow;forest,soil=33.13;rock=32.08;other=22.96;grass=9.2;snow=2.63;forest=0.01,drylands_01,21.65
desert,high,valley,high,14379,rock;other;soil;grass;snow,rock=41.09;other=25.56;soil=23.92;grass=5.14;snow=4.3,coastline_cliff_desert,28.38
desert_mountains,low,ridge,low,992,rock;forest;grass;other;soil,rock=52.12;forest=23.49;grass=15.42;other=8.47;soil=0.5,hills_01_rocks_medi,26.31
desert_mountains,low,ridge,mid,1082,rock;grass;other;soil;forest,rock=72.64;grass=12.57;other=11.92;soil=1.66;forest=1.2,desert_rocky,49.82
desert_mountains,low,ridge,high,825,rock;grass;other,rock=54.42;grass=41.33;other=4.24,desert_rocky,34.55
desert_mountains,low,flat,low,250,rock;forest;other,rock=56.4;forest=38.8;other=4.8,desert_rocky,51.2
desert_mountains,low,valley,low,236,rock;other;grass,rock=73.73;other=25.85;grass=0.42,hills_01_rocks_medi,66.95
desert_mountains,low,valley,mid,71,rock;other,rock=78.87;other=21.13,hills_01_rocks_medi,78.87
desert_mountains,mid,ridge,low,6226,rock;grass;forest;other;soil,rock=79.91;grass=12.34;forest=5.43;other=1.99;soil=0.34,desert_rocky,40.56
desert_mountains,mid,ridge,mid,5641,rock;grass;other;soil;snow,rock=79.03;grass=13.12;other=7.43;soil=0.39;snow=0.04,desert_rocky,34.82
desert_mountains,mid,ridge,high,3206,rock;grass;other;snow;forest;soil,rock=63.35;grass=23.74;other=11.54;snow=1.12;forest=0.19;soil=0.06,desert_rocky,30.1
desert_mountains,mid,flat,low,2094,rock;other;grass;soil;forest,rock=81.95;other=9.22;grass=6.11;soil=1.53;forest=1.19,desert_rocky,60.17
desert_mountains,mid,flat,mid,313,rock;other;grass;soil,rock=60.7;other=34.19;grass=3.51;soil=1.6,desert_rocky,41.85
desert_mountains,mid,valley,low,2571,rock;grass;other;soil;forest;snow,rock=70.05;grass=18.86;other=9.8;soil=0.58;forest=0.47;snow=0.23,desert_rocky,36.06
desert_mountains,mid,valley,mid,271,rock;other;grass;soil,rock=66.05;other=29.15;grass=4.06;soil=0.74,hills_01_rocks_medi,51.66
desert_mountains,high,ridge,low,13562,rock;other;grass;soil;forest;snow,rock=86.83;other=7.43;grass=4.13;soil=1.35;forest=0.25;snow=0.01,desert_rocky,43.9
desert_mountains,high,ridge,mid,12669,rock;other;grass;soil;forest;snow,rock=85.59;other=9.51;grass=2.42;soil=1.65;forest=0.75;snow=0.07,desert_rocky,45.52
desert_mountains,high,ridge,high,7166,rock;other;soil;grass;snow,rock=73.08;other=21.3;soil=2.6;grass=2.53;snow=0.5,hills_01_rocks_medi,35.03
desert_mountains,high,flat,low,4552,rock;other;grass;soil;forest;snow,rock=83.63;other=7.12;grass=6.46;soil=2.13;forest=0.62;snow=0.04,hills_01_rocks_medi,40.82
desert_mountains,high,flat,mid,1246,rock;other;grass;soil;snow,rock=74.4;other=19.98;grass=4.98;soil=0.56;snow=0.08,hills_01_rocks_medi,45.26
desert_mountains,high,flat,high,205,rock;other;snow,rock=56.1;other=43.41;snow=0.49,hills_01_rocks_medi,46.83
desert_mountains,high,valley,low,14688,rock;grass;other;soil,rock=82.7;grass=8.52;other=5.56;soil=3.22,hills_01_rocks_medi,37.02
