# GENERATED by scripts/measure_vanilla_relief_paint.py -- do not hand-edit
ck3_terrain,family,material,ordinal,share_within_family_pct,area_share_pct,n
desert,soil,desert_wavy_01,16,57.37,43.54,244043
desert,rock,coastline_cliff_desert,9,44.44,29.03,162719
desert,other,drylands_01,18,87.57,19.12,107187
desert,grass,drylands_01_grassy,20,99.68,8.14,45635
desert,snow,mountain_02_snow,46,84.89,0.15,814
desert,forest,forest_jungle_01,24,100.0,0.03,165
desert_mountains,rock,desert_rocky,15,50.43,83.64,40954
desert_mountains,other,debug,5,76.46,10.41,5097
desert_mountains,grass,drylands_01_grassy,20,87.18,4.81,2356
desert_mountains,soil,desert_wavy_01,16,65.41,0.81,399
desert_mountains,forest,forest_jungle_01,24,100.0,0.24,119
desert_mountains,snow,mountain_02_snow,46,100.0,0.08,40
drylands,grass,drylands_01_grassy,20,95.91,77.16,357993
drylands,other,drylands_01,18,95.36,13.93,64619
drylands,rock,mountain_02_d_valleys,44,63.11,7.25,33641
drylands,soil,mud_wet_01,48,61.75,1.07,4981
drylands,forest,forest_jungle_01,24,82.65,0.42,1948
drylands,snow,mountain_02_snow,46,49.8,0.16,753
farmlands,soil,farmland_01,22,96.09,71.78,20691
farmlands,rock,mountain_02_desert_c,45,68.06,9.89,2852
farmlands,grass,steppe_grass,58,73.27,7.57,2181
farmlands,snow,mountain_02_c_snow,41,90.62,6.66,1919
farmlands,forest,forest_leaf_01,25,63.47,3.26,939
farmlands,other,beach_02,6,97.93,0.84,242
floodplains,soil,floodplains_01,23,90.44,56.54,25982
floodplains,rock,mountain_02_d_valleys,44,61.21,13.18,6056
floodplains,grass,drylands_01_grassy,20,91.85,11.35,5215
floodplains,other,oasis,50,89.92,8.78,4036
floodplains,snow,mountain_02_c_snow,41,100.0,6.78,3117
floodplains,forest,forest_leaf_01,25,60.36,3.37,1549
forest,forest,forest_leaf_01,25,99.13,82.12,395354
forest,snow,mountain_02_c_snow,41,91.2,8.87,42698
forest,rock,mountain_02_desert_c,45,49.01,7.83,37678
forest,soil,mud_wet_01,48,82.51,0.58,2779
forest,grass,drylands_01_grassy,20,47.51,0.37,1764
forest,other,hills_01,28,83.65,0.24,1174
hills,rock,mountain_02_d,42,19.22,36.77,236612
hills,grass,drylands_01_grassy,20,79.34,24.46,157385
hills,other,hills_01,28,89.94,22.9,147403
hills,forest,forest_leaf_01,25,37.75,8.92,57408
hills,soil,wetlands_02_mud,61,66.9,3.67,23646
hills,snow,mountain_02_c_snow,41,68.84,3.28,21113
jungle,forest,forest_jungle_01,24,98.83,72.28,286575
jungle,grass,steppe_bushes,57,63.3,17.54,69536
jungle,rock,steppe_rocks,59,98.61,4.94,19571
jungle,soil,wetlands_02_mud,61,98.68,4.22,16716
jungle,snow,snow,56,84.67,0.65,2590
jungle,other,beach_02,6,96.82,0.38,1511
mountains,rock,desert_rocky,15,43.36,36.47,59384
mountains,snow,mountain_02_snow,46,92.59,21.67,35287
mountains,grass,wetlands_02,60,47.98,13.57,22091
mountains,other,debug,5,54.11,12.16,19804
mountains,forest,forest_leaf_01,25,45.42,9.84,16016
mountains,soil,wetlands_02_mud,61,66.81,6.29,10244
oasis,rock,mountain_02_c,40,76.87,42.34,6043
oasis,grass,drylands_01_grassy,20,100.0,35.96,5133
oasis,other,drylands_01,18,86.27,19.34,2761
oasis,soil,desert_cracked,13,37.8,2.35,336
oasis,snow,mountain_02_d_snow,43,100.0,0.01,1
plains,forest,forest_jungle_01,24,91.43,27.68,297637
plains,rock,mountain_02_desert_c,45,73.29,24.42,262606
plains,soil,desert_wavy_01,16,90.91,22.92,246527
plains,snow,mountain_02_c_snow,41,57.39,13.4,144102
plains,grass,steppe_grass,58,42.22,9.65,103823
plains,other,drylands_01,18,43.81,1.92,20692
steppe,rock,mountain_03,47,92.88,73.2,215798
steppe,grass,drylands_01_grassy,20,99.9,11.61,34216
steppe,other,desert_02,12,61.3,8.49,25021
steppe,soil,desert_wavy_01,16,61.19,4.76,14036
steppe,forest,forestfloor,27,97.88,1.3,3825
steppe,snow,mountain_02_d_snow,43,96.41,0.65,1920
taiga,forest,forest_pine_01,26,94.01,87.69,789199
taiga,rock,mountain_02_d,42,44.11,9.06,81559
taiga,snow,mountain_02_c_snow,41,85.73,2.47,22258
taiga,other,beach_02,6,40.07,0.69,6186
taiga,soil,mud_wet_01,48,80.18,0.06,555
taiga,grass,plains_01,51,53.16,0.03,237
terraced_hills,soil,farm_paddy_01,21,95.29,73.39,25773
terraced_hills,grass,steppe_bushes,57,39.53,11.02,3870
terraced_hills,rock,steppe_rocks,59,64.32,9.96,3498
terraced_hills,forest,forest_leaf_01,25,56.7,4.14,1455
terraced_hills,snow,mountain_02_c_snow,41,83.06,1.41,496
terraced_hills,other,oasis,50,92.0,0.07,25
wetlands,other,oasis,50,86.87,60.44,106833
wetlands,grass,steppe_bushes,57,48.45,16.15,28549
wetlands,forest,forestfloor,27,44.26,11.46,20253
wetlands,snow,mountain_02_c_snow,41,89.2,5.1,9016
wetlands,rock,mountain_02_d,42,36.03,4.72,8338
wetlands,soil,plains_01_dry_mud,53,60.04,2.14,3779
