section,ck2_scope,ck2_key,ck2_uses_in_faerun,ck2_value_shape,ck3_file,ck3_key,ck3_value_shape,status,default_when_none,ck3_evidence,note
layout,-,(folder layout),-,-,"common/religion/{religion_types,religion_family_types,doctrine_types,doctrine_group_types,holy_site_types}/",-,directories,exact,-,"verified by ls: common/religion/ contains ONLY doctrine_group_types, doctrine_types, holy_site_types, religion_family_types, religion_types (+ great_holy_wars.info)","CK3 1.19 RENAMED the religion folders. The wiki and every pre-1.19 tutorial say common/religion/religions, /doctrines, /holy_sites - those directories DO NOT EXIST in 1.19. Elder Kings 2 already uses the new paths exclusively (verified). Write to the *_types paths."
structure,religion_group,<group_id> = { ... },"15 groups, 94 religions",block,common/religion/religion_types/fae_<group>.txt,<religion_id> = { family = ... faiths = { ... } },block,approx,-,common/religion/religion_types/_religion_types.info:4-8 ; common/religion/religion_types/00_paganism.txt:1 (paganism_religion = {),"CK2 religion GROUP -> CK3 RELIGION (the object that owns a `faiths = { }` block). CK2 religion -> CK3 FAITH. Faerun: 15 groups / 94 religions (aberration 3, atheist 5, draconic 3, drow_pantheon 3, dwarven 4, elven 6, evil_human 10, giant 5, good_human 14, humanoid 4, karaturan 7, pagan 3, qismaite 5, unenlightened 4, wild_human 18). Vanilla CK3: 48 religions / 140 faiths."
structure,religion_group,(no CK2 equivalent above the group),-,-,common/religion/religion_family_types/fae_families.txt,<rf_id> = { hostility_doctrine piety_icon_group graphical_faith doctrine_background_icon },block,none,-,"common/religion/religion_family_types/_religion_family_types.info ; common/religion/religion_family_types/00_religion_family_types.txt:1 (rf_abrahamic, only 4 vanilla families)","CK3 has a level ABOVE religion that CK2 lacks. Mechanical rule that needs no design: emit exactly one family per CK2 religion group, so the family/religion pair is 1:1. That also gives every group its own hostility doctrine (see the `intermarry` row). All four fields are optional; `hostility_doctrine` is what makes hostility tooltips work."
structure,religion,<religion_id> = { ... },94,block,common/religion/religion_types/fae_<group>.txt,faiths = { <faith_id> = { ... } },block nested inside the religion,exact,-,common/religion/religion_types/_religion_types.info:63-66,1:1. Faith ids must be globally unique.
religion_group,religion_group,color,15,{ r g b },(no direct CK3 home),-,-,none,-,-,CK3 religions and families have no colour; only FAITHS do. Reuse the CK2 group colour as the fallback colour for any faith in the group that lacks one.
religion_group,religion_group,graphical_culture,15,gfxculture id (e.g. westerngfx),common/religion/religion_types/fae_*.txt,graphical_faith,catholic_gfx|orthodox_gfx|islamic_gfx|dharmic_gfx|pagan_gfx|sinitic_gfx|shinto_gfx|tengrism_gfx|kamuyism_gfx|zoroastrian_gfx,approx,"graphical_faith = ""pagan_gfx""",common/religion/religion_types/_religion_types.info:5 ; verified value set: 10 distinct graphical_faith values across common/religion/,CK3 graphical_faith drives TEMPLE 3D models only (not clothing). Precedence faith > religion > family. Only those 10 vanilla values exist unless the mod ships new temple assets; pagan_gfx is the right default for polytheistic pantheons.
religion_group,religion_group,crusade_cb,15,cb id (crusade),-,(none),-,none,-,-,"CK3 great holy wars are configured in common/religion/great_holy_waIrs.info + the faith's GHWName loc keys and the `doctrine_pluralism_*` level, not by pointing at a CB. Comment. (See also `can_call_crusade`.)"
religion_group,religion_group,hostile_within_group,15,yes/no,common/religion/doctrine_types/fae_hostility.txt,<custom hostility doctrine> parameters = { hostility_same_religion = 1..4 },doctrine with parameters,approx,hostility_same_religion,"common/religion/doctrine_types/10_doctrines_religions.txt:9-17 (pagan_hostility_doctrine: hostility_same_religion = 1, hostility_same_family = 2, hostility_others = 3)","This is where CK2's group-internal hostility really lives. The 1-4 scale is faith_righteous / faith_astray / faith_hostile / faith_evil. Only 4 vanilla hostility doctrines exist; a converter that wants per-group behaviour must emit its own (copy pagan_hostility_doctrine, change the numbers, set `visible = no`)."
religion_group,religion_group,playable,15,yes/no,-,(none),-,none,-,-,CK3 has no per-religion playability switch (game rules handle it). Comment.
religion_group,religion_group,has_coa_on_barony_only,15,yes/no,-,(none),-,none,-,-,CK2 flag for temple-holding CoA display. No CK3 equivalent. Drop.
religion_group,religion_group,male_names / female_names,15 (often empty),{ Name ... },common/religion/religion_types/fae_*.txt,reserved_male_names / reserved_female_names,{ Name ... },approx,omit,"common/religion/religion_types/_religion_types.info:50-51 (religion level), :68-69 (faith level)","Semantics differ: CK2 lists names GIVEN to followers; CK3 `reserved_*_names` lists names NOT given to followers of other faiths. Same data, inverted use. Values must be the culture name lists' BASE names."
religion_group,religion_group,ai_convert_same_group / ai_convert_other_group,15 / 30,int weight,-,(none),-,none,-,-,"CK3 AI conversion is driven by the hostility doctrine parameters plus doctrine_pluralism_*, not by explicit weights. Fold into the hostility doctrine; comment the numbers."
religion_group,religion_group,ai_peaceful / ai_fabricate_claims / aggression,present,yes/no / int,-,(none),-,none,-,-,CK2 AI tuning per religion. No CK3 equivalent. Comment.
religion_group,both,interface_skin,15 / 54,skin id,-,(none),-,none,-,-,CK2 swapped the whole UI skin per religion. CK3 has no per-faith interface skin (only piety icons and the tenet banner). Nearest: `piety_icon_group` + `doctrine_background_icon`. Comment.
religion_group,religion_group,secret_religion_visibility_trigger,1 (00_religions.txt),trigger,-,(none),-,none,-,-,CK3 secrets (common/secret_types) replace CK2 secret religions. See character_fields.csv `secret_religion`.
religion_group,religion_group,alternate_start,1 (pagan_group),block { always = no },-,(none),-,none,-,-,No CK3 random world. Drop.
faith,religion,color,94,{ r g b } floats,common/religion/religion_types/fae_*.txt,color,{ r g b },exact,-,common/religion/religion_types/_religion_types.info:65 ; 00_paganism.txt faiths,1:1 on the faith.
faith,religion,icon,94,int (sprite index),common/religion/religion_types/fae_*.txt,icon,"faith id whose icon to borrow, OR omit to use `gfx/interface/icons/faith/<faith_id>.dds`",approx,omit,common/religion/religion_types/_religion_types.info:66 ; 00_paganism.txt (custom_faith_icons list),CK2 int index into its own atlas is meaningless in CK3. Either omit (and provide the .dds named after the faith) or point at a vanilla faith's icon. A missing icon is a visible-but-non-fatal error.
faith,religion,heresy_icon,90,int,-,(none),-,none,-,-,CK3 has no separate heresy icon; heresies are ordinary faiths. Drop.
faith,religion,graphical_culture,94,gfxculture id,common/religion/religion_types/fae_*.txt,graphical_faith,one of the 10 valid values,approx,-,common/religion/religion_types/_religion_types.info:68,As the religion-level row.
faith,religion,religious_clothing_head / religious_clothing_priest,93 / 93,int (sprite index),-,(none),-,none,-,-,CK2 2D clergy vestment sprites. CK3 clergy clothing comes from the culture's `clothing_gfx` + portrait modifiers. No conversion path. Comment.
faith,religion,high_god_name,93,loc key e.g. GOD_SUN,common/religion/religion_types/fae_*.txt,localization = { HighGodName = <key> HighGodNamePossessive = <key> HighGodNameSheHe = CHARACTER_SHEHE_SHE HighGodHerHis = ... },loc block,approx,-,common/religion/religion_types/_religion_types.info:70-73 ; 00_paganism.txt:74-81,"CK2's single key becomes a family of 8 CK3 keys (HighGodName, HighGodName2, HighGodNamePossessive, HighGodNameSheHe, HighGodHerselfHimself, HighGodHerHis, HighGodNameAlternate, HighGodNameAlternatePossessive). Generate the possessive/pronoun keys from the same string plus the CHARACTER_* pronoun constants."
faith,religion,god_names,92,{ LOC_KEY ... },common/religion/religion_types/fae_*.txt,localization = { GoodGodNames = { KEY KEY ... } },"loc block, list value",exact,-,common/religion/religion_types/_religion_types.info:70-73 ; 71 live GoodGodNames uses,Direct match: CK2 god_names -> GoodGodNames (a list). This is the natural home for a Faerun pantheon's deity list.
faith,religion,evil_god_names,94,{ LOC_KEY ... },common/religion/religion_types/fae_*.txt,localization = { EvilGodNames = { KEY ... } DevilName = KEY ... },loc block,exact,-,common/religion/religion_types/_religion_types.info:70-73 ; 57 live EvilGodNames uses,Direct match. Also set DevilName / DevilNamePossessive / DevilSheHe / DevilHerHis / DevilHerselfHimself from the first entry.
faith,religion,scripture_name,94,loc key,common/religion/religion_types/fae_*.txt,localization = { ReligiousText = KEY ReligiousText2 = KEY ReligiousText3 = KEY },loc block,exact,-,common/religion/religion_types/_religion_types.info:70-73 ; 61 live uses,Direct match; CK3 wants three synonym variants (repeat the same key if only one exists).
faith,religion,priest_title,93,loc key e.g. PRIEST,common/religion/religion_types/fae_*.txt,localization = { PriestMale PriestMalePlural PriestFemale PriestFemalePlural PriestNeuter PriestNeuterPlural AltPriestTermPlural },loc block,approx,-,common/religion/religion_types/_religion_types.info:70-73 ; 77 live PriestMale uses,CK2's one key becomes 7 gendered/plural keys. Also the parallel Bishop* (6 keys) and Devotee* (6 keys) families.
faith,religion,piety_name,62,loc key,common/religion/religion_types/fae_*.txt,piety_icon_group,christian|islam|judaism|pagan|eastern|taoism|confucianism|zoroastrian,approx,"piety_icon_group = ""pagan""",common/religion/religion_types/_religion_types.info:6 ; verified value set (8 distinct across common/religion/),CK2 renamed the piety RESOURCE; CK3 only lets you swap the piety ICON SET (8 vanilla groups). The resource name itself is fixed. Comment the CK2 string.
faith,religion,crusade_name,87,loc key e.g. GREAT_HOLY_WAR,common/religion/religion_types/fae_*.txt,localization = { GHWName = KEY GHWNamePlural = KEY },loc block,exact,-,common/religion/religion_types/_religion_types.info:70-73 ; 49 live GHWName uses,Direct match.
faith,religion,intermarry,833 (!) repeated one line per allied faith,religion id (repeatable),common/religion/doctrine_types/fae_hostility.txt + faith doctrine,hostility doctrine parameters + doctrine_pluralism_pluralistic,doctrine,approx,doctrine_pluralism_righteous,common/religion/doctrine_types/10_doctrines_religions.txt:9-17 ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_pluralism) ; common/religion/doctrine_types/20_doctrines.txt (doctrine_pluralism_fundamentalist|righteous|pluralistic),"VERIFIED: there is NO `doctrine_religious_intermarriage`. CK3 has no per-pair intermarriage table at all. Faerun's 833 intermarry lines form a graph; convert it in two steps: (1) put mutually-intermarrying CK2 religions in the SAME CK3 religion (or family) so `hostility_same_religion`/`hostility_same_family` = 1 (faith_righteous) makes them marriageable; (2) set `doctrine_pluralism_pluralistic` on faiths whose intermarry list crosses groups, `doctrine_pluralism_righteous` otherwise. Emit the original intermarry list as a comment so the graph is not lost."
faith,religion,max_wives,11,int,common/religion/religion_types/fae_*.txt,doctrine,doctrine_monogamy | doctrine_polygamy,approx,doctrine_monogamy,"common/religion/doctrine_types/20_doctrines.txt (doctrine_monogamy, doctrine_polygamy, doctrine_concubines) ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_marriage_type, number_of_picks = 1)","DECISION: max_wives > 1 -> doctrine_polygamy; max_wives <= 1 (or unset) -> doctrine_monogamy. The exact count is lost; the culture can override with the parameter `number_of_spouses = N` (common/culture/_cultural_traits.info, Special parameters)."
faith,religion,max_consorts,47,int,common/religion/religion_types/fae_*.txt,doctrine,doctrine_concubines,approx,doctrine_monogamy,common/religion/doctrine_types/20_doctrines.txt ; common/culture/_cultural_traits.info (number_of_consorts = N),"DECISION: max_consorts > 0 -> doctrine_concubines (this is the SAME doctrine group as monogamy/polygamy - only one pick, so concubines wins over polygamy if both apply). Exact count via the culture parameter `number_of_consorts`."
faith,religion,women_can_take_consorts / men_can_take_consorts,42 / 26,yes/no,common/religion/religion_types/fae_*.txt,doctrine,doctrine_gender_female_dominated | doctrine_gender_male_dominated | doctrine_gender_equal,approx,doctrine_gender_male_dominated,common/religion/doctrine_types/20_doctrines.txt ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_gender),CK3 does not gender concubinage separately; doctrine_concubines follows the gender doctrine. DECISION: women only -> doctrine_gender_female_dominated (Lolth-cult pattern); men only -> male_dominated; both -> equal.
faith,religion,feminist,80,yes/no,common/religion/religion_types/fae_*.txt,doctrine,doctrine_gender_equal,approx,doctrine_gender_male_dominated,"common/religion/doctrine_types/20_doctrines.txt ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_gender, mandatory)","DECISION: feminist = yes -> doctrine_gender_equal, unless women_can_take_consorts = yes AND men_can_take_consorts = no, which is stronger evidence for doctrine_gender_female_dominated."
faith,religion,priests_can_marry,90,yes/no,common/religion/religion_types/fae_*.txt,doctrine,doctrine_clerical_marriage_allowed | doctrine_clerical_marriage_disallowed,exact,doctrine_clerical_marriage_allowed,"common/religion/doctrine_types/20_doctrines.txt ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_clerical_marriage, mandatory)",DECISION: yes -> doctrine_clerical_marriage_allowed; no -> doctrine_clerical_marriage_disallowed. Clean 1:1.
faith,religion,priests_can_inherit,84,yes/no,common/religion/religion_types/fae_*.txt,doctrine,doctrine_clerical_succession_temporal_appointment | doctrine_clerical_succession_temporal_fixed_appointment,approx,doctrine_clerical_succession_temporal_appointment,"common/religion/doctrine_types/20_doctrines.txt ; common/religion/doctrine_group_types/00_doctrine_group_types.txt (doctrine_clerical_succession, mandatory, 4 options)","Not an exact concept match. CK2 asks whether a priest's heirs keep the holding; CK3 asks WHO appoints the successor (temporal/spiritual x appointment/fixed_appointment). DECISION: priests_can_inherit = yes -> temporal_appointment (the liege picks, inheritance-like); no -> spiritual_appointment (the head of faith picks)."
