# GENERATED by scripts/measure_vanilla_surround.py from vanilla's own
# gfx/map/surround_map/surround_mask.dds. Checked in and hand-editable, like
# mappings/terrain_paint.csv and mappings/colormap_tints.csv.
#
# One row per texel of depth in from the nearest map edge. The three values are
# the frame vanilla paints where its own content reaches the edge (the
# element-wise minimum, over the four edges, of the 5th-percentile profile) --
# NOT vanilla's actual mask, which is painted around Earth's coastline and hides
# up to 67 % of the map height at the top.
#
#   b  pdxterrain.shader:777  -- 255 hides the terrain on the flat map, 0 shows it
#   g  surroundmap.shader:230 -- cloud mask; clouds are drawn where this is high
#   r  surroundmap.shader:352 -- the map's drop shadow onto the surround plane
#
# ck2ck3.map.surround reads this and paints value(min distance to any edge);
# every depth past the last row is 0 (map fully visible, no clouds, no shadow).
depth,r,g,b
0,145,244,255
1,145,244,255
2,150,249,255
3,153,252,255
4,153,251,247
5,153,251,247
6,152,249,227
7,150,247,200
8,150,243,134
9,148,235,68
10,148,231,8
11,148,227,0
12,148,211,0
13,148,201,0
14,145,190,0
15,145,178,0
16,140,162,0
17,140,150,0
18,137,133,0
19,134,123,0
20,132,108,0
21,129,99,0
22,126,93,0
23,123,82,0
24,123,65,0
25,120,60,0
26,117,52,0
27,115,40,0
28,115,24,0
29,115,17,0
30,112,13,0
31,112,12,0
32,107,8,0
33,101,8,0
34,93,8,0
35,90,6,0
36,80,4,0
37,71,4,0
38,65,4,0
39,58,4,0
40,49,4,0
41,42,4,0
42,38,2,0
43,33,2,0
44,24,0,0
45,19,1,0
46,18,0,0
47,16,0,0
48,16,0,0
49,10,0,0
50,8,0,0
51,8,0,0
52,5,0,0
53,2,0,0
