section,ck2_key,ck2_value_shape,ck3_file,ck3_key,ck3_value_shape,status,default_when_none,ck3_evidence,note
landed_titles,e_/k_/d_/c_/b_<id> = { },"nested block, top tier outermost",common/landed_titles/fae_*.txt,e_/k_/d_/c_/b_<id> = { },nested block,exact,-,common/landed_titles/_landed_titles.info:8-20,"1:1 including the nesting rule. Faerun: e_ 65, k_ 272, d_ 983, c_ 2132, b_ 15356 (18120 nested sub-title declarations counted). CK3 1.19 vanilla: e_ 87, k_ 266, d_ 1088, c_ 4671, b_ 10966. CK3 adds an `h_` (hegemony) tier ABOVE empire (h_roman_empire, h_eastern_roman_empire, h_dar_al_islam, h_india, h_china) which the wiki does not document - useful for Faerun's faction empires if they should sit above e_."
landed_titles,color,{ r g b } floats 0-1,common/landed_titles/fae_*.txt,color,"{ r g b } 0-255 ints, floats, or named_color",exact,color = { 128 128 128 },common/landed_titles/_landed_titles.info:36 ; 17454 live uses in common/landed_titles/,Only the map border colour. It is NOT the coat of arms (see the coat_of_arms row).
landed_titles,color2,{ r g b },-,(none),-,none,-,-,CK3 has no second title colour (CK2 used it for the secondary map/flag tint). Drop; the CoA carries the second colour now.
landed_titles,capital,"c_<id> (county) or b_<id> (barony, for baron tier)",common/landed_titles/fae_*.txt,capital,c_<id> - COUNTY title only,approx,-,common/landed_titles/_landed_titles.info:124-129 ; 2647 live uses,"CK3 `capital` must be a COUNTY title; CK2 sometimes names a barony. Map barony -> its parent county. GOTCHA (EK2 precedent, common/landed_titles/00_landed_titles.txt:66 in EK2): landless titular titles still need a dummy `capital = c_<something>` or the game logs errors - EK2 comments it `#Placeholder for less errors`."
landed_titles,"<culture_id> = ""Name""  (bare culture key, 229 distinct ids in Faerun)",culture id = literal string,common/landed_titles/fae_*.txt,cultural_names = { name_list_<x> = <loc_key> },block of name_list -> loc key,approx,omit,common/landed_titles/_landed_titles.info:220-232 ; 1563 live `cultural_names` uses,"MAJOR SHAPE CHANGE. CK2 puts bare `<culture> = ""Literal Name""` pairs directly in the title block; CK3 wraps them in a `cultural_names = { }` block, keys them by NAME LIST (not culture) and takes a LOC KEY, not a literal. So: culture -> its name_list id, literal -> a generated `cn_fae_<title>_<namelist>` key written to localisation. The adjective is auto-derived as `<key>_adj` and must also exist. Faerun examples: 01_landed_titles.txt:465 moon_elf = ""Arundath"" (137 uses); 01_laerakond.txt:343 shield_dwarf = ""Hollowbold"" (102)."
landed_titles,title,ruler title loc key e.g. MARGRAVE (73 uses in Faerun),common/flavorization/fae_*.txt,<key> = { type = character gender = male tier = <t> titles = { <title> } },block + loc key of the same name,approx,omit,common/flavorization/_flavourization.info (type/gender/tier/titles/priority/name_lists); common/flavorization/00_flavorization.txt:4,"CK2 stores the ruler's style on the title; CK3 moves it to common/flavorization, matched by `titles = { k_x }` (or name_lists/heritages/governments). Emit one entry per gender. Priority decides which of several matching entries wins."
landed_titles,title_female,ruler title loc key,common/flavorization/fae_*.txt,<key> = { type = character gender = female ... },block,approx,omit,common/flavorization/_flavourization.info (gender),Same as `title` with gender = female.
landed_titles,foa,form-of-address loc key,common/flavorization/fae_*.txt,(no dedicated key),-,approx,omit,common/flavorization/_flavourization.info,CK3 has no separate form-of-address field; the flavourization loc string covers both the title and how the holder is addressed. Fold `foa` into the flavourization loc value or drop it with a comment.
landed_titles,title_prefix,"loc prefix e.g. ""e_of_""",common/flavorization/fae_*.txt,<key> = { type = title ... },block,approx,omit,common/flavorization/_flavourization.info (type = title),CK2's 'Kingdom of X' vs 'X Kingdom' prefixing. In CK3 this is title-type flavourization plus the `definite_form` bool and the localisation string itself.
landed_titles,short_name,yes/no,common/landed_titles/fae_*.txt,definite_form,yes/no,approx,omit (default no),common/landed_titles/_landed_titles.info:100-104 ; 1435 live uses,Not identical: CK2 `short_name = yes` means 'do not prefix with Kingdom of'; CK3 `definite_form = yes` means the name already contains its article ('the Papal State'). Closest available lever.
