ck2_trait,ck3_trait,decision
abdominal_pain,abdominal_pain,port
absent,absent,port
acute,acute,port
administrator,administrator,rename
adventurer,adventurer,rename
affectionate,affectionate,port
afflicted_lycanthrope,afflicted_lycanthrope,race_trait
aggressive_leader,aggressive_attacker,rename
amateurish_plotter,education_intrigue_1,rename
ambitious,ambitious,rename
androgynous,androgynous,port
arbitrary,arbitrary,rename
archfiend,archfiend,race_trait
architect,architect,rename
archlich,archlich,race_trait
ares_own,ares_own,port
ashari,ashari,port
augustus,augustus,rename
bad_priest_aztec,bad_priest_aztec,port
bad_priest_christian,bad_priest_christian,port
bad_priest_muslim,bad_priest_muslim,port
bad_priest_norse,bad_priest_norse,port
bad_priest_tengri,bad_priest_tengri,port
bad_priest_zoroastrian,bad_priest_zoroastrian,port
baptized_by_bishop,baptized_by_bishop,port
baptized_by_patriarch,baptized_by_patriarch,port
baptized_by_pope,baptized_by_pope,port
baptized_by_satan,baptized_by_satan,port
bastard,bastard,rename
beatified,beatified,port
beautiful,beautiful,port
berserker,berserker,rename
bhaalspawn,bhaalspawn,port
blessed_ancestor,blessed_ancestor,port
blinded,blinded,port
bloodthirsty_gods_1,bloodthirsty_gods_1,port
bloodthirsty_gods_2,bloodthirsty_gods_2,port
bloodthirsty_gods_3,bloodthirsty_gods_3,port
born_in_the_purple,born_in_the_purple,rename
brave,brave,rename
bright,bright,port
brilliant,brilliant,port
brilliant_strategist,education_martial_4,rename
brooding,brooding,port
cancer,cancer,rename
cannibal_trait,cannibal_trait,port
cannot_marry,cannot_marry,port
careless,careless,port
cat,cat,port
celibate,celibate,rename
charismatic_negotiator,education_diplomacy_3,rename
charitable,generous,rename
chaste,chaste,rename
chest_pain,chest_pain,port
child_of_consort,child_of_consort,port
child_of_consort_male,child_of_consort_male,port
clubfooted,clubfooted,rename
conscientious,conscientious,port
construct,construct,port
content,content,rename
cough,cough,port
cramps,cramps,port
craven,craven,rename
creature_aarakocra,creature_aarakocra,race_trait
creature_aasimar,creature_aasimar,race_trait
creature_aboleth,creature_aboleth,race_trait
creature_abomination,creature_abomination,race_trait
creature_beholder,creature_beholder,race_trait
creature_bugbear,creature_bugbear,race_trait
creature_celestial,creature_celestial,race_trait
creature_centaur,creature_centaur,race_trait
creature_construct,creature_construct,race_trait
creature_deep_imaskari,creature_deep_imaskari,race_trait
creature_draegloth,creature_draegloth,race_trait
creature_dragon,creature_dragon,race_trait
creature_dragonborn,creature_dragonborn,race_trait
creature_drow,creature_drow,race_trait
creature_dwarf,creature_dwarf,race_trait
creature_elder_brain,creature_elder_brain,race_trait
creature_elf,creature_elf,race_trait
creature_feyri,creature_feyri,race_trait
creature_fiend,creature_fiend,race_trait
creature_genasi,creature_genasi,race_trait
creature_genie,creature_genie,race_trait
creature_giant,creature_giant,race_trait
creature_gith,creature_gith,race_trait
creature_gnoll,creature_gnoll,race_trait
creature_gnome,creature_gnome,race_trait
