ck2_trait,ck3_trait,status,source,note
administrator,administrator,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
adventurer,adventurer,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
aggressive_leader,aggressive_attacker,approx,mappings/vanilla_traits.csv,"CK2 commander trait -> CK3 commander trait, both favour attacking"
amateurish_plotter,education_intrigue_1,exact,mappings/vanilla_traits.csv,CK2 intrigue education tier 1 of 4 -> CK3 tier 1 of 5
ambitious,ambitious,exact,mappings/vanilla_traits.csv,same name and concept
arbitrary,arbitrary,exact,mappings/vanilla_traits.csv,same name and concept
architect,architect,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
augustus,augustus,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
bastard,bastard,exact,mappings/vanilla_traits.csv,same name; CK3 also has bastard=illegitimate/legitimate as a trait property
berserker,berserker,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
born_in_the_purple,born_in_the_purple,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
brave,brave,exact,mappings/vanilla_traits.csv,"same name; martial 2 on both sides (CK2 00_traits.txt:1727, CK3 00_traits.txt:3264)"
brilliant_strategist,education_martial_4,exact,mappings/vanilla_traits.csv,CK2 martial education tier 4 of 4 -> CK3 tier 4 of 5
cancer,cancer,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
celibate,celibate,exact,mappings/vanilla_traits.csv,same name and concept
charismatic_negotiator,education_diplomacy_3,exact,mappings/vanilla_traits.csv,CK2 diplomacy education tier 3 of 4
charitable,generous,approx,mappings/vanilla_traits.csv,"same concept, renamed in CK3"
chaste,chaste,exact,mappings/vanilla_traits.csv,same name and concept
clubfooted,clubfooted,exact,mappings/vanilla_traits.csv,same name and concept
content,content,exact,mappings/vanilla_traits.csv,same name and concept
craven,craven,exact,mappings/vanilla_traits.csv,same name and concept
cruel,sadistic,approx,mappings/vanilla_traits.csv,"same concept, renamed in CK3; CK3 opposite is compassionate"
crusader,holy_warrior,approx,mappings/vanilla_traits.csv,"CK2 crusader marks a returned crusader; CK3 holy_warrior is the commander trait for holy wars. crusader_king is a different, fame trait"
curious,curious,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
cynical,cynical,exact,mappings/vanilla_traits.csv,same name and concept
decadent,decadent,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
deceitful,deceitful,exact,mappings/vanilla_traits.csv,same name and concept
defensive_leader,unyielding_defender,approx,mappings/vanilla_traits.csv,"CK2 commander trait -> CK3 commander trait, both favour defending"
depressed,depressed_1,exact,mappings/vanilla_traits.csv,CK3 splits it into depressed_1 (acquired) and depressed_genetic
detached_priest,education_learning_1,exact,mappings/vanilla_traits.csv,CK2 learning education tier 1 of 4
diligent,diligent,exact,mappings/vanilla_traits.csv,same name and concept
disfigured,disfigured,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
disinherited,disinherited,exact_id,CK3 common/traits/00_traits.txt,CK2 vanilla trait outside 00_traits.txt whose id CK3 1.19 declares verbatim
drunkard,drunkard,exact,mappings/vanilla_traits.csv,same name and concept
