# GENERATED by scripts/build_tree_mix_csv.py from
# docs/evidence/vanilla_tree_mix.csv (scripts/measure_vanilla_tree_mix.py over the real CK3 1.19
# gfx/map/map_object_data/generated/*.txt). Do not hand-edit: put human decisions in
# overrides/tree_mix.csv, which the converter applies on top. Method and provenance:
# docs/step_map_paint.md section 9.9.
#
# P(generator file | CK3 terrain key, winter climate zone, latitude band). `*` is a
# wildcard: the sampler tries (terrain, climate, band), then (terrain, *, band),
# then (terrain, climate, *), then (terrain, *, *), then the terrain's single row in
# mappings/tree_meshes.csv -- latitude before climate, measured, see
# docs/evidence/vanilla_tree_mix_conditioning.csv. lat_band 0 is the northernmost
# tenth of the canvas.
# min-count 100, min-p 0.002, 277 conditions, 1632 rows.
ck3_terrain,climate,lat_band,file,count,p
desert,none,2,tree_leaf_high_generator_3.txt,213,0.427711
desert,none,2,tree_leaf_high_generator_1.txt,179,0.359438
desert,none,2,tree_leaf_high_generator_2.txt,104,0.208835
desert,none,2,reeds_01_generator_1.txt,2,0.004016
desert,none,3,tree_leaf_high_generator_3.txt,501,0.409984
desert,none,3,tree_leaf_high_generator_1.txt,453,0.370704
desert,none,3,tree_leaf_high_generator_2.txt,264,0.216039
desert,none,3,reeds_01_generator_1.txt,4,0.003273
desert,none,5,reeds_01_generator_1.txt,217,0.314949
desert,none,5,tree_palm_generator_1.txt,170,0.246734
desert,none,5,tree_leaf_high_generator_1.txt,123,0.17852
desert,none,5,tree_leaf_high_generator_3.txt,121,0.175617
desert,none,5,tree_leaf_high_generator_2.txt,58,0.08418
desert,none,6,tree_palm_generator_1.txt,102,0.566667
desert,none,6,tree_leaf_high_generator_3.txt,32,0.177778
desert,none,6,tree_leaf_high_generator_1.txt,28,0.155556
desert,none,6,tree_leaf_high_generator_2.txt,12,0.066667
desert,none,6,reeds_01_generator_1.txt,6,0.033333
desert,none,7,tree_palm_generator_1.txt,121,1.0
desert_mountains,none,4,tree_leaf_high_generator_1.txt,51,0.404762
desert_mountains,none,4,tree_leaf_high_generator_3.txt,42,0.333333
desert_mountains,none,4,tree_leaf_high_generator_2.txt,22,0.174603
desert_mountains,none,4,tree_palm_generator_1.txt,11,0.087302
desert_mountains,none,5,tree_leaf_high_generator_1.txt,83,0.380734
desert_mountains,none,5,tree_leaf_high_generator_3.txt,48,0.220183
desert_mountains,none,5,tree_palm_generator_1.txt,45,0.206422
desert_mountains,none,5,tree_leaf_high_generator_2.txt,32,0.146789
desert_mountains,none,5,reeds_01_generator_1.txt,5,0.022936
desert_mountains,none,5,tree_jungle_01_d_generator_1.txt,3,0.013761
desert_mountains,none,5,tree_leaf_01_single_generator_1.txt,2,0.009174
desert_mountains,none,9,tree_jungle_01_d_generator_1.txt,86,0.677165
desert_mountains,none,9,tree_leaf_01_single_generator_1.txt,34,0.267717
desert_mountains,none,9,tree_jungle_01_c_generator_1.txt,7,0.055118
drylands,none,3,tree_leaf_high_generator_3.txt,280,0.412979
drylands,none,3,tree_leaf_high_generator_1.txt,263,0.387906
drylands,none,3,tree_leaf_high_generator_2.txt,135,0.199115
drylands,none,4,tree_leaf_high_generator_1.txt,899,0.438537
drylands,none,4,tree_leaf_high_generator_3.txt,786,0.383415
