# GENERATED by scripts/measure_vanilla_water.py from vanilla's own
# gfx/map/water/watercolor_rgb_waterspec_a.dds and foam_map.dds. Checked in and
# hand-editable, like mappings/terrain_paint.csv and mappings/colormap_tints.csv.
#
# Both rasters are sampled by the water shader with a whole-map UV
# (gfx/FX/jomini/jomini_water_default.fxh:42), so a mod that ships neither draws
# vanilla's Earth oceans under its own map. ck2ck3.map.water paints them from
# this profile instead, indexed by each pixel's own distance to the nearest
# coast.
#
#   zone      water = the pixel is sea/lake, land = it is not
#   depth_px  distance to the nearest coast, in CANVAS pixels (not texels), so
#             the table survives a change of [map] water_scale. Vanilla's own
#             rasters are half-canvas, i.e. 2 canvas px per texel.
#   wc_*      watercolor RGB, plus A = the gloss map (fxh:506)
#   foam_r    foam_map.R; the shader uses 1 - R, so high R = foam (fxh:289)
#   foam_g    foam_map.G, the water mask the approaching-wave pass reads (fxh:275)
#
# foam_map's B (140) and A (255) are constant across vanilla's whole raster and
# are written as constants by ck2ck3.map.water, not from this table.
# The last row of each zone is held for every greater depth.
zone,depth_px,n,wc_r,wc_g,wc_b,wc_a,foam_r,foam_g
water,2,130530,45,72,73,55,78,31
water,4,80547,50,78,79,52,80,49
water,6,59337,47,80,82,58,80,70
water,8,76524,43,79,81,67,79,82
water,10,50982,40,78,79,72,76,94
water,12,58035,38,76,78,73,74,106
water,14,47422,36,75,77,74,71,119
water,16,50687,35,74,76,74,68,133
water,18,56525,34,73,75,74,65,146
water,20,42474,33,73,74,74,63,159
water,22,48655,33,73,74,74,60,168
water,24,40901,32,72,74,74,57,177
water,26,48751,32,72,73,75,55,186
water,28,42269,32,72,73,75,52,194
water,30,37703,32,71,73,75,50,202
water,32,45999,32,71,73,75,47,209
water,34,41680,31,71,72,75,45,215
water,36,38788,31,70,72,75,43,221
water,38,36545,31,70,72,75,41,225
water,40,33416,31,70,71,75,39,229
water,42,40488,31,69,71,75,37,232
water,44,36057,31,69,71,75,35,235
water,46,35161,31,69,70,75,33,238
water,48,32656,30,68,70,75,31,239
water,50,36517,30,68,69,75,29,241
water,52,32632,30,67,69,75,27,242
water,54,30497,30,67,68,75,25,243
water,56,33081,30,66,68,75,24,244
water,58,29095,30,66,67,75,22,245
water,60,32400,29,65,67,75,21,246
water,62,28701,29,64,67,75,20,247
water,64,26949,29,64,66,75,20,247
water,66,28363,29,63,66,75,20,248
water,68,29104,29,63,65,75,20,248
water,70,27686,29,62,65,75,20,249
water,72,26558,29,62,64,75,20,249
water,74,25600,28,61,64,75,20,249
water,76,26492,28,61,63,75,20,250
water,78,24177,28,61,63,75,21,250
water,80,26051,28,60,62,75,20,250
water,82,23205,28,60,62,75,20,251
water,84,24397,28,59,62,75,21,251
water,86,23726,28,59,61,75,21,252
water,88,22012,27,59,61,75,21,252
water,90,23129,27,58,61,75,21,252
water,92,21215,27,58,60,75,21,252
water,94,22836,27,58,60,76,21,253
water,96,21539,27,57,60,75,22,253
water,98,21717,27,57,60,75,22,253
water,100,20918,27,57,59,75,22,253
water,102,20625,27,56,59,75,22,253
water,104,21512,27,56,59,75,22,253
water,106,19046,26,56,59,76,21,253
water,108,19835,26,56,58,76,21,254
water,110,19951,26,56,58,76,21,254
water,112,18500,26,55,58,76,21,254
water,114,19983,26,55,58,76,21,254
water,116,17237,26,55,58,76,21,254
water,118,19730,26,55,58,76,21,254
water,120,18261,26,55,58,76,21,254
water,122,17213,26,55,58,76,21,254
water,124,18398,26,55,57,76,21,254
water,126,16146,26,55,57,76,21,254
water,128,19091,26,55,57,76,21,254
water,130,16712,26,55,57,76,21,254
water,132,17294,25,55,57,76,20,254
water,134,16580,25,54,57,76,20,254
water,136,16066,25,54,57,76,20,254
water,138,16935,25,54,57,76,19,254
water,140,15676,25,54,57,76,19,254
water,142,15574,25,54,57,76,19,254
water,144,16734,25,54,57,76,19,254
water,146,15093,25,54,57,76,19,254
