# Portrait ethnicity of each CK2 culture group -> culture `ethnicities = { 10 = <x> }`.
# Seeded by scripts/seed_culture_overrides.py; docs/design_races.md item 5 tier 2.
# Human groups get the nearest vanilla ethnicity, non-human groups a generated
# `fae_placeholder_<race>` that inherits a vanilla look with a # TODO comment.
# review = yes means a human must confirm: either no real-world analogue existed
# for the CK2 graphical_cultures value, or the race needs real art.
ck2_culture_group,ck3_ethnicity,review,note
horse_group,fae_placeholder_horse,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
cat_group,fae_placeholder_cat,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
bear_group,fae_placeholder_bear,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
hedgehog_group,fae_placeholder_hedgehog,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
duck_group,fae_placeholder_duck,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
dog_group,fae_placeholder_dog,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
elephant_group,fae_placeholder_elephant,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
dragon_group,fae_placeholder_dragon,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
panda_group,fae_placeholder_panda,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
orc_group,fae_placeholder_orc,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
goblinoid_group,fae_placeholder_goblinoid,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
draconic_culture_group,fae_placeholder_dragon,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
dragonkin_group,fae_placeholder_dragon,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
dwarf_group,fae_placeholder_dwarf,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
dark_elf_group,fae_placeholder_elf,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
high_elf_group,fae_placeholder_elf,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
sylvan_elf_group,fae_placeholder_elf,yes,placeholder until a ck3_fantasy_assets pack ships a real ethnicity
