# CK2 `graphical_cultures` value -> the four independent CK3 gfx axes.
# Seeded by scripts/seed_culture_overrides.py; mappings/culture_fields.csv.
# Only the CK2 values with a real-world CK3 analogue are listed. Faerun uses 320
# distinct values; the ~280 fantasy ones (drowgfx, beholdergfx, ...) have no CK3
# counterpart and fall through to the western_* defaults. Add a row to override one.
ck2_graphical_culture,coa_gfx,building_gfx,clothing_gfx,unit_gfx,review
africangfx,central_african_group_coa_gfx,african_building_gfx,african_clothing_gfx,sub_sahran_unit_gfx,no
andalusiangfx,iberian_group_coa_gfx,iberian_building_gfx,iberian_muslim_clothing_gfx,iberian_muslim_unit_gfx,no
arabicgfx,arabic_group_coa_gfx,mena_building_gfx,mena_clothing_gfx,mena_unit_gfx,no
aztecholygfx,western_coa_gfx,african_building_gfx,african_clothing_gfx,sub_sahran_unit_gfx,no
bektashigfx,turkic_group_coa_gfx,mena_building_gfx,turkic_clothing_gfx,mena_unit_gfx,no
berbergfx,berber_group_coa_gfx,berber_group_building_gfx,afr_berber_clothing_gfx,mena_unit_gfx,no
bodpagfx,tibetan_group_coa_gfx,tibetan_building_gfx,tangut_clothing_gfx,eastern_unit_gfx,no
byzantinegfx,byzantine_group_coa_gfx,byzantine_building_gfx,byzantine_clothing_gfx,eastern_unit_gfx,no
celticgfx,irish_coa_gfx,western_building_gfx,cornish_clothing_gfx,western_unit_gfx,no
chinesegfx,chinese_group_coa_gfx,chinese_building_gfx,chinese_clothing_gfx,chinese_unit_gfx,no
croatsouthslavicgfx,south_slavic_group_coa_gfx,byzantine_building_gfx,west_slavic_clothing_gfx,eastern_unit_gfx,no
cumangfx,steppe_coa_gfx,steppe_building_gfx,turkic_clothing_gfx,mongol_unit_gfx,no
easterngfx,east_slavic_group_coa_gfx,east_slavic_building_gfx,east_slavic_clothing_gfx,eastern_unit_gfx,no
easternslavicgfx,east_slavic_group_coa_gfx,east_slavic_building_gfx,east_slavic_clothing_gfx,eastern_unit_gfx,no
egyptiangfx,arabic_group_coa_gfx,mena_building_gfx,mena_clothing_gfx,mena_unit_gfx,no
englishgfx,english_coa_gfx,western_building_gfx,english_clothing_gfx,western_unit_gfx,no
finnishholygfx,balto_finnic_group_coa_gfx,western_building_gfx,sami_clothing_gfx,northern_unit_gfx,no
frankishgfx,frankish_group_coa_gfx,western_building_gfx,french_clothing_gfx,western_unit_gfx,no
germangfx,german_group_coa_gfx,western_building_gfx,swabian_clothing_gfx,western_unit_gfx,no
hashshashingfx,iranian_group_coa_gfx,iranian_building_gfx,iranian_clothing_gfx,iranian_unit_gfx,no
indiangfx,indo_aryan_group_coa_gfx,indian_building_gfx,indian_clothing_gfx,indian_unit_gfx,no
italiangfx,latin_group_coa_gfx,mediterranean_building_gfx,western_clothing_gfx,western_unit_gfx,no
japanesegfx,japanese_coa_gfx,japanese_building_gfx,japanese_clothing_gfx,japanese_unit_gfx,no
jewishholygfx,israelite_group_coa_gfx,mena_building_gfx,mena_clothing_gfx,mena_unit_gfx,no
khitangfx,steppe_coa_gfx,steppe_building_gfx,khitan_clothing_gfx,mongol_unit_gfx,no
khmergfx,burman_group_coa_gfx,southeast_asian_building_gfx,southeast_asian_clothing_gfx,southeast_asian_unit_gfx,no
koreangfx,chinese_group_coa_gfx,chinese_building_gfx,korean_clothing_gfx,chinese_unit_gfx,no
levantinegfx,arabic_group_coa_gfx,mena_building_gfx,mena_clothing_gfx,mena_unit_gfx,no
mesoamericangfx,western_coa_gfx,african_building_gfx,african_clothing_gfx,sub_sahran_unit_gfx,no
mongolgfx,mongol_coa_gfx,steppe_building_gfx,mongol_clothing_gfx,mongol_unit_gfx,no
muslimgfx,arabic_group_coa_gfx,mena_building_gfx,mena_clothing_gfx,mena_unit_gfx,no
nehekharangfx,arabic_group_coa_gfx,mena_building_gfx,mena_clothing_gfx,mena_unit_gfx,no
normangfx,norman_coa_gfx,western_building_gfx,norman_clothing_gfx,western_unit_gfx,no
norsegfx,norse_coa_gfx,norse_building_gfx,fp1_norse_clothing_gfx,norse_unit_gfx,no
norseholygfx,norse_coa_gfx,norse_building_gfx,fp1_norse_clothing_gfx,norse_unit_gfx,no
occitangfx,occitan_coa_gfx,mediterranean_building_gfx,french_clothing_gfx,western_unit_gfx,no
orthodoxholygfx,byzantine_group_coa_gfx,byzantine_building_gfx,byzantine_clothing_gfx,eastern_unit_gfx,no
