# GENERATED by scripts/build_loc_key_map.py - do not hand-edit.
# Read by the `loc` step as [loc] key_map. `mode`: `rename` drops the
# CK2 key, `copy` emits the text under both keys.
#   traits: 1084 rows
#   titles: 5664 rows
#   cultures_religions: 1384 rows
ck2_key,ck3_key,mode,source
abdominal_pain,trait_abdominal_pain,rename,traits
abdominal_pain_desc,trait_abdominal_pain_desc,rename,traits
absent,trait_absent,rename,traits
absent_desc,trait_absent_desc,rename,traits
acute,trait_acute,rename,traits
acute_desc,trait_acute_desc,rename,traits
administrator,trait_administrator,rename,traits
administrator_desc,trait_administrator_desc,rename,traits
adventurer,trait_adventurer,rename,traits
adventurer_desc,trait_adventurer_desc,rename,traits
affectionate,trait_affectionate,rename,traits
affectionate_desc,trait_affectionate_desc,rename,traits
afflicted_lycanthrope,trait_afflicted_lycanthrope,rename,traits
afflicted_lycanthrope_desc,trait_afflicted_lycanthrope_desc,rename,traits
aggressive_leader,trait_aggressive_attacker,rename,traits
aggressive_leader_desc,trait_aggressive_attacker_desc,rename,traits
amateurish_plotter,trait_education_intrigue_1,rename,traits
amateurish_plotter_desc,trait_education_intrigue_1_desc,rename,traits
ambitious,trait_ambitious,rename,traits
ambitious_desc,trait_ambitious_desc,rename,traits
androgynous,trait_androgynous,rename,traits
androgynous_desc,trait_androgynous_desc,rename,traits
arbitrary,trait_arbitrary,rename,traits
arbitrary_desc,trait_arbitrary_desc,rename,traits
archfiend,trait_archfiend,rename,traits
archfiend_desc,trait_archfiend_desc,rename,traits
architect,trait_architect,rename,traits
architect_desc,trait_architect_desc,rename,traits
archlich,trait_archlich,rename,traits
archlich_desc,trait_archlich_desc,rename,traits
ares_own,trait_ares_own,rename,traits
ares_own_desc,trait_ares_own_desc,rename,traits
ashari,trait_ashari,rename,traits
ashari_desc,trait_ashari_desc,rename,traits
augustus,trait_augustus,rename,traits
augustus_desc,trait_augustus_desc,rename,traits
bad_priest_aztec,trait_bad_priest_aztec,rename,traits
bad_priest_aztec_desc,trait_bad_priest_aztec_desc,rename,traits
bad_priest_christian,trait_bad_priest_christian,rename,traits
bad_priest_christian_desc,trait_bad_priest_christian_desc,rename,traits
bad_priest_muslim,trait_bad_priest_muslim,rename,traits
bad_priest_muslim_desc,trait_bad_priest_muslim_desc,rename,traits
bad_priest_norse,trait_bad_priest_norse,rename,traits
bad_priest_norse_desc,trait_bad_priest_norse_desc,rename,traits
bad_priest_tengri,trait_bad_priest_tengri,rename,traits
bad_priest_tengri_desc,trait_bad_priest_tengri_desc,rename,traits
bad_priest_zoroastrian,trait_bad_priest_zoroastrian,rename,traits
bad_priest_zoroastrian_desc,trait_bad_priest_zoroastrian_desc,rename,traits
baptized_by_bishop,trait_baptized_by_bishop,rename,traits
baptized_by_bishop_desc,trait_baptized_by_bishop_desc,rename,traits
baptized_by_patriarch,trait_baptized_by_patriarch,rename,traits
baptized_by_patriarch_desc,trait_baptized_by_patriarch_desc,rename,traits
baptized_by_pope,trait_baptized_by_pope,rename,traits
baptized_by_pope_desc,trait_baptized_by_pope_desc,rename,traits
baptized_by_satan,trait_baptized_by_satan,rename,traits
baptized_by_satan_desc,trait_baptized_by_satan_desc,rename,traits
bastard,trait_bastard,rename,traits
bastard_desc,trait_bastard_desc,rename,traits
beatified,trait_beatified,rename,traits
beatified_desc,trait_beatified_desc,rename,traits
beautiful,trait_beautiful,rename,traits
beautiful_desc,trait_beautiful_desc,rename,traits
berserker,trait_berserker,rename,traits
berserker_desc,trait_berserker_desc,rename,traits
bhaalspawn,trait_bhaalspawn,rename,traits
bhaalspawn_desc,trait_bhaalspawn_desc,rename,traits
blessed_ancestor,trait_blessed_ancestor,rename,traits
blessed_ancestor_desc,trait_blessed_ancestor_desc,rename,traits
blinded,trait_blinded,rename,traits
blinded_desc,trait_blinded_desc,rename,traits
bloodthirsty_gods_1,trait_bloodthirsty_gods_1,rename,traits
bloodthirsty_gods_1_desc,trait_bloodthirsty_gods_1_desc,rename,traits
bloodthirsty_gods_2,trait_bloodthirsty_gods_2,rename,traits
bloodthirsty_gods_2_desc,trait_bloodthirsty_gods_2_desc,rename,traits
bloodthirsty_gods_3,trait_bloodthirsty_gods_3,rename,traits
bloodthirsty_gods_3_desc,trait_bloodthirsty_gods_3_desc,rename,traits
born_in_the_purple,trait_born_in_the_purple,rename,traits
born_in_the_purple_desc,trait_born_in_the_purple_desc,rename,traits
brave,trait_brave,rename,traits
brave_desc,trait_brave_desc,rename,traits
bright,trait_bright,rename,traits
bright_desc,trait_bright_desc,rename,traits
brilliant,trait_brilliant,rename,traits
brilliant_desc,trait_brilliant_desc,rename,traits
brilliant_strategist,trait_education_martial_4,rename,traits
brilliant_strategist_desc,trait_education_martial_4_desc,rename,traits
brooding,trait_brooding,rename,traits
brooding_desc,trait_brooding_desc,rename,traits
cancer,trait_cancer,rename,traits
cancer_desc,trait_cancer_desc,rename,traits
cannibal_trait,trait_cannibal_trait,rename,traits
cannibal_trait_desc,trait_cannibal_trait_desc,rename,traits
cannot_marry,trait_cannot_marry,rename,traits
cannot_marry_desc,trait_cannot_marry_desc,rename,traits
careless,trait_careless,rename,traits
careless_desc,trait_careless_desc,rename,traits
cat,trait_cat,rename,traits
cat_desc,trait_cat_desc,rename,traits
celibate,trait_celibate,rename,traits
celibate_desc,trait_celibate_desc,rename,traits
charismatic_negotiator,trait_education_diplomacy_3,rename,traits
charismatic_negotiator_desc,trait_education_diplomacy_3_desc,rename,traits
charitable,trait_generous,rename,traits
charitable_desc,trait_generous_desc,rename,traits
chaste,trait_chaste,rename,traits
chaste_desc,trait_chaste_desc,rename,traits
chest_pain,trait_chest_pain,rename,traits
chest_pain_desc,trait_chest_pain_desc,rename,traits
child_of_consort,trait_child_of_consort,rename,traits
child_of_consort_desc,trait_child_of_consort_desc,rename,traits
child_of_consort_male,trait_child_of_consort_male,rename,traits
child_of_consort_male_desc,trait_child_of_consort_male_desc,rename,traits
clubfooted,trait_clubfooted,rename,traits
clubfooted_desc,trait_clubfooted_desc,rename,traits
conscientious,trait_conscientious,rename,traits
conscientious_desc,trait_conscientious_desc,rename,traits
construct,trait_construct,rename,traits
construct_desc,trait_construct_desc,rename,traits
content,trait_content,rename,traits
content_desc,trait_content_desc,rename,traits
cough,trait_cough,rename,traits
cough_desc,trait_cough_desc,rename,traits
cramps,trait_cramps,rename,traits
cramps_desc,trait_cramps_desc,rename,traits
craven,trait_craven,rename,traits
craven_desc,trait_craven_desc,rename,traits
creature_aarakocra,trait_creature_aarakocra,rename,traits
creature_aarakocra_desc,trait_creature_aarakocra_desc,rename,traits
creature_aasimar,trait_creature_aasimar,rename,traits
creature_aasimar_desc,trait_creature_aasimar_desc,rename,traits
creature_aboleth,trait_creature_aboleth,rename,traits
creature_aboleth_desc,trait_creature_aboleth_desc,rename,traits
creature_abomination,trait_creature_abomination,rename,traits
creature_abomination_desc,trait_creature_abomination_desc,rename,traits
creature_beholder,trait_creature_beholder,rename,traits
creature_beholder_desc,trait_creature_beholder_desc,rename,traits
creature_bugbear,trait_creature_bugbear,rename,traits
creature_bugbear_desc,trait_creature_bugbear_desc,rename,traits
creature_celestial,trait_creature_celestial,rename,traits
creature_celestial_desc,trait_creature_celestial_desc,rename,traits
creature_centaur,trait_creature_centaur,rename,traits
creature_centaur_desc,trait_creature_centaur_desc,rename,traits
creature_construct,trait_creature_construct,rename,traits
creature_construct_desc,trait_creature_construct_desc,rename,traits
creature_deep_imaskari,trait_creature_deep_imaskari,rename,traits
creature_deep_imaskari_desc,trait_creature_deep_imaskari_desc,rename,traits
creature_draegloth,trait_creature_draegloth,rename,traits
creature_draegloth_desc,trait_creature_draegloth_desc,rename,traits
creature_dragon,trait_creature_dragon,rename,traits
creature_dragon_desc,trait_creature_dragon_desc,rename,traits
creature_dragonborn,trait_creature_dragonborn,rename,traits
creature_dragonborn_desc,trait_creature_dragonborn_desc,rename,traits
creature_drow,trait_creature_drow,rename,traits
creature_drow_desc,trait_creature_drow_desc,rename,traits
creature_dwarf,trait_creature_dwarf,rename,traits
creature_dwarf_desc,trait_creature_dwarf_desc,rename,traits
creature_elder_brain,trait_creature_elder_brain,rename,traits
creature_elder_brain_desc,trait_creature_elder_brain_desc,rename,traits
creature_elf,trait_creature_elf,rename,traits
creature_elf_desc,trait_creature_elf_desc,rename,traits
creature_feyri,trait_creature_feyri,rename,traits
creature_feyri_desc,trait_creature_feyri_desc,rename,traits
creature_fiend,trait_creature_fiend,rename,traits
creature_fiend_desc,trait_creature_fiend_desc,rename,traits
creature_genasi,trait_creature_genasi,rename,traits
creature_genasi_desc,trait_creature_genasi_desc,rename,traits
creature_genie,trait_creature_genie,rename,traits
creature_genie_desc,trait_creature_genie_desc,rename,traits
creature_giant,trait_creature_giant,rename,traits
creature_giant_desc,trait_creature_giant_desc,rename,traits
creature_gith,trait_creature_gith,rename,traits
creature_gith_desc,trait_creature_gith_desc,rename,traits
creature_gnoll,trait_creature_gnoll,rename,traits
creature_gnoll_desc,trait_creature_gnoll_desc,rename,traits
creature_gnome,trait_creature_gnome,rename,traits
creature_gnome_desc,trait_creature_gnome_desc,rename,traits
creature_goblin,trait_creature_goblin,rename,traits
creature_goblin_desc,trait_creature_goblin_desc,rename,traits
creature_goliath,trait_creature_goliath,rename,traits
creature_goliath_desc,trait_creature_goliath_desc,rename,traits
creature_hag,trait_creature_hag,rename,traits
creature_hag_desc,trait_creature_hag_desc,rename,traits
creature_hagspawn,trait_creature_hagspawn,rename,traits
creature_hagspawn_desc,trait_creature_hagspawn_desc,rename,traits
creature_half_dwarf,trait_creature_half_dwarf,rename,traits
creature_half_dwarf_desc,trait_creature_half_dwarf_desc,rename,traits
creature_half_elf,trait_creature_half_elf,rename,traits
creature_half_elf_desc,trait_creature_half_elf_desc,rename,traits
creature_half_giant,trait_creature_half_giant,rename,traits
creature_half_giant_desc,trait_creature_half_giant_desc,rename,traits
creature_half_gnoll,trait_creature_half_gnoll,rename,traits
creature_half_gnoll_desc,trait_creature_half_gnoll_desc,rename,traits
creature_half_ogre,trait_creature_half_ogre,rename,traits
creature_half_ogre_desc,trait_creature_half_ogre_desc,rename,traits
creature_half_orc,trait_creature_half_orc,rename,traits
creature_half_orc_desc,trait_creature_half_orc_desc,rename,traits
creature_halfling,trait_creature_halfling,rename,traits
creature_halfling_desc,trait_creature_halfling_desc,rename,traits
creature_hengeyokai,trait_creature_hengeyokai,rename,traits
