# overrides/race_lifespan.csv - human input for the `traits` step.
#
# STATUS: every number below is `assumed`, not verified. Defaults come from the
# D&D 3.5e Forgotten Realms Campaign Setting maximum ages (the edition that
# matches the 1371 DR start date, docs/PROJECT.md) and are the submod's to tune.
#
# columns
#   ck2_trait        the CK2 trait id the row applies to (race traits only)
#   race             the D&D race the trait stands for, for the reader
#   dnd_max_age      D&D 3.5e maximum age in years, the source datum
#   life_expectancy  the CK3 modifier value, i.e. dnd_max_age - 60
#                    (60 = the CK3 base life expectancy in years, `assumed`:
#                    CK3 1.19 exposes no define for it). Empty = emit none.
#   immortal         yes -> emit `immortal = yes` instead of life_expectancy
#   note             why
#
# A race trait with no row here, or with an empty life_expectancy, gets
# `genetic`/`physical` but no lifespan; the step warns about each one.
ck2_trait,race,dnd_max_age,life_expectancy,immortal,note
afflicted_lycanthrope,,,,no,no D&D default; fill in or leave blank
archfiend,,,,no,no D&D default; fill in or leave blank
archlich,lich,,,yes,CK2 trait has immortal = yes
creature_aarakocra,,,,no,no D&D default; fill in or leave blank
creature_aasimar,aasimar,100,40,no,"planetouched, ~1.2x human"
creature_aboleth,,,,no,no D&D default; fill in or leave blank
creature_abomination,,,,no,no D&D default; fill in or leave blank
creature_beholder,,,,no,no D&D default; fill in or leave blank
creature_bugbear,,,,no,no D&D default; fill in or leave blank
creature_celestial,celestial,,,yes,"outsider, CK2 immortal = yes"
creature_centaur,,,,no,no D&D default; fill in or leave blank
creature_construct,construct,,,yes,CK2 trait has immortal = yes
creature_deep_imaskari,,,,no,no D&D default; fill in or leave blank
creature_draegloth,,,,no,no D&D default; fill in or leave blank
creature_dragon,dragon,1000,940,no,great wyrm; not immortal in CK2
creature_dragonborn,dragonborn,80,20,no,dragonborn maximum age
creature_drow,drow,700,640,no,same as elf in 3.5e
creature_dwarf,dwarf,350,290,no,FRCS dwarf maximum age
creature_elder_brain,,,,no,no D&D default; fill in or leave blank
creature_elf,elf,700,640,no,FRCS elf maximum age
creature_feyri,,,,no,no D&D default; fill in or leave blank
creature_fiend,fiend,,,yes,"outsider, CK2 immortal = yes"
creature_genasi,genasi,100,40,no,"planetouched, ~1.2x human"
creature_genie,,,,no,no D&D default; fill in or leave blank
creature_giant,giant,300,240,no,3.5e true giant maximum age
creature_gith,,,,no,no D&D default; fill in or leave blank
creature_gnoll,,,,no,no D&D default; fill in or leave blank
creature_gnome,gnome,350,290,no,FRCS gnome maximum age
creature_goblin,,,,no,no D&D default; fill in or leave blank
creature_goliath,,,,no,no D&D default; fill in or leave blank
creature_hag,,,,no,no D&D default; fill in or leave blank
creature_hagspawn,,,,no,no D&D default; fill in or leave blank
creature_half_dwarf,,,,no,no D&D default; fill in or leave blank
creature_half_elf,half_elf,180,120,no,FRCS half-elf maximum age
creature_half_giant,,,,no,no D&D default; fill in or leave blank
creature_half_gnoll,,,,no,no D&D default; fill in or leave blank
creature_half_ogre,,,,no,no D&D default; fill in or leave blank
creature_half_orc,half_orc,60,0,no,3.5e half-orc maximum age
creature_halfling,halfling,150,90,no,FRCS halfling maximum age
creature_hengeyokai,,,,no,no D&D default; fill in or leave blank
creature_hobgoblin,,,,no,no D&D default; fill in or leave blank
creature_human,human,,,no,CK3 baseline; no modifier
creature_illithid,,,,no,no D&D default; fill in or leave blank
creature_kobold,,,,no,no D&D default; fill in or leave blank
creature_kuotoa,,,,no,no D&D default; fill in or leave blank
creature_lamia,,,,no,no D&D default; fill in or leave blank
creature_lizardfolk,,,,no,no D&D default; fill in or leave blank
creature_malenti,,,,no,no D&D default; fill in or leave blank
creature_malison,,,,no,no D&D default; fill in or leave blank
creature_minotaur,,,,no,no D&D default; fill in or leave blank
creature_monster,,,,no,no D&D default; fill in or leave blank
creature_naga,,,,no,no D&D default; fill in or leave blank
creature_ogre,,,,no,no D&D default; fill in or leave blank
creature_ogrillon,,,,no,no D&D default; fill in or leave blank
creature_orc,orc,45,-15,no,3.5e orc maximum age; below the CK3 base
creature_outsider,,,,no,no D&D default; fill in or leave blank
creature_pterafolk,,,,no,no D&D default; fill in or leave blank
creature_pureblood,,,,no,no D&D default; fill in or leave blank
creature_sahuagin,,,,no,no D&D default; fill in or leave blank
creature_sarrukh,,,,no,no D&D default; fill in or leave blank
creature_satyr,,,,no,no D&D default; fill in or leave blank
creature_saurial,,,,no,no D&D default; fill in or leave blank
