# CK2 culture group -> CK3 culture `traditions` (space-separated vanilla ids).
# ALL VALUES ARE assumed placeholders, submod to replace: CK2 has no tradition
# concept, so nothing here is converted from the source mod. Generated by
# scripts/seed_culture_traditions.py from overrides/race_of_culture_group.csv
# (race) plus a short per-group table; see docs/step_cultures_religions.md
# section `Placeholder culture traditions` for the derivation table.
# An EMPTY `traditions` cell means deliberately none (animals, undead,
# constructs, the monster filler culture) -- not missing input.
# A group with NO ROW at all makes the cultures step warn.
# The step merges these with the CK2-flag traditions (seafarer ->
# tradition_seafaring, allow_looting -> tradition_practiced_pirates), dedupes
# and truncates to DEFAULT_MAX_TRADITIONS = 5.
# Every id is base game (common/culture/traditions/00_*.txt), no DLC; checked
# by scripts/verify_culture_traditions.py.
ck2_culture_group,traditions,race,derivation
horse_group,,horse,race horse is on the no-traditions list
cat_group,,cat,race cat is on the no-traditions list
bear_group,,bear,race bear is on the no-traditions list
hedgehog_group,,hedgehog,race hedgehog is on the no-traditions list; 2 CK2 flag(s) add per culture at runtime
duck_group,,duck,race duck is on the no-traditions list; 2 CK2 flag(s) add per culture at runtime
dog_group,,dog,race dog is on the no-traditions list
elephant_group,,elephant,race elephant is on the no-traditions list
dragon_group,tradition_hereditary_hierarchy tradition_isolationist,dragon,race dragon; 1 CK2 flag(s) add per culture at runtime
panda_group,,panda,race panda is on the no-traditions list
orc_group,tradition_warrior_culture tradition_only_the_strong,orc,race orc
goblinoid_group,tradition_warrior_culture tradition_strength_in_numbers,goblinoid,race goblinoid; 1 CK2 flag(s) add per culture at runtime
draconic_culture_group,tradition_hereditary_hierarchy tradition_isolationist,dragon,race dragon; 1 CK2 flag(s) add per culture at runtime
dragonkin_group,tradition_hereditary_hierarchy tradition_isolationist,dragon,race dragon; 1 CK2 flag(s) add per culture at runtime
dwarf_group,tradition_mountain_homes tradition_ancient_miners tradition_metal_craftsmanship,dwarf,race dwarf
dark_elf_group,tradition_hidden_cities tradition_ruling_caste tradition_only_the_strong,elf,per-group table for dark_elf_group
high_elf_group,tradition_sacred_groves tradition_language_scholars tradition_hereditary_hierarchy,elf,per-group table for high_elf_group; 1 CK2 flag(s) add per culture at runtime
sylvan_elf_group,tradition_forest_folk tradition_sacred_groves tradition_hunters,elf,per-group table for sylvan_elf_group
eladrin_group,tradition_sacred_groves tradition_mystical_ancestors tradition_isolationist,elf,per-group table for eladrin_group
giant_group,tradition_mountain_homes tradition_only_the_strong,giant,race giant; 2 CK2 flag(s) add per culture at runtime
giantkin_group,tradition_mountain_homes tradition_only_the_strong,giant,race giant; 2 CK2 flag(s) add per culture at runtime
nafili_group,tradition_mountain_homes tradition_only_the_strong,giant,race giant; 1 CK2 flag(s) add per culture at runtime
mordrin_group,tradition_mountain_homes tradition_only_the_strong,giant,race giant; 1 CK2 flag(s) add per culture at runtime
abeiran_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human
amaese_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human
calishite_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human; 2 CK2 flag(s) add per culture at runtime
celestial_sea_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human
raum_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human
damaran_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human
chondathan_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human; 2 CK2 flag(s) add per culture at runtime
illuskan_group,tradition_hereditary_hierarchy tradition_martial_admiration,human,race human; 2 CK2 flag(s) add per culture at runtime
